segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Au,Au,0.0,-0.19621305729823732,-0.054438254957427115
Au,Au,0.005,-0.196213043221683,-0.05443826199570427
Au,Au,0.01,-0.196212690703599,-0.05443843825474627
Au,Au,0.015,-0.19621219149641864,-0.05443868785833646
Au,Au,0.02,-0.1962115455941603,-0.05443901080946563
Au,Au,0.025,-0.19621056117132304,-0.05443950302088425
Au,Au,0.03,-0.1962095485345246,-0.054440009339283474
Au,Au,0.035,-0.19620819729388847,-0.05444068495960154
Au,Au,0.04,-0.19620669920269135,-0.0544414340052001
Au,Au,0.045,-0.19620505424296944,-0.054442256485061055
Au,Au,0.05,-0.19620307044208535,-0.0544432483855031
Au,Au,0.055,-0.1962010582445226,-0.05444425448428447
Au,Au,0.06,-0.1961987070390872,-0.05444543008700217
Au,Au,0.065,-0.19619620865379453,-0.05444667927964851
Au,Au,0.07,-0.19619356305863914,-0.05444800207722621
Au,Au,0.075,-0.19619057805947865,-0.05444949457680645
Au,Au,0.08,-0.19618756435858214,-0.0544510014272547
Au,Au,0.085,-0.19618421100313016,-0.054452678104980695
Au,Au,0.09,-0.19618070996990078,-0.054454428621595385
Au,Au,0.095,-0.19617706121674763,-0.05445625299817196
Au,Au,0.1,-0.1961730722532091,-0.05445824747994123
Au,Au,0.105,-0.19616905415974023,-0.05446025652667566
Au,Au,0.11,-0.19616469552091156,-0.05446243584608999
Au,Au,0.115,-0.19616018853655767,-0.05446468933826694
Au,Au,0.12,-0.19615553315225126,-0.054467017030420145
Au,Au,0.125,-0.19615053650580563,-0.05446951535364296
Au,Au,0.13,-0.1961455101769783,-0.05447202851805663
Au,Au,0.135,-0.19614014216582956,-0.054474712523630994
Au,Au,0.14,-0.19613462496995895,-0.0544774711215663
Au,Au,0.145,-0.19612895852247744,-0.054480304345307054
Au,Au,0.15,-0.19612294951332526,-0.054483308849883144
Au,Au,0.155,-0.1961169101436325,-0.054486328534729525
Au,Au,0.16,-0.19611052770589232,-0.05448951975359961
Au,Au,0.165,-0.19610399507073814,-0.054492786071176705
Au,Au,0.17,-0.1960973121585963,-0.054496127527247626
Au,Au,0.175,-0.19609028513449128,-0.054499641039300134
Au,Au,0.18,-0.19608322694419117,-0.05450317013445019
Au,Au,0.185,-0.19607582404816082,-0.054506871582465366
Au,Au,0.19,-0.19606826976604683,-0.05451064872352236
Au,Au,0.195,-0.19606056400532432,-0.05451450160388362
Au,Au,0.2,-0.19605251232800588,-0.05451852744254283
Au,Au,0.205,-0.19604442854920734,-0.054522569331942106
Au,Au,0.21,-0.19603599817124645,-0.05452678452092255
Au,Au,0.215,-0.19602741503962287,-0.05453107608673434
Au,Au,0.22,-0.1960186790485492,-0.05453544408227118
