coordinate_system,x_nm,segment_id,material,phi_tilde_with,phi_tilde_no,phi_RP_with_V,phi_RP_no_V,c_R1_with,c_O2_with,c_R1_no,c_O2_no,eta_Au_with_V,eta_Pd_with_V,eta_Au_no_V,eta_Pd_no_V,eta_with_V,eta_no_V,j_Au_with_A_per_m2,j_Pd_with_A_per_m2,j_Au_no_A_per_m2,j_Pd_no_A_per_m2,current_density_with_A_per_m2,current_density_no_A_per_m2,sigma_with_C_per_m2
continuous_Neumann_computational_halfcell,0.0,Au,Au,-7.641197443876678,0.0,-0.19621305729823732,0.0,0.0004802530315583646,2082.23568470795,1.0,1.0,0.7211234900851459,nan,0.3670000000000001,nan,0.7211234900851459,0.3670000000000001,0.11152875151609144,nan,0.23512070815744887,nan,0.11152875151609144,0.23512070815744887,-0.054438254957427115
continuous_Neumann_computational_halfcell,0.005,Au,Au,-7.641196895688232,0.0,-0.196213043221683,0.0,0.0004802532948275997,2082.234543250719,1.0,1.0,0.7211234760085915,nan,0.3670000000000001,nan,0.7211234760085915,0.3670000000000001,0.11152878208548213,nan,0.23512070815744887,nan,0.11152878208548213,0.23512070815744887,-0.05443826199570427
continuous_Neumann_computational_halfcell,0.01,Au,Au,-7.641183167446496,0.0,-0.196212690703599,0.0,0.00048025988790618133,2082.2059580277705,1.0,1.0,0.7211231234905076,nan,0.3670000000000001,nan,0.7211231234905076,0.3670000000000001,0.11152954763515005,nan,0.23512070815744887,nan,0.11152954763515005,0.23512070815744887,-0.05443843825474627
continuous_Neumann_computational_halfcell,0.015,Au,Au,-7.641163726637188,0.0,-0.19621219149641864,0.0,0.00048026922463783656,2082.1654786522795,1.0,1.0,0.7211226242833272,nan,0.3670000000000001,nan,0.7211226242833272,0.3670000000000001,0.11153063175275292,nan,0.23512070815744887,nan,0.11153063175275292,0.23512070815744887,-0.05443868785833646
continuous_Neumann_computational_halfcell,0.02,Au,Au,-7.641138573027365,0.0,-0.1962115455941603,0.0,0.0004802813052944583,2082.113105332935,1.0,1.0,0.7211219783810688,nan,0.3670000000000001,nan,0.7211219783810688,0.3670000000000001,0.11153203446057088,nan,0.23512070815744887,nan,0.11153203446057088,0.23512070815744887,-0.05443901080946563
continuous_Neumann_computational_halfcell,0.025,Au,Au,-7.6411002362858085,0.0,-0.19621056117132304,0.0,0.00048029971806767477,2082.03328543095,1.0,1.0,0.7211209939582316,nan,0.3670000000000001,nan,0.7211209939582316,0.3670000000000001,0.11153417236845115,nan,0.23512070815744887,nan,0.11153417236845115,0.23512070815744887,-0.05443950302088425
continuous_Neumann_computational_halfcell,0.03,Au,Au,-7.641060800797558,0.0,-0.1962095485345246,0.0,0.0004803186592950394,2081.9511810507083,1.0,1.0,0.7211199813214331,nan,0.3670000000000001,nan,0.7211199813214331,0.3670000000000001,0.11153637159240495,nan,0.23512070815744887,nan,0.11153637159240495,0.23512070815744887,-0.054440009339283474
continuous_Neumann_computational_halfcell,0.035,Au,Au,-7.641008178935195,0.0,-0.19620819729388847,0.0,0.00048034393522244635,2081.841627784687,1.0,1.0,0.721118630080797,nan,0.3670000000000001,nan,0.721118630080797,0.3670000000000001,0.11153930625680886,nan,0.23512070815744887,nan,0.11153930625680886,0.23512070815744887,-0.05444068495960154
continuous_Neumann_computational_halfcell,0.04,Au,Au,-7.640949838217285,0.0,-0.19620669920269135,0.0,0.0004803719596499456,2081.720175192397,1.0,1.0,0.7211171319895999,nan,0.3670000000000001,nan,0.7211171319895999,0.3670000000000001,0.11154255994586536,nan,0.23512070815744887,nan,0.11154255994586536,0.23512070815744887,-0.0544414340052001
continuous_Neumann_computational_halfcell,0.045,Au,Au,-7.640885777944256,0.0,-0.19620505424296944,0.0,0.00048040273339451314,2081.5868239009096,1.0,1.0,0.7211154870298779,nan,0.3670000000000001,nan,0.7211154870298779,0.3670000000000001,0.11154613272650563,nan,0.23512070815744887,nan,0.11154613272650563,0.23512070815744887,-0.054442256485061055
continuous_Neumann_computational_halfcell,0.05,Au,Au,-7.6408085220549005,0.0,-0.19620307044208535,0.0,0.0004804398487686023,2081.426015271346,1.0,1.0,0.7211135032289939,nan,0.3670000000000001,nan,0.7211135032289939,0.3670000000000001,0.11155044160757067,nan,0.23512070815744887,nan,0.11155044160757067,0.23512070815744887,-0.0544432483855031
continuous_Neumann_computational_halfcell,0.055,Au,Au,-7.640730160303217,0.0,-0.1962010582445226,0.0,0.00048047749835185456,2081.2629174731887,1.0,1.0,0.7211114910314311,nan,0.3670000000000001,nan,0.7211114910314311,0.3670000000000001,0.1115548123371973,nan,0.23512070815744887,nan,0.1115548123371973,0.23512070815744887,-0.05444425448428447
continuous_Neumann_computational_halfcell,0.06,Au,Au,-7.64063859644294,0.0,-0.1961987070390872,0.0,0.00048052149474058875,2081.0723577305394,1.0,1.0,0.7211091398259957,nan,0.3670000000000001,nan,0.7211091398259957,0.3670000000000001,0.11155991964873274,nan,0.23512070815744887,nan,0.11155991964873274,0.23512070815744887,-0.05444543008700217
continuous_Neumann_computational_halfcell,0.065,Au,Au,-7.640541300903209,0.0,-0.19619620865379453,0.0,0.0004805682496132556,2080.869888522109,1.0,1.0,0.721106641440703,nan,0.3670000000000001,nan,0.721106641440703,0.3670000000000001,0.11156534692204136,nan,0.23512070815744887,nan,0.11156534692204136,0.23512070815744887,-0.05444667927964851
continuous_Neumann_computational_halfcell,0.07,Au,Au,-7.64043827251551,0.0,-0.19619356305863914,0.0,0.00048061776433585955,2080.655510896164,1.0,1.0,0.7211039958455476,nan,0.3670000000000001,nan,0.7211039958455476,0.3670000000000001,0.11157109426898326,nan,0.23512070815744887,nan,0.11157109426898326,0.23512070815744887,-0.05444800207722621
continuous_Neumann_computational_halfcell,0.075,Au,Au,-7.640322026592485,0.0,-0.19619057805947865,0.0,0.000480673637438944,2080.4136572333273,1.0,1.0,0.7211010108463871,nan,0.3670000000000001,nan,0.7211010108463871,0.3670000000000001,0.1115775792998641,nan,0.23512070815744887,nan,0.1115775792998641,0.23512070815744887,-0.05444949457680645
continuous_Neumann_computational_halfcell,0.08,Au,Au,-7.640204662927172,0.0,-0.19618756435858214,0.0,0.0004807300543694379,2080.1695065886324,1.0,1.0,0.7210979971454907,nan,0.3670000000000001,nan,0.7210979971454907,0.3670000000000001,0.11158412706881653,nan,0.23512070815744887,nan,0.11158412706881653,0.23512070815744887,-0.0544510014272547
continuous_Neumann_computational_halfcell,0.085,Au,Au,-7.640074071969256,0.0,-0.19618421100313016,0.0,0.0004807928374671002,2079.897872996971,1.0,1.0,0.7210946437900387,nan,0.3670000000000001,nan,0.7210946437900387,0.3670000000000001,0.11159141324571221,nan,0.23512070815744887,nan,0.11159141324571221,0.23512070815744887,-0.054452678104980695
continuous_Neumann_computational_halfcell,0.09,Au,Au,-7.639937729941199,0.0,-0.19618070996990078,0.0,0.0004808583942066035,2079.614314833702,1.0,1.0,0.7210911427568093,nan,0.3670000000000001,nan,0.7210911427568093,0.3670000000000001,0.1115990208048146,nan,0.23512070815744887,nan,0.1115990208048146,0.23512070815744887,-0.054454428621595385
