coordinate_system,x_nm,segment_id,material,phi_tilde_with,phi_tilde_no,phi_RP_with_V,phi_RP_no_V,c_R1_with,c_O2_with,c_R1_no,c_O2_no,eta_Au_with_V,eta_Pd_with_V,eta_Au_no_V,eta_Pd_no_V,eta_with_V,eta_no_V,j_Au_with_A_per_m2,j_Pd_with_A_per_m2,j_Au_no_A_per_m2,j_Pd_no_A_per_m2,current_density_with_A_per_m2,current_density_no_A_per_m2,sigma_with_C_per_m2
continuous_Neumann_computational_halfcell,0.0,Au,Au,-7.527735131811358,0.0,-0.1932995365703698,0.0,0.0005379552757623071,1858.890590082892,1.0,1.0,0.690900005177918,nan,0.36699999999999966,nan,0.690900005177918,0.36699999999999966,0.06935530029522177,nan,0.235120708157447,nan,0.06935530029522177,0.235120708157447,-0.06954999741104101
continuous_Neumann_computational_halfcell,0.005,Au,Au,-7.527703838754393,0.0,-0.193298733017468,0.0,0.0005379721102907968,1858.8324206239192,1.0,1.0,0.6908992016250163,nan,0.36699999999999966,nan,0.6908992016250163,0.36699999999999966,0.06935638547339287,nan,0.235120708157447,nan,0.06935638547339287,0.235120708157447,-0.06955039918749191
continuous_Neumann_computational_halfcell,0.01,Au,Au,-7.5276326985693665,0.0,-0.19329690625755197,0.0,0.0005380103830876127,1858.700187645178,1.0,1.0,0.6908973748651002,nan,0.36699999999999966,nan,0.6908973748651002,0.36699999999999966,0.06935885253031701,nan,0.235120708157447,nan,0.06935885253031701,0.235120708157447,-0.06955131256744992
continuous_Neumann_computational_halfcell,0.015,Au,Au,-7.527566068158874,0.0,-0.19329519530103662,0.0,0.0005380462321345921,1858.5763458145552,1.0,1.0,0.6908956639085848,nan,0.36699999999999966,nan,0.6908956639085848,0.36699999999999966,0.06936116327321591,nan,0.235120708157447,nan,0.06936116327321591,0.235120708157447,-0.0695521680457076
continuous_Neumann_computational_halfcell,0.02,Au,Au,-7.527523376860554,0.0,-0.19329409906052916,0.0,0.0005380692025171125,1858.497002470972,1.0,1.0,0.6908945676680774,nan,0.36699999999999966,nan,0.6908945676680774,0.36699999999999966,0.06936264384807435,nan,0.235120708157447,nan,0.06936264384807435,0.235120708157447,-0.06955271616596133
continuous_Neumann_computational_halfcell,0.025,Au,Au,-7.5274787338536875,0.0,-0.19329295270343938,0.0,0.0005380932240804085,1858.4140354284923,1.0,1.0,0.6908934213109876,nan,0.36699999999999966,nan,0.6908934213109876,0.36699999999999966,0.0693641921438472,nan,0.235120708157447,nan,0.0693641921438472,0.235120708157447,-0.06955328934450622
continuous_Neumann_computational_halfcell,0.03,Au,Au,-7.527388089042013,0.0,-0.19329062509762138,0.0,0.000538142001650052,1858.2455874728198,1.0,1.0,0.6908910937051697,nan,0.36699999999999966,nan,0.6908910937051697,0.36699999999999966,0.0693673359671564,nan,0.235120708157447,nan,0.0693673359671564,0.235120708157447,-0.06955445314741522
continuous_Neumann_computational_halfcell,0.035,Au,Au,-7.52723545305558,0.0,-0.19328670566303383,0.0,0.0005382241477543813,1857.9619739699046,1.0,1.0,0.6908871742705821,nan,0.36699999999999966,nan,0.6908871742705821,0.36699999999999966,0.06937263014505014,nan,0.235120708157447,nan,0.06937263014505014,0.235120708157447,-0.069556412864709
continuous_Neumann_computational_halfcell,0.04,Au,Au,-7.527049678759539,0.0,-0.19328193529257012,0.0,0.0005383241452547376,1857.6168444512093,1.0,1.0,0.6908824039001183,nan,0.36699999999999966,nan,0.6908824039001183,0.36699999999999966,0.06937907427009857,nan,0.235120708157447,nan,0.06937907427009857,0.235120708157447,-0.06955879804994085
continuous_Neumann_computational_halfcell,0.045,Au,Au,-7.52687418814511,0.0,-0.19327742898969846,0.0,0.000538418624379608,1857.2908787326005,1.0,1.0,0.6908778975972467,nan,0.36699999999999966,nan,0.6908778975972467,0.36699999999999966,0.06938516222537551,nan,0.235120708157447,nan,0.06938516222537551,0.235120708157447,-0.06956105120137668
