condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
1,au_pd_independent,Independent Au/Pd,with EDL,0.4,2.14205639587968e-15,-5.563169735440446e-09,2.14205639587968e-06,-5.563169735440446,-5.56316759338405e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40025,2.159712421938695e-15,-5.517689851719864e-09,2.1597124219386954e-06,-5.517689851719863,-5.517687692007442e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.4005,2.1775139788328403e-15,-5.472581773987881e-09,2.1775139788328405e-06,-5.472581773987881,-5.4725795964739015e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40075,2.195462266108609e-15,-5.427842462665657e-09,2.1954622661086092e-06,-5.427842462665657,-5.427840267203392e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.401,2.213558493199812e-15,-5.3834689030233806e-09,2.2135584931998116e-06,-5.38346890302338,-5.383466689464887e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40125,2.2318038795090924e-15,-5.339458104977238e-09,2.2318038795090924e-06,-5.339458104977238,-5.3394558731733586e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.4015,2.2501996544900967e-15,-5.2958071028878575e-09,2.2501996544900965e-06,-5.295807102887857,-5.295804852688203e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40175,2.2687470577303085e-15,-5.252512955360502e-09,2.2687470577303083e-06,-5.252512955360502,-5.2525106866134445e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.402,2.287447339034601e-15,-5.2095727450467965e-09,2.287447339034601e-06,-5.209572745046796,-5.2095704575994576e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40225,2.3063017585094127e-15,-5.166983578448255e-09,2.306301758509413e-06,-5.166983578448255,-5.166981272146496e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.4025,2.3253115866476993e-15,-5.124742585721221e-09,2.3253115866476993e-06,-5.124742585721221,-5.124740260409634e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40275,2.344478104414532e-15,-5.082846920483529e-09,2.344478104414532e-06,-5.0828469204835285,-5.082844576005424e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.403,2.3638026033334053e-15,-5.041293759622662e-09,2.3638026033334052e-06,-5.041293759622662,-5.041291395820058e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40325,2.3832863855732624e-15,-5.0000803031055405e-09,2.3832863855732623e-06,-5.00008030310554,-5.000077919819155e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.4035,2.402930764036275e-15,-4.959203773789864e-09,2.402930764036275e-06,-4.959203773789864,-4.9592013708591e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40375,2.422737062446267e-15,-4.918661417236952e-09,2.422737062446267e-06,-4.918661417236952,-4.91865899449989e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.404,2.4427066154379582e-15,-4.878450501526127e-09,2.4427066154379583e-06,-4.878450501526127,-4.878448058819512e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40425,2.4628407686468332e-15,-4.838568317070639e-09,2.4628407686468334e-06,-4.838568317070639,-4.83856585422987e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.4045,2.4831408787998974e-15,-4.799012176435098e-09,2.4831408787998975e-06,-4.799012176435098,-4.799009693294219e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.40475,2.5036083138070376e-15,-4.759779414154367e-09,2.5036083138070378e-06,-4.759779414154368,-4.759776910546053e-09
1,au_pd_independent,Independent Au/Pd,with EDL,0.405,2.5242444528532276e-15,-4.720867386553932e-09,2.5242444528532275e-06,-4.720867386553932,-4.7208648623094795e-09
