group,scan,side,case,parameter_value_SI,parameter_value_display,parameter_display_unit,E_mix_V,pzc_side_V,metal_minus_pzc_mV,i_mix_avg_A_per_m2,i_mix_abs_A,phi_RP_mean_V,phi_RP_mean_mV,phi_RP_profile_mean_V,lambda_D_nm,max_abs_phi_tilde,debye_huckel_ok
CH,Cdl_Au,Au,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5651659994601932,0.93,-364.8340005398069,0.23783796313303168,1.1891898156651585e-10,-0.06250606713040696,-62.50606713040696,-0.06250578120162757,3.0412178890177213,5.327497724849033,False
CH,Cdl_Au,Au,base,0.2,20.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.93,-332.01706455699866,0.08384634584416407,4.192317292208204e-11,-0.15028620366970216,-150.28620366970216,-0.1502855228151927,3.0412178890177213,6.038944611092431,False
CH,Cdl_Au,Au,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6320625850517957,0.93,-297.9374149482044,0.028402331404659642,1.4201165702329821e-11,-0.23954401616244672,-239.54401616244672,-0.2395427671245597,3.0412178890177213,9.455448094872487,False
CH,Cdl_Pd,Pd,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5665800259042453,0.78,-213.41997409575475,0.03441282977030803,1.7206414885154017e-11,-0.036299062947520104,-36.299062947520106,-0.03629886492155967,3.0412178890177213,6.6071041573954155,False
CH,Cdl_Pd,Pd,base,0.4,40.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.78,-182.01706455699863,0.08384634584416407,4.192317292208204e-11,-0.1131611873828452,-113.1611873828452,-0.11316060526764861,3.0412178890177213,6.038944611092431,False
CH,Cdl_Pd,Pd,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6080844590182917,0.78,-171.91554098170835,0.11164837332946381,5.582418666473191e-11,-0.13813283535744264,-138.13283535744264,-0.13813207072172656,3.0412178890177213,5.85689887861165,False
PZC,pzc_Au,Au,low,0.63,0.63,V,0.5544836970565546,0.63,-75.51630294344535,0.33395677281673464,1.6697838640836732e-10,-0.0339782273083451,-33.9782273083451,-0.03397803285375409,3.0412178890177213,5.5918644659586985,False
PZC,pzc_Au,Au,base,0.93,0.93,V,0.5979829354430014,0.93,-332.01706455699866,0.08384634584416407,4.192317292208204e-11,-0.15028620366970216,-150.28620366970216,-0.1502855228151927,3.0412178890177213,6.038944611092431,False
PZC,pzc_Au,Au,high,1.23,1.23,V,0.6402549290688845,1.23,-589.7450709311155,0.021891727626472214,1.0945863813236108e-11,-0.2671619922505776,-267.16199225057755,-0.26716082425478277,3.0412178890177213,10.723251642831228,False
PZC,pzc_Pd,Pd,low,0.48,0.48,V,0.5371414823275649,0.48,57.14148232756489,0.014932959710863853,7.466479855431927e-12,0.03584817336002328,35.84817336002328,0.035848077641131695,3.0412178890177213,7.140866956412916,False
PZC,pzc_Pd,Pd,base,0.78,0.78,V,0.5979829354430014,0.78,-182.01706455699863,0.08384634584416407,4.192317292208204e-11,-0.1131611873828452,-113.1611873828452,-0.11316060526764861,3.0412178890177213,6.038944611092431,False
PZC,pzc_Pd,Pd,high,1.08,1.08,V,0.6591099264987231,1.08,-420.89007350127696,0.474887309571133,2.374436547855665e-10,-0.26199059241602957,-261.9905924160296,-0.26198933284417875,3.0412178890177213,10.438131957728729,False
