group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Au,Au,low,5.0,0.0,0.0,-62.50606713040694
CH,Cdl_Au,Au,low,5.0,0.08495022036362349,0.027932960893854747,-60.69624295294767
CH,Cdl_Au,Au,low,5.0,0.16990044072724697,0.055865921787709494,-58.942568761552096
CH,Cdl_Au,Au,low,5.0,0.2548506610908705,0.08379888268156424,-57.24275217105011
CH,Cdl_Au,Au,low,5.0,0.33980088145449394,0.11173184357541899,-55.59469469044538
CH,Cdl_Au,Au,low,5.0,0.4247511018181174,0.13966480446927373,-53.996458168022265
CH,Cdl_Au,Au,low,5.0,0.509701322181741,0.16759776536312848,-52.446238922207364
CH,Cdl_Au,Au,low,5.0,0.5946515425453645,0.19553072625698323,-50.94234762685556
CH,Cdl_Au,Au,low,5.0,0.6796017629089879,0.22346368715083798,-49.48319352693436
CH,Cdl_Au,Au,low,5.0,0.7645519832726115,0.25139664804469275,-48.06727193088085
CH,Cdl_Au,Au,low,5.0,0.8495022036362349,0.27932960893854747,-46.69315419692292
CH,Cdl_Au,Au,low,5.0,0.9344524239998584,0.3072625698324022,-45.35947962958419
CH,Cdl_Au,Au,low,5.0,1.019402644363482,0.33519553072625696,-44.064948849055966
CH,Cdl_Au,Au,low,5.0,1.1043528647271055,0.36312849162011174,-42.80831830430986
CH,Cdl_Au,Au,low,5.0,1.189303085090729,0.39106145251396646,-41.58839568102354
CH,Cdl_Au,Au,low,5.0,1.2742533054543523,0.4189944134078212,-40.40403601506336
CH,Cdl_Au,Au,low,5.0,1.3592035258179758,0.44692737430167595,-39.25413836684246
CH,Cdl_Au,Au,low,5.0,1.4441537461815994,0.4748603351955307,-38.13764294530626
CH,Cdl_Au,Au,low,5.0,1.529103966545223,0.5027932960893855,-37.05352859548998
CH,Cdl_Au,Au,low,5.0,1.6140541869088463,0.5307262569832402,-36.000810582660264
CH,Cdl_Au,Au,low,5.0,1.6990044072724697,0.5586592178770949,-34.97853862055456
CH,Cdl_Au,Au,low,5.0,1.7839546276360934,0.5865921787709497,-33.98579510232106
CH,Cdl_Au,Au,low,5.0,1.8689048479997168,0.6145251396648044,-33.02169350128092
CH,Cdl_Au,Au,low,5.0,1.9538550683633402,0.6424581005586592,-32.085376915218475
CH,Cdl_Au,Au,low,5.0,2.038805288726964,0.6703910614525139,-31.176016733021648
CH,Cdl_Au,Au,low,5.0,2.1237555090905875,0.6983240223463687,-30.292811406492206
CH,Cdl_Au,Au,low,5.0,2.208705729454211,0.7262569832402235,-29.434985313289264
CH,Cdl_Au,Au,low,5.0,2.2936559498178344,0.7541899441340781,-28.601787699454537
CH,Cdl_Au,Au,low,5.0,2.378606170181458,0.7821229050279329,-27.792491691946417
CH,Cdl_Au,Au,low,5.0,2.4635563905450812,0.8100558659217877,-27.00639337319251
CH,Cdl_Au,Au,low,5.0,2.5485066109087047,0.8379888268156424,-26.242810910945337
CH,Cdl_Au,Au,low,5.0,2.633456831272328,0.8659217877094971,-25.501083737760244
CH,Cdl_Au,Au,low,5.0,2.7184070516359515,0.8938547486033519,-24.78057177525448
CH,Cdl_Au,Au,low,5.0,2.8033572719995754,0.9217877094972067,-24.080654699000124
