scan,case,parameter_value_SI,parameter_value_display,parameter_display_unit,E_mix,i_mix_avg_A_per_m2,I_Au_avg_A_per_m2,I_Pd_avg_A_per_m2,i_mix_current_1e_minus_3_uA,I_Au_current_1e_minus_3_uA,I_Pd_current_1e_minus_3_uA
Cdl_Au,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5651659994601932,0.23783796313303168,0.23783796313303168,-0.23783796313303576,0.11891898156651584,0.11891898156651584,-0.11891898156651788
Cdl_Au,base,0.2,20.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462,0.04192317292208204,0.04192317292208204,-0.04192317292208231
Cdl_Au,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6320625850517957,0.028402331404659642,0.028402331404659642,-0.02840233140438832,0.014201165702329821,0.014201165702329821,-0.01420116570219416
Cdl_Pd,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5665800259042453,0.03441282977030803,0.03441282977030803,-0.034412829770267966,0.017206414885154016,0.017206414885154016,-0.017206414885133983
Cdl_Pd,base,0.4,40.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462,0.04192317292208204,0.04192317292208204,-0.04192317292208231
Cdl_Pd,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6080844590182917,0.11164837332946381,0.11164837332946381,-0.11164837332945617,0.055824186664731906,0.055824186664731906,-0.05582418666472808
pzc_Au,low,0.63,0.63,V,0.5544836970565546,0.33395677281673464,0.33395677281673464,-0.33395677282805036,0.16697838640836732,0.16697838640836732,-0.16697838641402518
pzc_Au,base,0.93,0.93,V,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462,0.04192317292208204,0.04192317292208204,-0.04192317292208231
pzc_Au,high,1.23,1.23,V,0.6402549290688845,0.021891727626472214,0.021891727626472214,-0.021891727617790388,0.010945863813236107,0.010945863813236107,-0.010945863808895194
pzc_Pd,low,0.48,0.48,V,0.5371414823275649,0.014932959710863853,0.014932959710863853,-0.014932959710864826,0.0074664798554319265,0.0074664798554319265,-0.007466479855432413
pzc_Pd,base,0.78,0.78,V,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462,0.04192317292208204,0.04192317292208204,-0.04192317292208231
pzc_Pd,high,1.08,1.08,V,0.6591099264987231,0.474887309571133,0.474887309571133,-0.4748873095755106,0.2374436547855665,0.2374436547855665,-0.2374436547877553
