scan,side,reactant,sweep_index,is_baseline,parameter_value_SI,parameter_value_display,parameter_display_unit,sigma_C_per_m2,sigma_mC_per_m2,sigma_uC_per_cm2,phi_RP_mean_V,phi_RP_mean_mV,reactant_mean,log10_reactant_mean,eta_mean_V,eta_mean_mV,bv_exp_mean,log10_bv_exp_mean,bv_conc_exp_mean,log10_bv_conc_exp_mean,side_current_avg_A_per_m2,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,max_abs_phi_tilde,debye_huckel_ok
Cdl_Au,Au,R1,0,False,0.05,5.0,$\mu$F cm$^{-2}$,-0.015116410966908966,-15.116410966908965,-1.5116410966908966,-0.06250578120162757,-62.50578120162757,0.09201340567137689,-1.0361488945569142,0.5276717806618209,527.6717806618209,29212.205846241082,4.465564352272427,2567.648880699701,3.409535634817227,0.23783796313303168,0.5651659994601932,0.4670000000000001,0.23783796313303168,0.11756035407872442,1.1891898156651585e-10,5.878017703936221e-11,5.327497724849033,False
Cdl_Au,Au,R1,1,False,0.05358867312681466,5.358867312681466,$\mu$F cm$^{-2}$,-0.015947167262351788,-15.947167262351789,-1.5947167262351787,-0.06595645627340159,-65.95645627340159,0.08083448878394327,-1.0924033039186472,0.5324153364534016,532.4153364534016,32057.89058647091,4.5059349423227095,2464.312411081989,3.3916957642912404,0.22826604088307942,0.5664588801799999,0.4670000000000001,0.22826604088307942,0.11756035407872442,1.1413302044153971e-10,5.878017703936221e-11,5.295531762141218,False
Cdl_Au,Au,R1,2,False,0.05743491774985176,5.743491774985176,$\mu$F cm$^{-2}$,-0.016809175037398982,-16.809175037398983,-1.6809175037398982,-0.06953589367120469,-69.53589367120469,0.07068816858110553,-1.1506532700776073,0.5373352640529835,537.3352640529835,35302.83046683709,4.547809527111572,2361.5603146576686,3.3731990420103246,0.2187482483589902,0.5677993703817787,0.4670000000000001,0.2187482483589902,0.11756035407872442,1.0937412417949511e-10,5.878017703936221e-11,5.2623897838300735,False
Cdl_Au,Au,R1,3,False,0.061557220667245796,6.1557220667245796,$\mu$F cm$^{-2}$,-0.017702059634333214,-17.702059634333214,-1.7702059634333214,-0.07324238911553156,-73.24238911553157,0.061537266572132654,-1.2108617986151171,0.5424291928314371,542.429192831437,39009.2314583498,4.591167394129128,2259.7202281819273,3.3540546732721688,0.20931493412558858,0.5691868037159056,0.4670000000000001,0.20931493412558858,0.11756035407872442,1.046574670627943e-10,5.878017703936221e-11,5.228088427192063,False
Cdl_Au,Au,R1,4,False,0.0659753955386447,6.59753955386447,$\mu$F cm$^{-2}$,-0.018625267864875693,-18.625267864875692,-1.8625267864875692,-0.07707348661425578,-77.07348661425578,0.053335896127602776,-1.272980403676194,0.5476937294151416,547.6937294151417,43249.288016704064,4.635978962368191,2159.114149692423,3.3342756035528662,0.19999592444065648,0.5706202428008859,0.4670000000000001,0.19999592444065648,0.11756035407872442,9.999796222032824e-11,5.878017703936221e-11,5.192651043053239,False
Cdl_Au,Au,R1,5,False,0.07071067811865475,7.0710678118654755,$\mu$F cm$^{-2}$,-0.01957806027390642,-19.57806027390642,-1.957806027390642,-0.08102594674911394,-81.02594674911394,0.046031068869783136,-1.3369489404034602,0.5531244163568365,553.1244163568365,48106.68402012518,4.682205422140688,2060.054220346837,3.3138786510912652,0.1908201325320542,0.5720984696077225,0.4670000000000001,0.1908201325320542,0.11756035407872442,9.541006626602711e-11,5.878017703936221e-11,5.156107933396058,False
Cdl_Au,Au,R1,6,False,0.0757858283255199,7.57858283255199,$\mu$F cm$^{-2}$,-0.02055950525825885,-20.559505258258852,-2.0559505258258852,-0.08509572286808471,-85.09572286808472,0.03956438296849116,-1.402695602980047,0.5587157017015054,558.7157017015054,53678.2651540702,4.729798471278123,1962.8386372725377,3.292884598213049,0.18181518001032135,0.5736199788334206,0.4670000000000001,0.18181518001032135,0.11756035407872442,9.090759000516068e-11,5.878017703936221e-11,5.118496514880524,False
Cdl_Au,Au,R1,7,False,0.08122523963562357,8.122523963562358,$\mu$F cm$^{-2}$,-0.02156847532394741,-21.56847532394741,-2.156847532394741,-0.08927794637462555,-89.27794637462554,0.03387372046895848,-1.470137100656752,0.5644609210055448,564.4609210055448,60075.88283999373,4.778700161660215,1867.747812028638,3.271318236327627,0.17300704103203338,0.5751829746309192,0.4670000000000001,0.17300704103203338,0.11756035407872442,8.65035205160167e-11,5.878017703936221e-11,5.079861399182516,False
Cdl_Au,Au,R1,8,False,0.0870550563296124,8.70550563296124,$\mu$F cm$^{-2}$,-0.022603645740514922,-22.60364574051492,-2.260364574051492,-0.09356692219832481,-93.56692219832482,0.028894885695082886,-1.539179019214312,0.5703522932093478,570.3522932093477,67428.40218998607,4.828842868585229,1775.0408831987163,3.2492083602886512,0.16441971926581953,0.5767853710110229,0.4670000000000001,0.16441971926581953,0.11756035407872442,8.220985963290977e-11,5.878017703936221e-11,5.0402543823305255,False
Cdl_Au,Au,R1,9,False,0.09330329915368073,9.330329915368072,$\mu$F cm$^{-2}$,-0.023663495815398002,-23.663495815398,-2.3663495815398004,-0.09795613537812442,-97.95613537812442,0.024563125692547552,-1.6097163694261547,0.576380931542178,576.3809315421779,75883.85639351033,4.880149393485262,1684.9526802690955,3.22658770877615,0.1560749666603707,0.5784247961640536,0.4670000000000001,0.1560749666603707,0.11756035407872442,7.803748333018536e-11,5.878017703936221e-11,4.999734336904419,False
Cdl_Au,Au,R1,10,False,0.1,10.0,$\mu$F cm$^{-2}$,-0.02474631297118998,-24.74631297118998,-2.474631297118998,-0.10243826951889563,-102.43826951889564,0.020814485583143864,-1.6816343179582125,0.5825368702881003,582.5368702881003,85611.71702818033,4.932533207345906,1597.691215875481,3.203492847443842,0.14799205115452205,0.5800986007692046,0.4670000000000001,0.14799205115452205,0.11756035407872442,7.399602557726103e-11,5.878017703936221e-11,4.958367005411072,False
Cdl_Au,Au,R1,11,False,0.10717734625362933,10.717734625362933,$\mu$F cm$^{-2}$,-0.025850199717559905,-25.850199717559903,-2.5850199717559903,-0.1070052374894291,-107.00523748942909,0.017586965572879913,-1.754809086559368,0.5888091082570116,588.8091082570116,96805.23467162636,4.985898842096977,1513.4357843483563,3.179963998404708,0.14018758054799385,0.5818038707675824,0.4670000000000001,0.14018758054799385,0.11756035407872442,7.009379027399693e-11,5.878017703936221e-11,4.916224683036667,False
Cdl_Au,Au,R1,12,False,0.1148698354997035,11.48698354997035,$\mu$F cm$^{-2}$,-0.026973083630201004,-26.973083630201003,-2.6973083630201002,-0.11164822482852634,-111.64822482852634,0.014821460305241127,-1.8291090047734084,0.5951856685189506,595.1856685189506,109683.78432102196,5.0401424261121,1432.3356685075646,3.156044807006449,0.13267538271346324,0.5835374436904243,0.4670000000000001,0.13267538271346324,0.11756035407872442,6.633769135673162e-11,5.878017703936221e-11,4.87338581229055,False
Cdl_Au,Au,R1,13,False,0.1231144413344916,12.31144413344916,$\mu$F cm$^{-2}$,-0.028112730245094683,-28.11273024509468,-2.811273024509468,-0.11635774544058461,-116.35774544058461,0.0124624754250266,-1.9043956850723331,0.6016536749030542,601.6536749030543,124495.13132590438,5.095152367659559,1354.5095131501582,3.131782059567866,0.1254664475635623,0.5852959294624697,0.4670000000000001,0.1254664475635623,0.11756035407872442,6.273322378178115e-11,5.878017703936221e-11,4.8299344667271775,False
Cdl_Au,Au,R1,14,False,0.1319507910772894,13.19507910772894,$\mu$F cm$^{-2}$,-0.02926675882118535,-29.26675882118535,-2.926675882118535,-0.1211237093692337,-121.1237093692337,0.010458627788550006,-1.9805252928066097,0.6081994440333253,608.1994440333252,141517.508918921,5.15081017524163,1280.0453232308175,3.107225347210812,0.11856892688233067,0.5870757346640916,0.4670000000000001,0.11856892688233067,0.11756035407872442,5.928446344116534e-11,5.878017703936221e-11,4.892533129786715,False
Cdl_Au,Au,R1,15,False,0.1414213562373095,14.142135623730951,$\mu$F cm$^{-2}$,-0.030432660772875087,-30.43266077287509,-3.043266077287509,-0.1259355017837103,-125.9355017837103,0.008762945812614073,-2.057349873843186,0.614808591979502,614.808591979502,161061.37636600292,5.206991406078934,1209.0010665679008,3.0824266839909202,0.11198819015309219,0.5888730901957917,0.4670000000000001,0.11198819015309219,0.11756035407872442,5.59940950765461e-11,5.878017703936221e-11,5.08253334705592,False
Cdl_Au,Au,R1,16,False,0.15157165665103983,15.157165665103983,$\mu$F cm$^{-2}$,-0.03160782051770199,-31.607820517701988,-3.1607820517701986,-0.13078207207854034,-130.78207207854035,0.007332993463638256,-2.1347187021184086,0.6214661539230124,621.4661539230124,183470.70425690617,5.263566728014333,1141.4058261187927,3.057440085003534,0.10572693129221471,0.590684081844472,0.4670000000000001,0.10572693129221471,0.11756035407872442,5.2863465646107354e-11,5.878017703936221e-11,5.273582026210747,False
Cdl_Au,Au,R1,17,False,0.16245047927124712,16.245047927124713,$\mu$F cm$^{-2}$,-0.032789538406184475,-32.78953840618448,-3.2789538406184473,-0.13565203165499212,-135.65203165499213,0.006130845772746502,-2.2124796088258925,0.6281567148753373,628.1567148753373,209123.61458542303,5.320403076840032,1077.2614325935685,3.0323211117981907,0.09978531987598174,0.5925046832203451,0.4670000000000001,0.09978531987598174,0.11756035407872442,4.9892659937990876e-11,5.878017703936221e-11,5.465216436910326,False
Cdl_Au,Au,R1,18,False,0.17411011265922485,17.411011265922486,$\mu$F cm$^{-2}$,-0.03397505533338945,-33.97505533338945,-3.3975055333389452,-0.14053375866805515,-140.53375866805516,0.005122945587054288,-2.290480256922325,0.6348645491380116,634.8645491380116,238432.1900901688,5.3773648879590965,1016.5444961391856,3.007126393308316,0.0941611893328473,0.5943307904699564,0.4670000000000001,0.0941611893328473,0.11756035407872442,4.708059466642365e-11,5.878017703936221e-11,5.656969441638951,False
Cdl_Au,Au,R1,19,False,0.18660659830736148,18.660659830736147,$\mu$F cm$^{-2}$,-0.03516157857510721,-35.161578575107214,-3.516157857510721,-0.14541550778426723,-145.41550778426722,0.004279870922834439,-2.3685693287312337,0.6415737659115771,641.5737659115771,271841.2627020142,5.434315378826484,959.2087484854101,2.9819131311016474,0.08885025389335391,0.5961582581273098,0.4670000000000001,0.08885025389335391,0.11756035407872442,4.442512694667696e-11,5.878017703936221e-11,5.848368868386265,False
Cdl_Au,Au,R1,20,True,0.2,20.0,$\mu$F cm$^{-2}$,-0.03634630834836119,-36.34630834836119,-3.634630834836119,-0.1502855228151927,-150.2855228151927,0.0035760402606696638,-2.446597600365984,0.6482684582581941,648.2684582581941,309825.9977071044,5.4911178568932355,905.1876042896865,2.956738598060587,0.08384634584416407,0.5979829354430014,0.4670000000000001,0.08384634584416407,0.11756035407872442,4.192317292208204e-11,5.878017703936221e-11,6.038944611092431,False
Cdl_Au,Au,R1,21,False,0.21675967734687368,21.67596773468737,$\mu$F cm$^{-2}$,-0.03771581506215161,-37.71581506215161,-3.771581506215161,-0.15590932347322858,-155.9093234732286,0.002904582181330437,-2.536916331223075,0.6560017014059484,656.0017014059483,360328.9325694963,5.556699135147279,846.5167202185698,2.9276355406220915,0.07841173846167569,0.6000923779327199,0.4670000000000001,0.07841173846167569,0.11756035407872442,3.920586923083785e-11,5.878017703936221e-11,6.258562256314249,False
Cdl_Au,Au,R1,22,False,0.23492378861760385,23.492378861760386,$\mu$F cm$^{-2}$,-0.03907489038534814,-39.07489038534814,-3.9074890385348144,-0.16148375029213521,-161.48375029213523,0.0023619241752391306,-2.62673404863775,0.6636699292341478,663.6699292341478,418496.32795733423,5.6216916516844435,792.0427205151535,2.8987486068213504,0.07336588299812044,0.6021861789420127,0.4670000000000001,0.07336588299812044,0.11756035407872442,3.6682941499060224e-11,5.878017703936221e-11,6.475758584250588,False
Cdl_Au,Au,R1,23,False,0.2546100231092847,25.46100231092847,$\mu$F cm$^{-2}$,-0.04041940281659624,-40.41940281659624,-4.041940281659624,-0.166991558409336,-166.991558409336,0.0019238141610281273,-2.7158368827857773,0.6712497578728578,671.2497578728578,485172.1104066722,5.685895827964096,741.5876619313615,2.8701624956783753,0.06869229680277719,0.6042581994635218,0.4670000000000001,0.06869229680277719,0.11756035407872442,3.43461484013886e-11,5.878017703936221e-11,6.689849754477866,False
Cdl_Au,Au,R1,24,False,0.27594593229224296,27.594593229224294,$\mu$F cm$^{-2}$,-0.04174540819308086,-41.74540819308086,-4.174540819308086,-0.17241632761286327,-172.41632761286326,0.0015702894446766981,-2.8040202885844376,0.6787188854486538,678.7188854486537,561205.4787834646,5.749121902188489,694.9576708220217,2.841958352952325,0.06437302161304226,0.6063025578357905,0.4670000000000001,0.06437302161304226,0.11756035407872442,3.218651080652113e-11,5.878017703936221e-11,6.9002022497057816,False
Cdl_Au,Au,R1,25,False,0.29906975624424414,29.906975624424415,$\mu$F cm$^{-2}$,-0.043049194921664195,-43.049194921664196,-4.30491949216642,-0.1777426517454097,-177.74265174540972,0.0012850210367110887,-2.8910897625640017,0.6860563412954843,686.0563412954843,647428.8666062523,5.811192059181971,651.9479829605131,2.8142129460165615,0.06038909038597311,0.6083136895500746,0.4670000000000001,0.06038909038597311,0.11756035407872442,3.0194545192986557e-11,5.878017703936221e-11,7.106228144551386,False
Cdl_Au,Au,R1,26,False,0.32413131933855255,32.413131933855254,$\mu$F cm$^{-2}$,-0.04432732332379667,-44.32732332379667,-4.4327323323796675,-0.18295630268181368,-182.95630268181367,0.0010547236544384238,-2.9768613138957507,0.6932427023273949,693.2427023273949,744632.9685518723,5.871942260653773,612.3474863547942,2.7869979394327817,0.056720948093404625,0.6102863996455812,0.4670000000000001,0.056720948093404625,0.11756035407872442,2.8360474046702315e-11,5.878017703936221e-11,7.307411775163194,False
Cdl_Au,Au,R1,27,False,0.3512930009892056,35.12930009892056,$\mu$F cm$^{-2}$,-0.045576658233362516,-45.576658233362515,-4.557665823336252,-0.1880443652795531,-188.0443652795531,0.0008686368504281086,-3.0611617503846706,0.7002602724647995,700.2602724647995,853539.7310676634,5.93122374171536,575.9427096134186,2.7603792852700897,0.053348821159085597,0.6122159071852463,0.4670000000000001,0.053348821159085597,0.11756035407872442,2.66744105795428e-11,5.878017703936221e-11,7.503279469090076,False
Cdl_Au,Au,R1,28,False,0.38073078774317576,38.07307877431757,$\mu$F cm$^{-2}$,-0.04679439435782089,-46.794394357820885,-4.679439435782089,-0.19299534129241433,-192.99534129241434,0.0007180772213080022,-3.143828849650973,0.7070932221289487,707.0932221289487,974774.4786451743,5.9889041500483176,542.5212186387638,2.734416728617376,0.05025303208993734,0.6140978808365344,0.4670000000000001,0.05025303208993734,0.11756035407872442,2.512651604496867e-11,5.878017703936221e-11,7.6933934163059305,False
