L_support_nm,L_gap_m,N_modes,gl_order,include_2d,lambda_D_nm,L_support_over_lambda_D,E_mix_with_V,E_mix_no_V,delta_E_mix_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,delta_i_mix_avg_A_per_m2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,support_charge_status,sigma_C_signed_mean_C_per_m2,sigma_C_mean_abs_C_per_m2,sigma_C_midpoint_C_per_m2,sigma_C_min_C_per_m2,sigma_C_max_C_per_m2,sigma_C_sign_change,L_GC_C_nm,L_GC_C_midpoint_nm,L_support_over_L_GC_C,overlap_reference_L_support_nm,overlap_delta_E_mix_vs_1000_V,overlap_abs_delta_E_mix_vs_1000_mV,overlap_delta_i_mix_avg_vs_1000_A_per_m2,overlap_delta_i_mix_avg_vs_1000_percent,overlap_abs_delta_i_mix_avg_vs_1000_percent,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,overlap_delta_phi_RP_Au_mean_vs_1000_mV,overlap_delta_phi_RP_Pd_mean_vs_1000_mV,overlap_delta_phi_RP_active_rms_vs_1000_mV,overlap_delta_phi_RP_active_max_material_mean_vs_1000_mV,overlap_fraction_E_mix,overlap_fraction_phi_RP_active_rms,overlap_fraction_i_mix_avg
0.0,0.0,960,128,False,3.0412178890177213,0.0,0.6249104327869085,0.4670000000000001,0.15791043278690842,0.06649993987830802,0.11756035407872445,-0.05106041420041643,5.309790236404263e-13,1.7950514385510672e-15,7.641197443876678,not_applicable,,,,,,,,,,1000.0,0.02754904655249868,27.54904655249868,0.009998718527243829,17.696464409358303,17.696464409358303,-188.03711566335934,-127.78374991040309,-14.58737841750829,-36.65445394505045,27.89570399815544,36.65445394505045,1.0,1.0,1.0
0.25,2.5e-10,960,128,False,3.0412178890177213,0.0822039094610045,0.6204260139427682,0.46699999999999986,0.15342601394276834,0.0637250673741078,0.117560354078724,-0.05383528670461621,5.9607373443812944e-15,1.705298866623514e-15,7.6682431391715085,defined,0.05001237777651111,0.05001237777651111,0.04959906498109383,0.04901277517636146,0.05292111367013785,False,0.7137356051116207,0.7196832184033223,0.35026976125270176,1000.0,0.023064627708358376,23.064627708358376,0.007223846023043608,12.785291804860334,12.785291804860334,-186.43233372170485,-121.87976550622115,-12.982596475853796,-30.750469540868508,23.60232179509818,30.750469540868508,0.8372205428019225,0.8460916346351699,0.7224771857874149
0.5,5e-10,960,128,False,3.0412178890177213,0.164407818922009,0.6170011769860464,0.4670000000000002,0.1500011769860462,0.06217741309718402,0.11756035407872475,-0.055382940981540736,3.39394761206532e-16,4.308123452522561e-15,7.67193693286686,defined,0.04588588544770024,0.04588588544770024,0.04507701992902744,0.04447074717998126,0.05071116827248523,False,0.7779214537785096,0.7918805362819219,0.6427384121769707,1000.0,0.019639790751636577,19.639790751636575,0.00567619174611983,10.046139907049849,10.046139907049849,-184.83693319236866,-117.27757365563357,-11.387195946517608,-26.148277690280935,20.166812560397723,26.148277690280935,0.7129027392730315,0.7229361396196067,0.5676919227852777
0.75,7.500000000000001e-10,960,128,False,3.0412178890177213,0.2466117283830135,0.6142170881966958,0.4670000000000001,0.14721708819669577,0.06113422071991232,0.11756035407872445,-0.05642613335881213,6.90372365004572e-16,1.7950514385510672e-15,7.6669301614430765,defined,0.042612630634554394,0.042612630634554394,0.041435507896742885,0.04086024958778341,0.04902844493924019,False,0.8376768620908307,0.8614740479190567,0.8953333128099177,1000.0,0.01685570196228603,16.85570196228603,0.004632999368848131,8.199821628742313,8.199821628742313,-183.3996946374242,-113.53801753755626,-9.94995739157315,-22.408721572203618,17.33713434502174,22.408721572203618,0.6118433873987276,0.6214983621194192,0.4633593151186774
1.0,1e-09,960,128,False,3.0412178890177213,0.328815637844018,0.6119044004353885,0.4670000000000001,0.14490440043538844,0.06037129665539306,0.11756035407872445,-0.05718905742333139,2.3681901988809874e-14,1.7950514385510672e-15,7.6581217377914115,defined,0.03988274223010662,0.03988274223010662,0.038365852340311556,0.0378317965766704,0.04768511529414263,False,0.8950140516778027,0.9304006698134327,1.11730089390819,1000.0,0.014543014200978699,14.5430142009787,0.0038700753043288683,6.8495427387004195,6.8495427387004195,-182.13567957388935,-110.44159650688975,-8.685942328038294,-19.312300541537113,14.973485671891197,19.312300541537113,0.5278953728313207,0.5367667248290738,0.3870571307497006
1.5,1.5000000000000002e-09,960,128,False,3.0412178890177213,0.493223456766027,0.6083129504905829,0.4670000000000001,0.1413129504905828,0.05931736163348269,0.11756035407872445,-0.05824299244524176,4.109017036714623e-14,1.7950514385510672e-15,7.637077725072844,defined,0.03552206150889874,0.03552206150889874,0.033411992389942274,0.0329570547118268,0.04567843472922098,False,1.0048857864413896,1.068347385537364,1.4927069526099703,1000.0,0.010951564256173052,10.951564256173052,0.0028161402824185,4.984211341062379,4.984211341062379,-180.0783686306911,-105.65377132119626,-6.628631384840048,-14.52447535584362,11.289356456383931,14.52447535584362,0.397529701628812,0.4046987470590605,0.2816501209375254
2.0,2e-09,960,128,False,3.0412178890177213,0.657631275688036,0.6057057326070008,0.4670000000000002,0.1387057326070006,0.05861936925863239,0.11756035407872475,-0.058940984820092364,1.2239834892002476e-14,4.308123452522561e-15,7.616703357840368,defined,0.03217175469722906,0.03217175469722906,0.029572276258928568,0.029184372302988478,0.04427570074201486,False,1.1095327268072068,1.2070634807698235,1.8025606200505715,1000.0,0.00834434637259096,8.34434637259096,0.002118147907568202,3.7488533113422813,3.7488533113422813,-178.5311015816143,-102.19141697562799,-5.081364335763254,-11.062121010275348,8.607868050764429,11.062121010275348,0.3028905685243809,0.3085732502514943,0.21184193772400098
2.5,2.5e-09,960,128,False,3.0412178890177213,0.822039094610045,0.6037785718360723,0.4670000000000001,0.13677857183607223,0.058124550737237254,0.11756035407872445,-0.059435803341487195,1.8307290852940781e-13,1.7950514385510672e-15,7.599080458432532,defined,0.029518136755337994,0.029518136755337994,0.02652048482489976,0.02618762555790223,0.043267081913658384,False,1.2092773677164435,1.345963882299578,2.067350358769148,1000.0,0.0064171856016624895,6.4171856016624895,0.0016233293861730655,2.8730872490112827,2.8730872490112827,-177.36649281151657,-99.63620248986587,-3.916755565665511,-8.506906524513226,6.622251610214514,8.506906524513226,0.23293675842587208,0.23739324200788767,0.1623537438072617
3.0,3.0000000000000004e-09,960,128,False,3.0412178890177213,0.986446913532054,0.6023350752719744,0.46699999999999964,0.13533507527197475,0.05775933090201933,0.1175603540787235,-0.059801023176704174,6.393720961921073e-16,6.0134223191460756e-15,7.5845009722811,defined,0.027371898235997793,0.027371898235997793,0.024054249552233713,0.02376679798556448,0.04252783028634991,False,1.3040971586122774,1.4839629329477202,2.3004420952748457,1000.0,0.004973689037564566,4.973689037564566,0.001258109550955143,2.226694433980491,2.226694433980491,-176.48576008272147,-97.72239029477296,-3.0360228368704156,-6.593094329420325,5.132559181472393,6.593094329420325,0.18053942549650437,0.18399102534970171,0.1258270794929502
3.5,3.5000000000000003e-09,960,128,False,3.0412178890177213,1.150854732454063,0.6012423490594356,0.4670000000000002,0.13424234905943544,0.05748282649329967,0.11756035407872475,-0.06007752758542508,9.177822994237437e-17,4.308123452522561e-15,7.572665350519937,defined,0.025607692831487953,0.025607692831487953,0.02203583220241387,0.021786430706587513,0.04197805855081113,False,1.3939410688141642,1.6198895683857553,2.510866548309302,1000.0,0.0038809628250258132,3.8809628250258132,0.0009816051422354838,1.7373166787606007,1.7373166787606007,-175.81578180434138,-96.2723695083484,-2.36604455849033,-5.143073542995765,4.003084580759237,5.143073542995765,0.14087466938756224,0.14350183028268204,0.0981730948381908
