L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,0.0,-198.73560054548508,-5.4060345972407955
1.0,0.9,Au,0.005,-198.7356384206826,-5.40603270348092
1.0,0.9,Au,0.01,-198.73526805341453,-5.406051221844323
1.0,0.9,Au,0.015,-198.73496579876422,-5.406066334576838
1.0,0.9,Au,0.02,-198.73427041106498,-5.4061011039618005
1.0,0.9,Au,0.025,-198.7336206998268,-5.406133589523711
1.0,0.9,Au,0.03,-198.7326071274768,-5.40618426814121
1.0,0.9,Au,0.035,-198.73160339881468,-5.4062344545743155
1.0,0.9,Au,0.04,-198.7302774087603,-5.406300754077035
1.0,0.9,Au,0.045,-198.7289142719322,-5.40636891091844
1.0,0.9,Au,0.05,-198.7272801930651,-5.406450614861795
1.0,0.9,Au,0.055,-198.72555375570596,-5.4065369367297516
1.0,0.9,Au,0.06,-198.72361419644503,-5.406633914692799
1.0,0.9,Au,0.065,-198.7215222964451,-5.4067385096927945
1.0,0.9,Au,0.07,-198.71927796676226,-5.406850726176938
1.0,0.9,Au,0.075,-198.71682029322426,-5.406973609853837
1.0,0.9,Au,0.08,-198.71426994226624,-5.407101127401738
1.0,0.9,Au,0.085,-198.7114480379309,-5.407242222618505
1.0,0.9,Au,0.09,-198.70858851119013,-5.407385198955543
1.0,0.9,Au,0.095,-198.70540565609585,-5.407544341710258
1.0,0.9,Au,0.1,-198.70223206864117,-5.407703021082992
1.0,0.9,Au,0.105,-198.6986930521783,-5.407879971906135
1.0,0.9,Au,0.11,-198.6951990672241,-5.408054671153844
1.0,0.9,Au,0.115,-198.6913098626985,-5.408249131380126
1.0,0.9,Au,0.12,-198.6874880582206,-5.40844022160402
1.0,0.9,Au,0.125,-198.68325542012676,-5.4086518535087125
1.0,0.9,Au,0.13,-198.67909772073088,-5.4088597384785055
1.0,0.9,Au,0.135,-198.67452872977333,-5.409088188026383
1.0,0.9,Au,0.14,-198.67002687692607,-5.409313280668747
1.0,0.9,Au,0.145,-198.66512846109453,-5.409558201460324
1.0,0.9,Au,0.15,-198.66027449242142,-5.409800899893978
1.0,0.9,Au,0.155,-198.65505295397185,-5.410061976816458
1.0,0.9,Au,0.16,-198.6498396617016,-5.410322641429969
1.0,0.9,Au,0.165,-198.64430023954625,-5.4105996125377365
1.0,0.9,Au,0.17,-198.63872157945403,-5.4108785455423485
1.0,0.9,Au,0.175,-198.63286807431115,-5.411171220799492
1.0,0.9,Au,0.18,-198.6269194995474,-5.411468649537681
1.0,0.9,Au,0.185,-198.62075398532528,-5.411776925248786
1.0,0.9,Au,0.19,-198.61443268415428,-5.412092990307336
1.0,0.9,Au,0.195,-198.6079553237137,-5.412416858329365
1.0,0.9,Au,0.2,-198.6012603461383,-5.4127516072081345
1.0,0.9,Au,0.205,-198.59446932310098,-5.41309115836
1.0,0.9,Au,0.21,-198.5874015882438,-5.413444545102859
1.0,0.9,Au,0.215,-198.5802931593067,-5.413799966549715
1.0,0.9,Au,0.22,-198.57285534283014,-5.4141718573735425
1.0,0.9,Au,0.225,-198.56542400754302,-5.414543424137899
1.0,0.9,Au,0.23,-198.5576203158663,-5.414933608721735
1.0,0.9,Au,0.235,-198.54985909350572,-5.415321669839764
1.0,0.9,Au,0.24,-198.54169493863725,-5.415729877583188
1.0,0.9,Au,0.245,-198.53359573510636,-5.416134837759731
1.0,0.9,Au,0.25,-198.5250773301422,-5.41656075800794
1.0,0.9,Au,0.255,-198.51663137218821,-5.4169830559056384
1.0,0.9,Au,0.26,-198.50776527250656,-5.417426360889722
1.0,0.9,Au,0.265,-198.4989635822796,-5.417866445401071
1.0,0.9,Au,0.27,-198.48975620091198,-5.418326814469451
1.0,0.9,Au,0.275,-198.48059008132748,-5.418785120448676
1.0,0.9,Au,0.28,-198.4710472086604,-5.41926226408203
1.0,0.9,Au,0.285,-198.46150870925607,-5.419739189052246
1.0,0.9,Au,0.29,-198.4516350670391,-5.420232871163096
1.0,0.9,Au,0.295,-198.44171740116244,-5.4207287544569285
1.0,0.9,Au,0.3,-198.43151625872477,-5.421238811578812
1.0,0.9,Au,0.305,-198.42121414583562,-5.42175391722327
1.0,0.9,Au,0.31,-198.41068702262717,-5.422280273383691
1.0,0.9,Au,0.315,-198.3999969340813,-5.422814777810986
1.0,0.9,Au,0.32,-198.38914340733953,-5.423357454148073
1.0,0.9,Au,0.325,-198.37806369997756,-5.423911439516171
1.0,0.9,Au,0.33,-198.3668813298307,-5.424470558023514
1.0,0.9,Au,0.335,-198.35541225863054,-5.425044011583522
1.0,0.9,Au,0.34,-198.34389663565403,-5.425619792732348
1.0,0.9,Au,0.345,-198.33204024422122,-5.426212612303989
1.0,0.9,Au,0.35,-198.320185156866,-5.42680536667175
1.0,0.9,Au,0.355,-198.307945052135,-5.4274173719083
1.0,0.9,Au,0.36,-198.2957427639444,-5.428027486317831
1.0,0.9,Au,0.365,-198.28312378871004,-5.428658435079548
1.0,0.9,Au,0.37,-198.2705654083801,-5.429286354096045
1.0,0.9,Au,0.375,-198.25757323168963,-5.429935962930569
1.0,0.9,Au,0.38,-198.24464915316105,-5.430582166856997
1.0,0.9,Au,0.385,-198.2312898037902,-5.431250134325541
1.0,0.9,Au,0.39,-198.21799018911832,-5.431915115059134
1.0,0.9,Au,0.395,-198.2042695609974,-5.4326011464651796
1.0,0.9,Au,0.4,-198.19058483597522,-5.4332853827162895
1.0,0.9,Au,0.405,-198.17650819628992,-5.433989214700555
1.0,0.9,Au,0.41,-198.16242952786848,-5.434693148121626
1.0,0.9,Au,0.415,-198.14800105851853,-5.4354145715891224
1.0,0.9,Au,0.42,-198.1335207840927,-5.436138585310416
1.0,0.9,Au,0.425,-198.11874318523303,-5.4368774652533975
1.0,0.9,Au,0.43,-198.1038551667235,-5.437621866178875
1.0,0.9,Au,0.435,-198.08872934736456,-5.438378157146821
1.0,0.9,Au,0.44,-198.07342922759915,-5.439143163135092
1.0,0.9,Au,0.445,-198.05795410293055,-5.439916919368522
1.0,0.9,Au,0.45,-198.04223944781432,-5.440702652124334
1.0,0.9,Au,0.455,-198.02641185633524,-5.441494031698288
1.0,0.9,Au,0.46,-198.01028217334428,-5.442300515847835
1.0,0.9,Au,0.465,-197.99409691949074,-5.443109778540513
1.0,0.9,Au,0.47,-197.97755355068637,-5.443936946980732
1.0,0.9,Au,0.475,-197.96100357083293,-5.444764445973403
1.0,0.9,Au,0.48,-197.94404946640222,-5.445612151194938
1.0,0.9,Au,0.485,-197.9271261084247,-5.446458319093815
1.0,0.9,Au,0.49,-197.90976549423135,-5.4473263498034825
1.0,0.9,Au,0.495,-197.89245889367754,-5.448191679831173
1.0,0.9,Au,0.5,-197.87469685297978,-5.44907978186606
1.0,0.9,Au,0.505,-197.85699638279218,-5.4499648053754415
1.0,0.9,Au,0.51,-197.83883837772927,-5.450872705628586
1.0,0.9,Au,0.515,-197.8207331437523,-5.451777967327434
1.0,0.9,Au,0.52,-197.80218450609632,-5.452705399210234
1.0,0.9,Au,0.525,-197.78366385760225,-5.453631431634938
1.0,0.9,Au,0.53,-197.76472928034167,-5.454578160497967
1.0,0.9,Au,0.535,-197.74578330369218,-5.45552545933044
1.0,0.9,Au,0.54,-197.72646636512928,-5.456491306258586
1.0,0.9,Au,0.545,-197.70708632957644,-5.457460308036227
1.0,0.9,Au,0.55,-197.68738907977107,-5.458445170526496
1.0,0.9,Au,0.555,-197.6675678071965,-5.459436234155225
1.0,0.9,Au,0.56,-197.64749044287606,-5.460440102371248
1.0,0.9,Au,0.565,-197.62722257783747,-5.461453495623177
1.0,0.9,Au,0.57,-197.60676322652344,-5.462476463188878
1.0,0.9,Au,0.575,-197.58604538906613,-5.463512355061743
1.0,0.9,Au,0.58,-197.56520001647985,-5.464554623691058
1.0,0.9,Au,0.585,-197.54403082734908,-5.465613083147596
1.0,0.9,Au,0.59,-197.5227932745687,-5.466674960786615
1.0,0.9,Au,0.595,-197.50117325035856,-5.467755961997121
1.0,0.9,Au,0.6,-197.47953539913826,-5.468837854558137
1.0,0.9,Au,0.605,-197.4574667229919,-5.469941288365455
1.0,0.9,Au,0.61,-197.43541877965853,-5.471043685532123
1.0,0.9,Au,0.615,-197.41290496093666,-5.472169376468217
1.0,0.9,Au,0.62,-197.39043584182465,-5.473292832423817
1.0,0.9,Au,0.625,-197.3674812851452,-5.47444056025779
1.0,0.9,Au,0.63,-197.34457908008153,-5.475585670510974
1.0,0.9,Au,0.635,-197.32118858993334,-5.4767551950183835
1.0,0.9,Au,0.64,-197.2978410752625,-5.4779225707519235
1.0,0.9,Au,0.645,-197.2740193265764,-5.47911365818623
1.0,0.9,Au,0.65,-197.25021449592276,-5.480303899718912
1.0,0.9,Au,0.655,-197.2259655033134,-5.481516349349381
1.0,0.9,Au,0.66,-197.20169208295346,-5.482730020367377
1.0,0.9,Au,0.665,-197.1770187016591,-5.483963689432095
1.0,0.9,Au,0.67,-197.15226661809,-5.485201293610549
1.0,0.9,Au,0.675,-197.12717010789544,-5.4864561191202785
1.0,0.9,Au,0.68,-197.1019308779176,-5.487718080619169
1.0,0.9,Au,0.685,-197.076410557647,-5.4889940966327
1.0,0.9,Au,0.69,-197.05067757590407,-5.490280745719846
1.0,0.9,Au,0.695,-197.02473059062936,-5.4915780949835815
1.0,0.9,Au,0.7,-196.99849929571724,-5.492889659729188
1.0,0.9,Au,0.705,-196.97212051196794,-5.494208598916653
1.0,0.9,Au,0.71,-196.94538841966374,-5.495545203531862
1.0,0.9,Au,0.715,-196.91857045606992,-5.496886101711554
1.0,0.9,Au,0.72,-196.8913370564017,-5.498247771694964
1.0,0.9,Au,0.725,-196.86407044880426,-5.499611102074837
1.0,0.9,Au,0.73,-196.83633697214378,-5.5009977759078605
1.0,0.9,Au,0.735,-196.8086104638349,-5.502384101323305
1.0,0.9,Au,0.74,-196.78037952938746,-5.503795648045677
1.0,0.9,Au,0.745,-196.75218046924877,-5.505205601052611
1.0,0.9,Au,0.75,-196.72345563674637,-5.506641842677731
1.0,0.9,Au,0.755,-196.6947704611975,-5.508076101455176
1.0,0.9,Au,0.76,-196.6655557128056,-5.509536838874769
1.0,0.9,Au,0.765,-196.6363704820349,-5.510996100413306
1.0,0.9,Au,0.77,-196.60666966604646,-5.512481141212727
1.0,0.9,Au,0.775,-196.57697062136089,-5.513966093447005
