L_support_nm,pzc_support_V,N_modes,gl_order,Nx_2d,Ny_2d,y_max_nm,phi_s_min_mV,phi_s_max_mV,shared_abs_color_limit_mV,phi_tilde_min,phi_tilde_max,c_Red1_over_c_bulk_min,c_Red1_over_c_bulk_max,c_Ox2_over_c_bulk_min,c_Ox2_over_c_bulk_max,shared_reactant_log_vmin,shared_reactant_log_vmax,reactant_reciprocity_max_error,surface_reconstruction_max_error_phi_tilde,surface_reconstruction_max_error_mV,E_mix_2d_case_V,E_mix_difference_from_main_scan_V,i_mix_avg_2d_case_A_per_m2,i_mix_avg_difference_from_main_scan_A_per_m2
1.0,0.1,960,128,901,320,15.206089445088606,-194.76767338512417,-0.7709020896065433,220.0,-7.584909325163388,-0.03002152434548313,0.0005080608545376456,0.9704246455683724,1.0304767140516156,1968.2681534479516,0.0001,10000.0,2.220446049250313e-16,1.7763568394002505e-14,4.547473508864641e-13,0.6003568752301423,0.0,0.06427793296666569,0.0
1.0,0.5,960,128,901,320,15.206089445088606,-196.64764460945614,-0.905514203872847,220.0,-7.658121737791425,-0.035263773549536255,0.0004721934815702143,0.965350748678231,1.0358929139167408,2117.7759520835357,0.0001,10000.0,2.220446049250313e-16,2.220446049250313e-14,5.684341886080801e-13,0.6119044004353885,0.0,0.06037129665539306,0.0
1.0,0.9,960,128,901,320,15.206089445088606,-198.7356384206827,-1.0414843410371737,220.0,-7.739435250729169,-0.040558908740077664,0.0004353173508278223,0.9602525955746654,1.0413926550248456,2297.1746889903366,0.0001,10000.0,2.220446049250313e-16,2.042810365310288e-14,5.258016244624741e-13,0.623143707509699,0.0,0.058898363532893426,0.0
3.0,0.1,960,128,1102,320,15.206089445088606,-189.55725067097356,103.23829441904437,220.0,-7.381997912064264,4.020446968653785,0.0006223562300366217,55.72600803992113,0.017944942319995678,1606.7968017949404,0.0001,10000.0,2.220446049250313e-16,1.5987211554602254e-14,4.263256414560601e-13,0.5820013630825408,0.0,0.06576219060784634,0.0
3.0,0.5,960,128,1102,320,15.206089445088606,-194.75718757212445,-0.6184447206923602,220.0,-7.584500972281099,-0.02408432080924485,0.000508268365017842,0.9762033920274059,1.0243766905205816,1967.464569558439,0.0001,10000.0,2.220446049250313e-16,2.1316282072803006e-14,5.258016244624741e-13,0.6023350752719744,0.0,0.05775933090201933,0.0
3.0,0.9,960,128,1102,320,15.206089445088606,-200.4987290116249,-0.9951218336011953,220.0,-7.808095937751407,-0.038753396516836375,0.00040643118180888946,0.9619879094671879,1.039514104240526,2460.441139258395,0.0001,10000.0,2.220446049250313e-16,1.865174681370263e-14,4.831690603168681e-13,0.6218534775227673,0.0,0.054874200811572,0.0
6.0,0.1,1920,128,1402,320,15.206089445088606,-186.7254221186314,170.92487718387548,220.0,-7.271716968514397,6.656390520673557,0.0006949178168595591,777.7386331857803,0.0012857789973783232,1439.0190836078348,0.0001,10000.0,2.220446049250313e-16,2.1760371282653068e-14,5.684341886080801e-13,0.5747842044896917,0.0,0.06624098025052523,0.0
6.0,0.5,1920,128,1402,320,15.206089445088606,-193.63391189308447,19.29782838819567,220.0,-7.540756833304645,0.7515224469904646,0.0005309955945330688,2.120225491601112,0.4716479468628777,1883.2547958883736,0.0001,10000.0,2.220446049250313e-16,1.7763568394002505e-14,4.831690603168681e-13,0.5985771066127387,0.0,0.05678911787213502,0.0
6.0,0.9,1920,128,1402,320,15.206089445088606,-201.2170349741584,-0.9328717386629138,220.0,-7.8360691917254774,-0.03632916811494933,0.00039521952350651135,0.9643228169105621,1.0369971367096118,2530.239374633335,0.0001,10000.0,2.220446049250313e-16,2.042810365310288e-14,5.400124791776761e-13,0.6213473846785333,0.0,0.05343390428456277,0.0
15.0,0.1,3840,128,2302,320,15.206089445088606,-185.7172492075635,214.84042087057335,220.0,-7.232455319075193,8.366609732309403,0.0007227441153881267,4301.029674962263,0.00023250246465894795,1383.615554535483,0.0001,10000.0,2.220446049250313e-16,2.7533531010703882e-14,7.389644451905042e-13,0.5725661540344751,0.0,0.06628489644400375,0.0
15.0,0.5,3840,128,2302,320,15.206089445088606,-193.23094426263427,42.46224253236109,220.0,-7.525063916277818,1.653622768878103,0.0005393941912223351,5.225877722331165,0.19135541494337124,1853.9317187192435,0.0001,10000.0,2.220446049250313e-16,2.3092638912203256e-14,5.968558980384842e-13,0.59741867926548,0.0,0.05646099518581304,0.0
15.0,0.9,3840,128,2302,320,15.206089445088606,-201.45552857581234,-0.848770717701582,220.0,-7.845356935999137,-0.03305399104342362,0.0003915658192403377,0.9674863225828252,1.0336063432197942,2553.8490615449095,0.0001,10000.0,2.220446049250313e-16,2.5757174171303632e-14,6.821210263296962e-13,0.6211911833454421,0.0,0.05298801511244851,0.0
