L_support_nm,pzc_support_V,low_N_modes,high_N_modes,low_gl_order,high_gl_order,E_mix_low_modes_V,E_mix_high_modes_V,i_mix_avg_low_modes_A_per_m2,i_mix_avg_high_modes_A_per_m2,mode_delta_E_mV,mode_delta_i_percent,E_mix_gl64_V,E_mix_gl128_V,i_mix_avg_gl64_A_per_m2,i_mix_avg_gl128_A_per_m2,quadrature_delta_E_mV,quadrature_delta_i_percent,relative_balance_high,relative_balance_low_modes,relative_balance_gl64,E_tolerance_mV,i_tolerance_percent,passed
1.0,0.1,480,960,64,128,0.600356557565223,0.6003568752301423,0.06427850394767742,0.06427793296666569,0.0003176649192582204,0.0008882923165110521,0.6003570421505378,0.6003568752301423,0.06427764608961169,0.06427793296666569,0.0001669203955056986,0.000446309209271671,1.149063224936908e-15,7.386769400763662e-16,1.5594499080661561e-15,0.002,0.005,True
1.0,0.5,480,960,64,128,0.6119042770475631,0.6119044004353885,0.06037149479946391,0.06037129665539306,0.00012338782540144422,0.00032820799205073633,0.6119044727540525,0.6119044004353885,0.06037119680232855,0.06037129665539306,7.231866394619146e-05,0.00016539851749391445,2.3681901988809874e-14,2.6390815230259458e-14,2.2196358133632695e-14,0.002,0.005,True
1.0,0.9,480,960,64,128,0.6231436930865211,0.623143707509699,0.058898447459163415,0.058898363532893426,1.4423177985278812e-05,0.0001424931786994877,0.6231437164236129,0.623143707509699,0.058898328024876934,0.058898363532893426,8.9139138292893e-06,6.028696854923097e-05,4.68464032932721e-14,4.962307924158712e-14,4.774215680391468e-14,0.002,0.005,True
2.0,0.1,480,960,64,128,0.5884777250185026,0.588478197044597,0.06519792644058596,0.06519679167293072,0.00047202609443353083,0.0017404965421390865,0.5884781263319326,0.588478197044597,0.06519691530627096,0.06519679167293072,7.07126643906264e-05,0.00018963065915806948,9.71030371084367e-16,2.1038625190577196e-15,1.3756237504268548e-15,0.002,0.005,True
2.0,0.5,480,960,64,128,0.6057056040110216,0.6057057326070008,0.058619629502807004,0.05861936925863239,0.0001285959791985647,0.0004439539738144362,0.6057057030985606,0.6057057326070008,0.058619408751517894,0.05861936925863239,2.9508440135828096e-05,6.737168856639322e-05,1.2239834892002476e-14,1.2059783779934249e-14,1.439979605390471e-14,0.002,0.005,True
2.0,0.9,480,960,64,128,0.6223074385379361,0.6223074496230011,0.05621173368922565,0.05621171540913961,1.1085064977045533e-05,3.252005379557338e-05,0.6223074460811331,0.6223074496230011,0.05621172775310029,0.05621171540913961,3.5418680210952402e-06,2.1959760308781727e-05,1.2670236514709941e-14,1.1731696661427961e-14,1.3702623147585423e-14,0.002,0.005,True
3.0,0.1,480,960,64,128,0.5820004738319814,0.5820013630825408,0.06576407207666309,0.06576219060784634,0.0008892505594104705,0.0028609372220006015,0.5820011944238471,0.5820013630825408,0.06576248406030215,0.06576219060784634,0.0001686586936777701,0.00044623079556769315,1.6044696865709965e-16,2.0857509188106694e-15,8.824543898132315e-16,0.002,0.005,True
3.0,0.5,480,960,64,128,0.6023348037418993,0.6023350752719744,0.05775978205412029,0.05775933090201933,0.0002715300750910643,0.0007810834544573606,0.6023349971145234,0.6023350752719744,0.05775943323778796,0.05775933090201933,7.815745095562932e-05,0.0001771758531783009,6.393720961921073e-16,1.8267631490355773e-16,1.6440967629749373e-15,0.002,0.005,True
3.0,0.9,480,960,64,128,0.6218534511738361,0.6218534775227673,0.05487427245225991,0.054874200811572,2.6348931259079222e-05,0.00013055423736523403,0.6218534676213658,0.6218534775227673,0.05487423834952793,0.054874200811572,9.90140147649754e-06,6.840724729889008e-05,3.2688011423744094e-15,8.460415440700297e-15,6.922162389764203e-15,0.002,0.005,True
6.0,0.1,960,1920,64,128,0.5747836586603905,0.5747842044896917,0.06624193210095637,0.06624098025052523,0.0005458293012017279,0.00143693035657616,0.5747844578190031,0.5747842044896917,0.06624048847237997,0.06624098025052523,0.00025332931141708315,0.0007424132227932703,7.964362918071148e-16,7.964248475722671e-16,3.1857688186218265e-16,0.002,0.005,True
6.0,0.5,960,1920,64,128,0.598576919109357,0.5985771066127387,0.056789352442886014,0.05678911787213502,0.00018750338171003023,0.0004130541041698291,0.5985772001641317,0.5985771066127387,0.05678898517284878,0.05678911787213502,9.355139307665183e-05,0.0002336708180926942,1.8579869754336535e-16,2.7869689514132867e-15,1.3005939219049115e-15,0.002,0.005,True
6.0,0.9,960,1920,64,128,0.6213473643728793,0.6213473846785333,0.053433963728620304,0.05343390428456277,2.0305654047092503e-05,0.00011124770348762381,0.6213473949644854,0.6213473846785333,0.05343387677308933,0.05343390428456277,1.0285952090072215e-05,5.148695005497114e-05,1.3822573876244653e-15,3.554372185443947e-15,1.5797235420647274e-15,0.002,0.005,True
10.0,0.1,1920,3840,64,128,0.5729139979652893,0.5729142667439312,0.06628752633485292,0.0662869548780262,0.0002687786418986704,0.0008620880251789455,0.5729143892958677,0.5729142667439312,0.0662867007218661,0.0662869548780262,0.0001225519364878025,0.00038341953564749616,8.754722984457649e-16,3.1835081858324243e-16,2.3080721818318258e-15,0.002,0.005,True
10.0,0.5,1920,3840,64,128,0.59760076300943,0.5976008429440848,0.05651550058819777,0.05651537025357021,7.993465478417505e-05,0.00023061748760295282,0.5976008806640686,0.5976008429440848,0.05651531037601567,0.05651537025357021,3.7719983803086166e-05,0.00010594926249406855,3.2672266241717326e-15,2.707124388339932e-15,4.76082098212818e-15,0.002,0.005,True
10.0,0.9,1920,3840,64,128,0.6212157609892383,0.6212157685468731,0.05305884526804623,0.053058825664454,7.557634851274031e-06,3.6946888176052346e-05,0.621215772142438,0.6212157685468731,0.053058817142931806,0.053058825664454,3.5955648458596556e-06,1.606052048476444e-05,3.2812105441817858e-15,1.193167029773302e-15,3.678933625241433e-15,0.002,0.005,True
1000.0,0.1,9600,11520,64,128,0.5724491883073602,0.5724686441826032,0.06642097505220013,0.0663792965157457,0.01945587524299075,0.06274905844376838,0.5724686441826026,0.5724686441826032,0.06637929651574838,0.0663792965157457,6.661338147750939e-13,4.03501270350574e-12,8.74254410488827e-16,5.559946153222639e-16,1.589553473615986e-16,0.03,0.1,True
