L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,separated_electrodes_E_mix_with_V,delta_E_mix_separated_minus_case_mV
1.0,0.1,960,128,3.0412178890177213,0.6003568752301423,0.4670000000000001,0.06427793296666569,0.11756035407872445,2.571117318666628e-12,4.7024141631489785e-12,-172.3125885238817,-100.61850545688203,0.10545451004600986,10.545451004600986,1.149063224936908e-15,1.7950514385510672e-15,7.584909325163384,False,0.6249104327868923,24.55355755675004
2.0,0.1,960,128,3.0412178890177213,0.588478197044597,0.4670000000000002,0.06519679167293072,0.11756035407872475,2.607871666917229e-12,4.7024141631489906e-12,-163.80194887173462,-87.46226426574825,0.091055192510693,9.1055192510693,9.71030371084367e-16,4.308123452522561e-15,7.465767431679058,False,0.6249104327868923,36.43223574229526
3.0,0.1,960,128,3.0412178890177213,0.5820013630825408,0.46699999999999964,0.06576219060784634,0.1175603540787235,2.630487624313854e-12,4.7024141631489405e-12,-159.06810571716812,-80.30473592921963,0.08209041615224245,8.209041615224246,1.6044696865709965e-16,6.0134223191460756e-15,7.3819979120642625,False,0.6249104327868923,42.90906970435149
6.0,0.1,1920,128,3.0412178890177213,0.5747842044896917,0.4670000000000002,0.06624098025052523,0.11756035407872475,2.6496392100210095e-12,4.7024141631489906e-12,-153.7385031139193,-72.28176099550109,0.06861685634431929,6.861685634431929,7.964362918071148e-16,4.308123452522561e-15,7.271716968514406,False,0.6249104327868923,50.12622829720059
10.0,0.1,3840,128,3.0412178890177213,0.5729142667439312,0.46699999999999964,0.0662869548780262,0.1175603540787235,2.651478195121048e-12,4.7024141631489405e-12,-152.3491587264994,-70.17640223715694,0.061639208971335124,6.163920897133512,8.754722984457649e-16,6.0134223191460756e-15,7.885643125353622,False,0.6249104327868923,51.99616604296109
1000.0,0.1,11520,128,3.0412178890177213,0.5724686441826032,0.4670000000000165,0.0663792965157457,0.11756035407876213,2.6551718606298284e-12,4.702414163150486e-12,-152.06127929882052,-69.73575969035743,0.050506792361621505,5.050679236162151,8.74254410488827e-16,3.033636931151246e-13,8.587005437241908,False,0.6249104327868923,52.44178860428905
1.0,0.5,960,128,3.0412178890177213,0.6119044004353885,0.4670000000000001,0.06037129665539306,0.11756035407872445,2.4148518662157226e-12,4.7024141631489785e-12,-182.13567957388935,-110.44159650688975,0.03988274223010662,3.988274223010662,2.3681901988809874e-14,1.7950514385510672e-15,7.6581217377914115,False,0.6249104327868923,13.006032351503771
2.0,0.5,960,128,3.0412178890177213,0.6057057326070008,0.4670000000000002,0.05861936925863239,0.11756035407872475,2.344774770345296e-12,4.7024141631489906e-12,-178.5311015816143,-102.19141697562799,0.03217175469722906,3.2171754697229065,1.2239834892002476e-14,4.308123452522561e-15,7.616703357840368,False,0.6249104327868923,19.20470017989151
3.0,0.5,960,128,3.0412178890177213,0.6023350752719744,0.46699999999999964,0.05775933090201933,0.1175603540787235,2.3103732360807736e-12,4.7024141631489405e-12,-176.48576008272147,-97.72239029477296,0.027371898235997793,2.7371898235997794,6.393720961921073e-16,6.0134223191460756e-15,7.5845009722811,False,0.6249104327868923,22.575357514917904
6.0,0.5,1920,128,3.0412178890177213,0.5985771066127387,0.4670000000000002,0.05678911787213502,0.11756035407872475,2.271564714885401e-12,4.7024141631489906e-12,-174.17823557463709,-92.7214934562189,0.020155630965589578,2.015563096558958,1.8579869754336535e-16,4.308123452522561e-15,7.540756833304643,False,0.6249104327868923,26.333326174153626
10.0,0.5,3840,128,3.0412178890177213,0.5976008429440848,0.46699999999999964,0.05651537025357021,0.1175603540787235,2.2606148101428086e-12,4.7024141631489405e-12,-173.58192338174996,-91.40916689240741,0.01641589633292791,1.641589633292791,3.2672266241717326e-15,6.0134223191460756e-15,7.527685031617038,False,0.6249104327868923,27.30958984280751
