check_kind,L_support_nm,pzc_support_V,low_N_modes,high_N_modes,E_mix_low_modes_V,E_mix_high_modes_V,i_mix_avg_low_modes_A_per_m2,i_mix_avg_high_modes_A_per_m2,mode_delta_E_mV,mode_delta_i_percent,relative_balance_low_modes,relative_balance_high_modes,E_tolerance_mV,i_tolerance_percent,passed
original_requested_resolution_audit,1.0,0.1,480,960,0.600356557565223,0.6003568752301423,0.06427850394767742,0.06427793296666569,0.0003176649192582204,0.0008882923165110521,7.386769400763662e-16,1.149063224936908e-15,0.002,0.005,True
original_requested_resolution_audit,1.0,0.5,480,960,0.6119042770475631,0.6119044004353885,0.06037149479946391,0.06037129665539306,0.00012338782540144422,0.00032820799205073633,2.6390815230259458e-14,2.3681901988809874e-14,0.002,0.005,True
original_requested_resolution_audit,1.0,0.9,480,960,0.6231436930865211,0.623143707509699,0.058898447459163415,0.058898363532893426,1.4423177985278812e-05,0.0001424931786994877,4.962307924158712e-14,4.68464032932721e-14,0.002,0.005,True
original_requested_resolution_audit,3.0,0.1,480,960,0.5820004738319814,0.5820013630825408,0.06576407207666309,0.06576219060784634,0.0008892505594104705,0.0028609372220006015,2.0857509188106694e-15,1.6044696865709965e-16,0.002,0.005,True
original_requested_resolution_audit,3.0,0.5,480,960,0.6023348037418993,0.6023350752719744,0.05775978205412029,0.05775933090201933,0.0002715300750910643,0.0007810834544573606,1.8267631490355773e-16,6.393720961921073e-16,0.002,0.005,True
original_requested_resolution_audit,3.0,0.9,480,960,0.6218534511738361,0.6218534775227673,0.05487427245225991,0.054874200811572,2.6348931259079222e-05,0.00013055423736523403,8.460415440700297e-15,3.2688011423744094e-15,0.002,0.005,True
original_requested_resolution_audit,6.0,0.1,480,960,0.5747818314128877,0.5747836586603905,0.06624612670039277,0.06624193210095637,0.0018272475027503177,0.00633184103785113,3.981872096084665e-16,7.964248475722671e-16,0.002,0.005,False
original_requested_resolution_audit,6.0,0.5,480,960,0.59857643939808,0.598576919109357,0.05679025982746181,0.056789352442886014,0.000479711276923922,0.001597782046697768,2.786924421723741e-16,2.7869689514132867e-15,0.002,0.005,True
original_requested_resolution_audit,6.0,0.9,480,960,0.6213473250707947,0.6213473643728793,0.05343405223956335,0.053433963728620304,3.9302084586800845e-05,0.00016564520064891536,8.885915744492499e-16,3.554372185443947e-15,0.002,0.005,True
original_requested_resolution_audit,15.0,0.1,480,960,0.5725565875065517,0.5725637526433901,0.0663053104663239,0.06629001627259629,0.0071651368384051395,0.023066317946560475,1.4321944433959765e-15,4.775082913793691e-16,0.002,0.005,False
original_requested_resolution_audit,15.0,0.5,480,960,0.5974159034760418,0.5974179836404493,0.056465577980810054,0.05646214113811832,0.0020801644075030268,0.006086615624300185,1.2146114381867113e-15,4.20468013182569e-15,0.002,0.005,False
original_requested_resolution_audit,15.0,0.9,480,960,0.6211909284365755,0.6211911194265736,0.052988644765698756,0.05298817204151253,0.00019098999803901506,0.0008921235640513041,1.1947477632539384e-15,2.986896054938381e-16,0.002,0.005,True
original_requested_resolution_audit,1000.0,0.1,5760,7680,0.572352245512118,0.5724158767048154,0.06662892434921439,0.0664923444638991,0.0636311926973665,0.20498587760392306,3.9589953756336423e-16,7.934254853209471e-16,0.03,0.1,False
original_requested_resolution_audit,1000.0,0.5,5760,7680,0.5973407260717296,0.5973613862344098,0.056534885146100035,0.05650122135106419,0.020660162680208316,0.059545172770494564,5.412392350888278e-15,4.015026462861269e-15,0.03,0.1,True
original_requested_resolution_audit,1000.0,0.9,5760,7680,0.6211826141246627,0.6211846493052849,0.05298916599757298,0.052984123912705045,0.0020351806222507207,0.009515312749339696,4.08201470434795e-15,2.0909869832511698e-15,0.03,0.1,True
