L_support_nm,x_nm,material,sigma_C_per_m2,sigma_uC_per_cm2,phi_RP_with_V,phi_RP_no_V,i1_with_A_per_m2,i2_with_A_per_m2,i1_no_A_per_m2,i2_no_A_per_m2,c_R1_over_bulk,c_O2_over_bulk
1000.0,0.0,Au,-0.06966248732739878,-6.966248732739879,-0.19331363911079266,0.0,0.06901422448508025,0.0,0.23512070815752426,0.0,0.0005376599116069489,1859.9117739896524
1000.0,0.008333333333,Au,-0.06966350069753263,-6.966350069753263,-0.19331161237052497,0.0,0.06901694811940785,0.0,0.23512070815752426,0.0,0.0005377023497535393,1859.764980492198
1000.0,0.016666666667,Au,-0.06966651575338882,-6.966651575338882,-0.19330558225881259,0.0,0.06902505231897793,0.0,0.23512070815752426,0.0,0.0005378286347636754,1859.328297831158
1000.0,0.025,Au,-0.06967145826449277,-6.9671458264492765,-0.1932956972366047,0.0,0.06903833940393445,0.0,0.23512070815752426,0.0,0.0005380357150143688,1858.6126758765338
1000.0,0.033333333333,Au,-0.069678207589541,-6.9678207589541,-0.19328219858650822,0.0,0.06905648792644406,0.0,0.23512070815752426,0.0,0.0005383186255479241,1857.635891721481
1000.0,0.041666666667,Au,-0.06968660117145176,-6.968660117145175,-0.19326541142268672,0.0,0.06907906441106275,0.0,0.23512070815752426,0.0,0.0005386706657158285,1856.4218615304035
1000.0,0.05,Au,-0.06969644059656946,-6.969644059656946,-0.1932457325724513,0.0,0.06910553922386696,0.0,0.23512070815752426,0.0,0.0005390836399791583,1854.9997177407597
1000.0,0.058333333333,Au,-0.06970749899445078,-6.970749899445078,-0.19322361577668867,0.0,0.06913530602094843,0.0,0.23512070815752426,0.0,0.00053954815409862,1853.4026896461542
1000.0,0.066666666667,Au,-0.06971952950503121,-6.9719529505031215,-0.1931995547555278,0.0,0.06916770409585503,0.0,0.23512070815752426,0.0,0.0005400539569457747,1851.666832802055
1000.0,0.075,Au,-0.06973227450038066,-6.973227450038067,-0.1931740647648289,0.0,0.06920204283466051,0.0,0.23512070815752426,0.0,0.0005405903163737708,1849.8296578967716
1000.0,0.083333333333,Au,-0.0697454752200998,-6.97454752200998,-0.19314766332539063,0.0,0.0692376274010323,0.0,0.23512070815752426,0.0,0.0005411464160805104,1847.9287126078323
1000.0,0.091666666667,Au,-0.06975888146369927,-6.975888146369927,-0.1931208508381917,0.0,0.0692737847162015,0.0,0.23512070815752426,0.0,0.000541711759268673,1846.0001705520106
1000.0,0.1,Au,-0.06977226098074303,-6.977226098074303,-0.19309409180410417,0.0,0.06930988877416297,0.0,0.23512070815752426,0.0,0.0005422765642506734,1844.0774798774798
1000.0,0.108333333333,Au,-0.06978540821014505,-6.978540821014505,-0.19306779734530014,0.0,0.06934538434323678,0.0,0.23512070815752426,0.0,0.0005428321370387694,1842.190120605515
1000.0,0.116666666667,Au,-0.06979815204339723,-6.979815204339723,-0.19304230967879576,0.0,0.06937980815265968,0.0,0.23512070815752426,0.0,0.0005433712064596291,1840.36251481849
1000.0,0.125,Au,-0.06981036232196948,-6.981036232196948,-0.19301788912165127,0.0,0.06941280674723546,0.0,0.23512070815752426,0.0,0.0005438882084720176,1838.6131275200255
1000.0,0.133333333333,Au,-0.06982195482528168,-6.9821954825281685,-0.19299470411502687,0.0,0.06944415031187413,0.0,0.23512070815752426,0.0,0.0005443795081303705,1836.9537887905133
1000.0,0.141666666667,Au,-0.06983289456080986,-6.983289456080986,-0.1929728246439705,0.0,0.06947374191698487,0.0,0.23512070815752426,0.0,0.0005448435499702392,1835.389260007983
1000.0,0.15,Au,-0.06984319723021323,-6.984319723021323,-0.19295221930516376,0.0,0.06950162180975095,0.0,0.23512070815752426,0.0,0.0005452809304033801,1833.9170586072657
1000.0,0.158333333333,Au,-0.06985292881242623,-6.985292881242623,-0.19293275614073777,0.0,0.06952796656747341,0.0,0.23512070815752426,0.0,0.0005456943888588158,1832.527547316826
1000.0,0.166666666667,Au,-0.06986220327406906,-6.9862203274069055,-0.19291420721745212,0.0,0.0695530831291056,0.0,0.23512070815752426,0.0,0.0005460887177318174,1831.2042851819128
1000.0,0.175,Au,-0.06987117848681057,-6.9871178486810575,-0.1928962567919691,0.0,0.06957739792090215,0.0,0.23512070815752426,0.0,0.0005464705945310811,1829.9246290792394
1000.0,0.183333333333,Au,-0.06988005049785947,-6.988005049785947,-0.19287851276987128,0.0,0.06960144148255534,0.0,0.23512070815752426,0.0,0.000546848342766426,1828.6605660010705
1000.0,0.191666666667,Au,-0.06988904636110536,-6.9889046361105365,-0.1928605210433795,0.0,0.06962582917284428,0.0,0.23512070815752426,0.0,0.00054723163093412,1827.3797483033063
1000.0,0.2,Au,-0.06989841579040801,-6.989841579040801,-0.1928417821847742,0.0,0.06965123868167696,0.0,0.23512070815752426,0.0,0.0005476311213064577,1826.046696568937
1000.0,0.208333333333,Au,-0.06990842194104895,-6.990842194104895,-0.19282176988349234,0.0,0.06967838519251589,0.0,0.23512070815752426,0.0,0.0005480580820184438,1824.624128006832
1000.0,0.216666666667,Au,-0.06991933165873751,-6.991933165873751,-0.1927999504481152,0.0,0.06970799512160815,0.0,0.23512070815752426,0.0,0.0005485239771148852,1823.074362691999
1000.0,0.225,Au,-0.0699314055566355,-6.99314055566355,-0.19277580265231922,0.0,0.06974077940644194,0.0,0.23512070815752426,0.0,0.0005490400497704346,1821.3607557738662
1000.0,0.233333333333,Au,-0.06994488828869411,-6.994488828869411,-0.19274883718820202,0.0,0.0697774073248806,0.0,0.23512070815752426,0.0,0.0005496169138456442,1819.4491013805346
1000.0,0.241666666667,Au,-0.06995999938187283,-6.995999938187284,-0.19271861500184456,0.0,0.06981848179991393,0.0,0.23512070815752426,0.0,0.0005502641683518095,1817.308953616354
1000.0,0.25,Au,-0.0699769249707225,-6.99769249707225,-0.19268476382414523,0.0,0.06986451708562892,0.0,0.23512070815752426,0.0,0.0005509900483430528,1814.9148119956399
1000.0,0.258333333333,Au,-0.06999581074597527,-6.999581074597527,-0.19264699227363968,0.0,0.06991591964127031,0.0,0.23512070815752426,0.0,0.000551801124317275,1812.247122977987
1000.0,0.266666666667,Au,-0.0700167563852183,-7.00167563852183,-0.19260510099515363,0.0,0.06997297288596299,0.0,0.23512070815752426,0.0,0.0005527020604651689,1809.2930559339209
1000.0,0.275,Au,-0.07003981168013053,-7.003981168013053,-0.19255899040532917,0.0,0.0700358263915581,0.0,0.23512070815752426,0.0,0.0005536954401361387,1806.0470206403131
1000.0,0.283333333333,Au,-0.07006497451297614,-7.006497451297614,-0.19250866473963796,0.0,0.07010448991930816,0.0,0.23512070815752426,0.0,0.0005547816647456341,1802.510903921991
1000.0,0.291666666667,Au,-0.070092190767164,-7.0092190767164,-0.19245423223126223,0.0,0.07017883254163944,0.0,0.23512070815752426,0.0,0.0005559589300671118,1798.6940148245958
1000.0,0.3,Au,-0.07012135618545486,-7.012135618545486,-0.19239590139468052,0.0,0.0702585869182448,0.0,0.23512070815752426,0.0,0.0005572232814777053,1794.6127400637158
1000.0,0.308333333333,Au,-0.07015232011720741,-7.015232011720742,-0.1923339735311754,0.0,0.07034335861977288,0.0,0.23512070815752426,0.0,0.0005585687472759664,1790.2899238040259
1000.0,0.316666666667,Au,-0.07018489102549731,-7.018489102549731,-0.1922688317145956,0.0,0.07043264021681407,0.0,0.23512070815752426,0.0,0.000559987546687262,1785.7539974160768
1000.0,0.325,Au,-0.07021884355892218,-7.021884355892218,-0.19220092664774588,0.0,0.07052582968220224,0.0,0.23512070815752426,0.0,0.0005614703666667681,1781.0378950836039
1000.0,0.333333333333,Au,-0.07025392693361436,-7.025392693361436,-0.1921307598983615,0.0,0.0706222524951685,0.0,0.23512070815752426,0.0,0.0005630066991415697,1776.177799526586
1000.0,0.341666666667,Au,-0.07028987432062478,-7.028987432062478,-0.19205886512434067,0.0,0.07072118669192015,0.0,0.23512070815752426,0.0,0.0005645852279725935,1771.211768311697
1000.0,0.35,Au,-0.0703264128946405,-7.032641289464051,-0.19198578797630922,0.0,0.07082188998526284,0.0,0.23512070815752426,0.0,0.0005661942527696709,1766.1782950078834
1000.0,0.358333333333,Au,-0.07036327417317455,-7.036327417317454,-0.19191206541924113,0.0,0.07092362798075186,0.0,0.23512070815752426,0.0,0.000567822134855089,1761.1148608273345
1000.0,0.366666666667,Au,-0.07040020426198933,-7.040020426198932,-0.19183820524161158,0.0,0.07102570245386162,0.0,0.23512070815752426,0.0,0.0005694577492615307,1756.056531492975
1000.0,0.375,Au,-0.0704369736234877,-7.04369736234877,-0.19176466651861482,0.0,0.07112747862726318,0.0,0.23512070815752426,0.0,0.0005710909258016592,1751.0346510868947
1000.0,0.383333333333,Au,-0.07047338599990174,-7.047338599990175,-0.19169184176578674,0.0,0.07122841040206221,0.0,0.23512070815752426,0.0,0.0005727128620500671,1746.0756799147616
1000.0,0.391666666667,Au,-0.07050928615182017,-7.050928615182017,-0.19162004146194989,0.0,0.07132806255335451,0.0,0.23512070815752426,0.0,0.0005743164916077143,1741.2002173238095
1000.0,0.4,Au,-0.07054456611437737,-7.054456611437737,-0.1915494815368355,0.0,0.07142612899956564,0.0,0.23512070815752426,0.0,0.0005758967923285939,1736.4222432227446
1000.0,0.408333333333,Au,-0.07057916972641508,-7.057916972641507,-0.19148027431276007,0.0,0.07152244639306361,0.0,0.23512070815752426,0.0,0.0005774510212456985,1731.7486041374787
1000.0,0.416666666667,Au,-0.07061309525033219,-7.061309525033218,-0.19141242326492586,0.0,0.07161700245185396,0.0,0.23512070815752426,0.0,0.0005789788656734975,1727.178761243296
1000.0,0.425,Au,-0.07064639597020746,-7.064639597020745,-0.19134582182517532,0.0,0.0717099386526238,0.0,0.23512070815752426,0.0,0.0005804825032790102,1722.704809104897
1000.0,0.433333333333,Au,-0.07067917873028814,-7.067917873028814,-0.19128025630501394,0.0,0.0718015471244233,0.0,0.23512070815752426,0.0,0.0005819665676235714,1718.3117650270622
1000.0,0.441666666667,Au,-0.07071160045234501,-7.0711600452345005,-0.1912154128609002,0.0,0.07189226180984067,0.0,0.23512070815752426,0.0,0.0005834380195832968,1713.9781200995783
1000.0,0.45,Au,-0.07074386274625577,-7.074386274625577,-0.1911508882730787,0.0,0.07198264418715838,0.0,0.23512070815752426,0.0,0.0005849059289617924,1709.6766342837373
1000.0,0.458333333333,Au,-0.07077620480028773,-7.077620480028774,-0.19108620416501476,0.0,0.0720733640612119,0.0,0.23512070815752426,0.0,0.0005863811742866901,1705.3753494328346
1000.0,0.466666666667,Au,-0.07080889480328474,-7.080889480328474,-0.19102082415902075,0.0,0.07216517612321968,0.0,0.23512070815752426,0.0,0.000587876072048329,1701.038786143673
1000.0,0.475,Au,-0.07084222020807769,-7.084222020807769,-0.19095417334943485,0.0,0.07225889314334699,0.0,0.23512070815752426,0.0,0.0005894039493552649,1696.6292830135876
1000.0,0.483333333333,Au,-0.07087647719145326,-7.087647719145326,-0.1908856593826837,0.0,0.07235535678721218,0.0,0.23512070815752426,0.0,0.0005909786760311151,1692.1084305711054
1000.0,0.491666666667,Au,-0.07091195969912857,-7.0911959699128575,-0.1908146943673331,0.0,0.07245540713488431,0.0,0.23512070815752426,0.0,0.0005926141735088493,1687.438547206916
1000.0,0.5,Au,-0.07094894848331508,-7.094894848331508,-0.19074071679896007,0.0,0.0725598520269986,0.0,0.23512070815752426,0.0,0.0005943239185022437,1682.5841411870165
1000.0,0.508333333333,Au,-0.07098770054450408,-7.098770054450408,-0.19066321267658207,0.0,0.07266943736674805,0.0,0.23512070815752426,0.0,0.0005961204593772935,1677.5133016648992
1000.0,0.516666666667,Au,-0.07102843937772184,-7.1028439377721835,-0.19058173501014655,0.0,0.07278481947028571,0.0,0.23512070815752426,0.0,0.0005980149624764684,1672.198962813325
1000.0,0.525,Au,-0.07107134639730144,-7.107134639730144,-0.19049592097098736,0.0,0.07290654048550452,0.0,0.23512070815752426,0.0,0.0006000168044689256,1666.619988893643
1000.0,0.533333333333,Au,-0.07111655387371983,-7.111655387371983,-0.19040550601815057,0.0,0.07303500779325846,0.0,0.23512070815752426,0.0,0.0006021332251863908,1660.762034332932
1000.0,0.541666666667,Au,-0.07116413966253636,-7.116413966253636,-0.1903103344405175,0.0,0.07317047816998287,0.0,0.23512070815752426,0.0,0.0006043690534359607,1654.6181415391757
1000.0,0.55,Au,-0.07121412394122734,-7.121412394122734,-0.19021036588313556,0.0,0.0733130473321098,0.0,0.23512070815752426,0.0,0.0006067265160440527,1648.1890498542061
1000.0,0.558333333333,Au,-0.07126646809663806,-7.126646809663805,-0.1901056775723141,0.0,0.07346264530410088,0.0,0.23512070815752426,0.0,0.0006092051379095783,1641.483201260239
1000.0,0.566666666667,Au,-0.07132107582642984,-7.132107582642984,-0.18999646211273055,0.0,0.07361903785763584,0.0,0.23512070815752426,0.0,0.0006118017381554914,1634.516441576122
1000.0,0.575,Au,-0.07137779643565052,-7.137779643565052,-0.18988302089428918,0.0,0.0737818340653981,0.0,0.23512070815752426,0.0,0.0006145105246068371,1627.3114291082295
1000.0,0.583333333333,Au,-0.07143643022701221,-7.143643022701221,-0.1897657533115658,0.0,0.07395049980255107,0.0,0.23512070815752426,0.0,0.0006173232857867357,1619.896775359072
1000.0,0.591666666667,Au,-0.07149673580359545,-7.149673580359544,-0.18964514215839934,0.0,0.07412437681727499,0.0,0.23512070815752426,0.0,0.0006202296764296123,1612.3059537501613
1000.0,0.6,Au,-0.07155843902910908,-7.155843902910908,-0.18952173570737207,0.0,0.07430270678613426,0.0,0.23512070815752426,0.0,0.0006232175892375751,1604.5760217123664
1000.0,0.608333333333,Au,-0.07162124332580144,-7.162124332580144,-0.18939612711398734,0.0,0.07448465957554162,0.0,0.23512070815752426,0.0,0.000626273602301071,1596.7462085672678
1000.0,0.616666666667,Au,-0.07168484093610676,-7.168484093610676,-0.1892689318933767,0.0,0.07466936475418809,0.0,0.23512070815752426,0.0,0.0006293834883753107,1588.8564261216923
1000.0,0.625,Au,-0.07174892473390279,-7.174892473390279,-0.18914076429778465,0.0,0.074855945252561,0.0,0.23512070815752426,0.0,0.0006325327692245737,1580.9457606851056
1000.0,0.633333333333,Au,-0.07181320014588828,-7.181320014588828,-0.18901221347381367,0.0,0.07504355195056425,0.0,0.23512070815752426,0.0,0.0006357072956586114,1573.05100449409
1000.0,0.641666666667,Au,-0.07187739673420875,-7.187739673420874,-0.18888382029717274,0.0,0.075231397900215,0.0,0.23512070815752426,0.0,0.0006388938318757207,1565.2052815475024
1000.0,0.65,Au,-0.07194127899919611,-7.194127899919611,-0.188756055767198,0.0,0.0754187908654637,0.0,0.23512070815752426,0.0,0.0006420806215077602,1557.436817905762
