condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,0.01,0.4,1.07102819793984e-15,-2.781584867720223e-09,1.07102819793984e-06,-2.781584867720223,5.3551409896991996e-05,-139.07924338601114
with EDL,0.01,0.4002502606882169,1.0798654542791738e-15,-2.758821311012072e-09,1.0798654542791739e-06,-2.758821311012072,5.3993272713958684e-05,-137.94106555060358
with EDL,0.01,0.4005005213764338,1.0887756284928997e-15,-2.7362440436097064e-09,1.0887756284928997e-06,-2.7362440436097066,5.443878142464498e-05,-136.81220218048531
with EDL,0.01,0.4007507820646507,1.0977593222401964e-15,-2.7138515409839995e-09,1.0977593222401964e-06,-2.7138515409839994,5.4887966112009815e-05,-135.69257704919997
with EDL,0.01,0.4010010427528676,1.1068171421446503e-15,-2.6916422910820504e-09,1.1068171421446504e-06,-2.6916422910820503,5.5340857107232514e-05,-134.5821145541025
with EDL,0.01,0.4012513034410845,1.115949699835213e-15,-2.669614794225075e-09,1.115949699835213e-06,-2.669614794225075,5.579748499176065e-05,-133.48073971125373
with EDL,0.01,0.4015015641293014,1.1251576119874944e-15,-2.6477675630071867e-09,1.1251576119874944e-06,-2.6477675630071866,5.625788059937472e-05,-132.38837815035933
with EDL,0.01,0.40175182481751825,1.1344415003654225e-15,-2.626099122194911e-09,1.1344415003654226e-06,-2.626099122194911,5.672207501827112e-05,-131.30495610974555
with EDL,0.01,0.4020020855057352,1.143801991863213e-15,-2.604608008627597e-09,1.1438019918632128e-06,-2.604608008627597,5.719009959316064e-05,-130.23040043137985
with EDL,0.01,0.40225234619395206,1.1532397185477006e-15,-2.5832927711185916e-09,1.1532397185477005e-06,-2.583292771118592,5.7661985927385024e-05,-129.16463855592957
with EDL,0.01,0.40250260688216893,1.1627553177010298e-15,-2.5621519703572975e-09,1.1627553177010298e-06,-2.5621519703572977,5.813776588505148e-05,-128.10759851786486
with EDL,0.01,0.40275286757038586,1.1723494318636773e-15,-2.541184178811917e-09,1.1723494318636774e-06,-2.5411841788119167,5.861747159318386e-05,-127.05920894059584
with EDL,0.01,0.40300312825860274,1.182022708877841e-15,-2.5203879806331285e-09,1.1820227088778409e-06,-2.5203879806331284,5.9101135443892046e-05,-126.01939903165642
with EDL,0.01,0.4032533889468196,1.191775801931189e-15,-2.4997619715584095e-09,1.191775801931189e-06,-2.4997619715584096,5.9588790096559446e-05,-124.98809857792047
with EDL,0.01,0.40350364963503654,1.201609369600966e-15,-2.479304758817279e-09,1.2016093696009661e-06,-2.479304758817279,6.0080468480048294e-05,-123.96523794086394
with EDL,0.01,0.4037539103232534,1.2115240758984622e-15,-2.4590149610372203e-09,1.2115240758984622e-06,-2.4590149610372203,6.05762037949231e-05,-122.95074805186101
with EDL,0.01,0.4040041710114703,1.221520590313848e-15,-2.4388912081503893e-09,1.221520590313848e-06,-2.4388912081503893,6.107602951569239e-05,-121.94456040751945
with EDL,0.01,0.4042544316996872,1.231599587861388e-15,-2.418932141301116e-09,1.2315995878613881e-06,-2.418932141301116,6.15799793930694e-05,-120.94660706505579
with EDL,0.01,0.4045046923879041,1.2417617491250077e-15,-2.399136412754167e-09,1.2417617491250076e-06,-2.399136412754167,6.208808745625038e-05,-119.95682063770833
with EDL,0.01,0.40475495307612097,1.2520077603042704e-15,-2.379502685803722e-09,1.2520077603042704e-06,-2.379502685803722,6.260038801521351e-05,-118.97513429018609
with EDL,0.01,0.40500521376433785,1.262338313260698e-15,-2.3600296346830946e-09,1.262338313260698e-06,-2.3600296346830945,6.31169156630349e-05,-118.00148173415472
with EDL,0.01,0.4052554744525548,1.2727541055644941e-15,-2.340715944475228e-09,1.272754105564494e-06,-2.340715944475228,6.36377052782247e-05,-117.03579722376139
with EDL,0.01,0.40550573514077165,1.2832558405416384e-15,-2.321560311023931e-09,1.2832558405416384e-06,-2.321560311023931,6.416279202708191e-05,-116.07801555119653
with EDL,0.01,0.4057559958289885,1.2938442273213955e-15,-2.302561440845758e-09,1.2938442273213955e-06,-2.302561440845758,6.469221136606977e-05,-115.12807204228788
with EDL,0.01,0.40600625651720545,1.3045199808841904e-15,-2.283718051042712e-09,1.3045199808841904e-06,-2.2837180510427117,6.522599904420952e-05,-114.18590255213559
with EDL,0.01,0.40625651720542233,1.3152838221098756e-15,-2.2650288692156096e-09,1.3152838221098755e-06,-2.2650288692156098,6.576419110549378e-05,-113.25144346078046
with EDL,0.01,0.4065067778936392,1.3261364778264306e-15,-2.2464926333781474e-09,1.3261364778264305e-06,-2.246492633378147,6.630682389132152e-05,-112.32463166890736
with EDL,0.01,0.40675703858185613,1.337078680859028e-15,-2.228108091871682e-09,1.337078680859028e-06,-2.228108091871682,6.685393404295139e-05,-111.40540459358408
with EDL,0.01,0.407007299270073,1.3481111700795167e-15,-2.2098740032807476e-09,1.3481111700795166e-06,-2.209874003280748,6.740555850397582e-05,-110.49370016403738
with EDL,0.01,0.4072575599582899,1.3592346904563167e-15,-2.191789136349192e-09,1.3592346904563167e-06,-2.191789136349192,6.796173452281583e-05,-109.58945681745958
with EDL,0.01,0.4075078206465068,1.3704499931047323e-15,-2.1738522698970465e-09,1.3704499931047323e-06,-2.1738522698970466,6.852249965523661e-05,-108.69261349485231
with EDL,0.01,0.4077580813347237,1.381757835337645e-15,-2.156062192738088e-09,1.381757835337645e-06,-2.156062192738088,6.908789176688225e-05,-107.80310963690438
with EDL,0.01,0.40800834202294056,1.3931589807166844e-15,-2.13841770359801e-09,1.3931589807166844e-06,-2.13841770359801,6.965794903583421e-05,-106.9208851799005
with EDL,0.01,0.4082586027111575,1.4046541991037671e-15,-2.120917611033348e-09,1.404654199103767e-06,-2.120917611033348,7.023270995518835e-05,-106.04588055166738
with EDL,0.01,0.40850886339937437,1.416244266713078e-15,-2.1035607333510053e-09,1.416244266713078e-06,-2.103560733351005,7.08122133356539e-05,-105.17803666755024
with EDL,0.01,0.40875912408759124,1.4279299661635029e-15,-2.0863458985284667e-09,1.427929966163503e-06,-2.086345898528467,7.139649830817514e-05,-104.31729492642333
with EDL,0.01,0.40900938477580817,1.4397120865314621e-15,-2.0692719441346517e-09,1.439712086531462e-06,-2.069271944134652,7.19856043265731e-05,-103.46359720673257
with EDL,0.01,0.40925964546402505,1.4515914234041887e-15,-2.0523377172514386e-09,1.4515914234041888e-06,-2.0523377172514388,7.257957117020943e-05,-102.61688586257192
with EDL,0.01,0.4095099061522419,1.4635687789334607e-15,-2.035542074395781e-09,1.4635687789334607e-06,-2.035542074395781,7.317843894667303e-05,-101.77710371978904
with EDL,0.01,0.40976016684045885,1.4756449618897644e-15,-2.018883881442523e-09,1.4756449618897643e-06,-2.018883881442523,7.378224809448821e-05,-100.94419407212614
with EDL,0.01,0.4100104275286757,1.4878207877169009e-15,-2.002362013547816e-09,1.4878207877169008e-06,-2.002362013547816,7.439103938584504e-05,-100.11810067739079
with EDL,0.01,0.4102606882168926,1.5000970785870523e-15,-1.9859753550731487e-09,1.5000970785870523e-06,-1.9859753550731487,7.50048539293526e-05,-99.29876775365742
with EDL,0.01,0.41051094890510953,1.5124746634563065e-15,-1.9697227995100102e-09,1.5124746634563066e-06,-1.9697227995100102,7.562373317281532e-05,-98.48613997550049
with EDL,0.01,0.4107612095933264,1.5249543781206088e-15,-1.9536032494052044e-09,1.5249543781206087e-06,-1.9536032494052045,7.624771890603043e-05,-97.68016247026021
with EDL,0.01,0.4110114702815433,1.537537065272229e-15,-1.937615616286711e-09,1.537537065272229e-06,-1.937615616286711,7.687685326361145e-05,-96.88078081433555
with EDL,0.01,0.4112617309697602,1.5502235745566512e-15,-1.9217588205902053e-09,1.5502235745566512e-06,-1.9217588205902052,7.751117872783255e-05,-96.08794102951025
with EDL,0.01,0.4115119916579771,1.5630147626299333e-15,-1.906031791586143e-09,1.5630147626299334e-06,-1.906031791586143,7.815073813149666e-05,-95.30158957930715
with EDL,0.01,0.41176225234619396,1.575911493216572e-15,-1.8904334673074845e-09,1.575911493216572e-06,-1.8904334673074845,7.879557466082859e-05,-94.52167336537421
with EDL,0.01,0.4120125130344109,1.588914637167822e-15,-1.8749627944779622e-09,1.588914637167822e-06,-1.8749627944779623,7.944573185839109e-05,-93.74813972389809
with EDL,0.01,0.41226277372262776,1.6020250725204867e-15,-1.8596187284409816e-09,1.6020250725204867e-06,-1.8596187284409817,8.010125362602433e-05,-92.98093642204907
with EDL,0.01,0.41251303441084464,1.6152436845562268e-15,-1.8444002330890489e-09,1.6152436845562267e-06,-1.8444002330890488,8.076218422781133e-05,-92.22001165445243
with EDL,0.01,0.41276329509906157,1.628571365861324e-15,-1.8293062807938346e-09,1.628571365861324e-06,-1.8293062807938347,8.142856829306619e-05,-91.46531403969172
with EDL,0.01,0.41301355578727844,1.642009016386958e-15,-1.8143358523367814e-09,1.6420090163869581e-06,-1.8143358523367814,8.210045081934789e-05,-90.71679261683906
with EDL,0.01,0.4132638164754953,1.6555575435099807e-15,-1.7994879368402673e-09,1.6555575435099807e-06,-1.7994879368402674,8.277787717549902e-05,-89.97439684201336
with EDL,0.01,0.41351407716371225,1.6692178620941823e-15,-1.7847615316993453e-09,1.6692178620941823e-06,-1.7847615316993453,8.34608931047091e-05,-89.23807658496726
with EDL,0.01,0.4137643378519291,1.6829908945520534e-15,-1.7701556425140685e-09,1.6829908945520533e-06,-1.7701556425140685,8.414954472760266e-05,-88.50778212570341
with EDL,0.01,0.414014598540146,1.6968775709071028e-15,-1.7556692830223127e-09,1.6968775709071028e-06,-1.7556692830223126,8.484387854535513e-05,-87.78346415111562
with EDL,0.01,0.4142648592283629,1.710878828856632e-15,-1.7413014750331956e-09,1.710878828856632e-06,-1.7413014750331957,8.554394144283159e-05,-87.06507375165977
with EDL,0.01,0.4145151199165798,1.7249956138350552e-15,-1.7270512483610203e-09,1.7249956138350551e-06,-1.7270512483610203,8.624978069175275e-05,-86.35256241805101
with EDL,0.01,0.4147653806047967,1.7392288790777548e-15,-1.712917640759767e-09,1.7392288790777547e-06,-1.712917640759767,8.696144395388773e-05,-85.64588203798834
with EDL,0.01,0.4150156412930136,1.7535795856854334e-15,-1.6988996978581028e-09,1.7535795856854334e-06,-1.6988996978581028,8.767897928427166e-05,-84.94498489290513
with EDL,0.01,0.4152659019812305,1.7680487026890129e-15,-1.6849964730949658e-09,1.768048702689013e-06,-1.6849964730949658,8.840243513445063e-05,-84.24982365474828
with EDL,0.01,0.41551616266944735,1.7826372071150842e-15,-1.6712070276556224e-09,1.7826372071150843e-06,-1.6712070276556223,8.91318603557542e-05,-83.5603513827811
with EDL,0.01,0.4157664233576642,1.797346084051856e-15,-1.657530430408287e-09,1.797346084051856e-06,-1.657530430408287,8.986730420259279e-05,-82.87652152041434
with EDL,0.01,0.41601668404588116,1.8121763267156964e-15,-1.6439657578412342e-09,1.8121763267156963e-06,-1.643965757841234,9.060881633578482e-05,-82.1982878920617
with EDL,0.01,0.41626694473409803,1.8271289365181864e-15,-1.6305120940004653e-09,1.8271289365181864e-06,-1.6305120940004652,9.135644682590932e-05,-81.52560470002325
with EDL,0.01,0.4165172054223149,1.842204923133745e-15,-1.6171685304278294e-09,1.842204923133745e-06,-1.6171685304278294,9.211024615668725e-05,-80.85842652139146
with EDL,0.01,0.41676746611053184,1.8574053045678076e-15,-1.6039341660996935e-09,1.8574053045678077e-06,-1.6039341660996935,9.287026522839037e-05,-80.19670830498467
with EDL,0.01,0.4170177267987487,1.872731107225552e-15,-1.5908081073661096e-09,1.872731107225552e-06,-1.5908081073661096,9.363655536127759e-05,-79.54040536830547
with EDL,0.01,0.4172679874869656,1.888183365981232e-15,-1.5777894678904445e-09,1.888183365981232e-06,-1.5777894678904445,9.44091682990616e-05,-78.88947339452221
with EDL,0.01,0.4175182481751825,1.9037631242480474e-15,-1.5648773685895573e-09,1.9037631242480474e-06,-1.5648773685895574,9.518815621240236e-05,-78.24386842947786
with EDL,0.01,0.4177685088633994,1.919471434048587e-15,-1.552070937574424e-09,1.919471434048587e-06,-1.552070937574424,9.597357170242933e-05,-77.60354687872119
with EDL,0.01,0.41801876955161626,1.9353093560858816e-15,-1.5393693100912765e-09,1.9353093560858815e-06,-1.5393693100912766,9.676546780429407e-05,-76.96846550456382
with EDL,0.01,0.4182690302398332,1.95127795981503e-15,-1.5267716284631848e-09,1.95127795981503e-06,-1.5267716284631847,9.756389799075149e-05,-76.33858142315923
with EDL,0.01,0.41851929092805007,1.9673783235153965e-15,-1.514277042032178e-09,1.9673783235153965e-06,-1.514277042032178,9.836891617576982e-05,-75.7138521016089
with EDL,0.01,0.41876955161626694,1.983611534363438e-15,-1.50188470710177e-09,1.983611534363438e-06,-1.50188470710177,9.91805767181719e-05,-75.09423535508849
with EDL,0.01,0.4190198123044839,1.999978688506109e-15,-1.4895937868800029e-09,1.999978688506109e-06,-1.4895937868800029,9.999893442530544e-05,-74.47968934400014
with EDL,0.01,0.41927007299270075,2.016480891134882e-15,-1.4774034514229539e-09,2.016480891134882e-06,-1.477403451422954,0.00010082404455674409,-73.87017257114769
with EDL,0.01,0.4195203336809176,2.033119256560374e-15,-1.4653128775786833e-09,2.0331192565603737e-06,-1.4653128775786832,0.00010165596282801868,-73.26564387893416
with EDL,0.01,0.41977059436913455,2.0498949082875902e-15,-1.4533212489316335e-09,2.0498949082875904e-06,-1.4533212489316334,0.0001024947454143795,-72.66606244658166
with EDL,0.01,0.4200208550573514,2.066808979091776e-15,-1.4414277557475393e-09,2.066808979091776e-06,-1.4414277557475392,0.00010334044895458879,-72.07138778737696
with EDL,0.01,0.4202711157455683,2.0838626110949332e-15,-1.4296315949187087e-09,2.0838626110949334e-06,-1.4296315949187088,0.00010419313055474664,-71.48157974593543
with EDL,0.01,0.42052137643378523,2.1010569558429295e-15,-1.4179319699098331e-09,2.1010569558429294e-06,-1.4179319699098332,0.00010505284779214646,-70.89659849549165
with EDL,0.01,0.4207716371220021,2.1183931743832432e-15,-1.406328090704161e-09,2.1183931743832434e-06,-1.406328090704161,0.00010591965871916216,-70.31640453520805
