material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,0.0,-8.154076289311629,-209.38292066396218,0.00028756078634452754,3477.525613669371
Au,0.06335870602120251,-7.985957022967367,-205.06590157337726,0.00034020675475001435,2939.3890216401055
Au,0.12671741204240503,-7.821304009171317,-200.83788999959162,0.000401098305763977,2493.1543854200218
Au,0.19007611806360752,-7.6600457813569784,-196.69705080176374,0.00047128583419685195,2121.854567736294
Au,0.25343482408481005,-7.502112346442562,-192.64158667565312,0.0005519172974110442,1811.8656630093676
Au,0.3167935301060126,-7.347435154450944,-188.6697373735123,0.0006442426259443679,1552.2102383929387
Au,0.38015223612721505,-7.195947068756004,-184.7797789400627,0.0007496178094212895,1334.013129666713
Au,0.4435109421484176,-7.047582336942399,-180.97002296422295,0.0008695085969868441,1150.0748853609439
Au,0.5068696481696201,-6.902276562266166,-177.2388158462653,0.0010054937523304814,994.5362640814543
Au,0.5702283541908226,-6.759966675703731,-173.58453808008127,0.0011592678050447007,862.6134493241108
Au,0.6335870602120252,-6.6205909085772126,-170.00560355024578,0.0013326432425836345,750.3883770582671
Au,0.6969457662332277,-6.484088765744127,-166.5004588435737,0.001527552090432059,654.6421600046098
Au,0.7603044722544301,-6.350400999339872,-163.06758257487158,0.001746046832232666,572.7223242467685
Au,0.8236631782756326,-6.219469583061572,-159.70548472658987,0.0019903006265018118,502.43666041427014
Au,0.8870218842968352,-6.09123768698214,-156.41270600209066,0.002262606782130513,441.96809091961677
Au,0.9503805903180377,-5.965649652883626,-153.1878171922495,0.0025653774610459095,389.8061845418639
Au,1.0137392963392402,-5.842650970099122,-150.02941855511656,0.0029011415831154785,344.6918984650586
Au,1.0770980023604426,-5.7221882518527645,-146.9361392083677,0.0032725419155200286,305.5728622626651
Au,1.1404567083816453,-5.604209212087556,-143.90663653428192,0.0036823313363034365,271.5670885292644
Au,1.2038154144028477,-5.488662642770941,-140.93959559698695,0.004133368269523345,241.93343897598527
Au,1.2671741204240503,-5.375498391668295,-138.03372857171996,0.004628611297271171,216.04752176739422
Au,1.3305328264452527,-5.264667340574667,-135.18777418585543,0.005171112961694615,193.38196775192705
Au,1.3938915324664554,-5.156121383995356,-132.4004971714582,0.005764012777934712,173.49024690370436
Au,1.4572502384876578,-5.049813408266025,-129.67068772912342,0.006410529486479883,155.99335470011462
Au,1.5206089445088602,-4.945697271103325,-126.99716100287098,0.007113952580742073,140.56883127209258
Au,1.5839676505300628,-4.843727781577136,-124.37875656586648,0.007877633152583415,126.9416816740263
Au,1.6473263565512652,-4.743860680495744,-121.81433791674561,0.00870497410498114,114.87684948169832
Au,1.7106850625724679,-4.646052621195424,-119.30279198632316,0.00959941978693847,104.17296276183882
Au,1.7740437685936703,-4.550261150726099,-116.84302865447232,0.0105644451110637,94.65712486429996
Au,1.837402474614873,-4.4564446914249265,-114.43398027696573,0.01160354421889391,86.18056527691877
Au,1.9007611806360754,-4.36456252286977,-112.0746012220708,0.012720218762990133,78.61500015310513
Au,1.964119886657278,-4.274574764204776,-109.76386741670059,0.013917965878042577,71.84957979941822
Au,2.0274785926784804,-4.186442356830344,-107.50077590192124,0.015200265915679339,65.78832275351726
Au,2.090837298699683,-4.100127047450002,-105.28434439762447,0.01657057001935631,60.347954164032146
Au,2.1541960047208852,-4.0155913714668,-103.11361087617497,0.018032287616623236,55.45608085122491
