L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
6.0,0.5,Au,0.0,-207.5777677646727,-7.27657247047865
6.0,0.5,Au,0.005,-207.57788666965172,-7.2765665252297
6.0,0.5,Au,0.01,-207.57678365523924,-7.276621675950324
6.0,0.5,Au,0.015,-207.57589541428285,-7.2766660879981435
6.0,0.5,Au,0.02,-207.57383082445162,-7.276769317489705
6.0,0.5,Au,0.025,-207.571913337795,-7.276865191822536
6.0,0.5,Au,0.03,-207.56890778732674,-7.277015469345949
6.0,0.5,Au,0.035,-207.56594126388208,-7.277163795518181
6.0,0.5,Au,0.04,-207.5620121424081,-7.27736025159188
6.0,0.5,Au,0.045,-207.55798031884402,-7.277561842770084
6.0,0.5,Au,0.05,-207.5531406772317,-7.277803824850699
6.0,0.5,Au,0.055,-207.5480318081135,-7.27805926830661
6.0,0.5,Au,0.06,-207.54228950664944,-7.278346383379813
6.0,0.5,Au,0.065,-207.53609706378896,-7.278656005522838
6.0,0.5,Au,0.07,-207.52945423539248,-7.278988146942661
6.0,0.5,Au,0.075,-207.52217727264596,-7.279351995079987
6.0,0.5,Au,0.08,-207.51463013473352,-7.279729351975608
6.0,0.5,Au,0.085,-207.50627329528425,-7.280147193948074
6.0,0.5,Au,0.09,-207.49781232221108,-7.280570242601732
6.0,0.5,Au,0.095,-207.48838548763476,-7.281041584330547
6.0,0.5,Au,0.1,-207.4789959331898,-7.281511062052795
6.0,0.5,Au,0.105,-207.46851353589622,-7.2820351819174745
6.0,0.5,Au,0.11,-207.4581762735108,-7.282552045036746
6.0,0.5,Au,0.115,-207.44665631514331,-7.28312804295512
6.0,0.5,Au,0.12,-207.43534894365135,-7.283693411529718
6.0,0.5,Au,0.125,-207.42281178037257,-7.284320269693658
6.0,0.5,Au,0.13,-207.41050992657296,-7.284935362383638
6.0,0.5,Au,0.135,-207.3969768967427,-7.28561201387515
6.0,0.5,Au,0.14,-207.38365563367242,-7.286278077028665
6.0,0.5,Au,0.145,-207.369147613327,-7.2870034780459365
6.0,0.5,Au,0.15,-207.35478290585058,-7.2877217134197565
6.0,0.5,Au,0.155,-207.3393188819844,-7.288494914613064
6.0,0.5,Au,0.16,-207.32388896948714,-7.2892664102379285
6.0,0.5,Au,0.165,-207.30748472014983,-7.290086622704793
6.0,0.5,Au,0.17,-207.29097134991378,-7.290912291216596
6.0,0.5,Au,0.175,-207.27363831360307,-7.291778943032131
6.0,0.5,Au,0.18,-207.25602774761433,-7.29265947133157
6.0,0.5,Au,0.185,-207.2377721527691,-7.2935722510738294
6.0,0.5,Au,0.19,-207.2190558846966,-7.294508064477457
6.0,0.5,Au,0.195,-207.19987819401513,-7.295466949011529
6.0,0.5,Au,0.2,-207.1800533310459,-7.29645819215999
6.0,0.5,Au,0.205,-207.15994803581418,-7.297463456921577
6.0,0.5,Au,0.21,-207.13901732082766,-7.298509992670903
6.0,0.5,Au,0.215,-207.11797309871088,-7.299562203776741
6.0,0.5,Au,0.22,-207.09594457063397,-7.300663630180586
6.0,0.5,Au,0.225,-207.07394479774715,-7.3017636188249275
6.0,0.5,Au,0.23,-207.0508311104715,-7.30291930318871
6.0,0.5,Au,0.235,-207.02785469645744,-7.304068123889413
6.0,0.5,Au,0.24,-207.0036721380073,-7.30527725181192
6.0,0.5,Au,0.245,-206.97969463264647,-7.306476127079961
6.0,0.5,Au,0.25,-206.9544619050616,-7.307737763459205
6.0,0.5,Au,0.255,-206.92945680789424,-7.3089880183175735
6.0,0.5,Au,0.26,-206.90319364333556,-7.310301176545507
6.0,0.5,Au,0.265,-206.87713383496327,-7.311604166964121
6.0,0.5,Au,0.27,-206.84985953393505,-7.312967882015534
6.0,0.5,Au,0.275,-206.82271873988182,-7.314324921718194
6.0,0.5,Au,0.28,-206.79445072252983,-7.315738322585793
6.0,0.5,Au,0.285,-206.766204918269,-7.317150612798834
6.0,0.5,Au,0.29,-206.7369573791421,-7.31861298975518
6.0,0.5,Au,0.295,-206.7075860483194,-7.320081556296315
6.0,0.5,Au,0.3,-206.67736879877512,-7.321592418773529
6.0,0.5,Au,0.305,-206.64685596555188,-7.323118060434691
6.0,0.5,Au,0.31,-206.6156735365266,-7.3246771818859555
6.0,0.5,Au,0.315,-206.58400850681016,-7.326260433371777
6.0,0.5,Au,0.32,-206.5518595686653,-7.327867880279021
6.0,0.5,Au,0.325,-206.51903733293312,-7.329508992065629
6.0,0.5,Au,0.33,-206.48591446949516,-7.331165135237527
6.0,0.5,Au,0.335,-206.45193574085667,-7.332864071669452
6.0,0.5,Au,0.34,-206.4178255928094,-7.334569579071815
6.0,0.5,Au,0.345,-206.38269647659928,-7.336326034882321
6.0,0.5,Au,0.35,-206.34758024640462,-7.338081846392054
6.0,0.5,Au,0.355,-206.3113115605391,-7.3398952806853295
6.0,0.5,Au,0.36,-206.2751658485138,-7.341702566286595
6.0,0.5,Au,0.365,-206.2377721356786,-7.3435722519283555
6.0,0.5,Au,0.37,-206.20057005608376,-7.345432355908097
6.0,0.5,Au,0.375,-206.16206834816694,-7.347357441303938
6.0,0.5,Au,0.38,-206.12378085653702,-7.349271815885435
6.0,0.5,Au,0.385,-206.08418926738702,-7.351251395342934
6.0,0.5,Au,0.39,-206.04478661689143,-7.3532215278677135
6.0,0.5,Au,0.395,-206.00412285045422,-7.355254716189574
6.0,0.5,Au,0.4,-205.96357608671389,-7.35728205437659
6.0,0.5,Au,0.405,-205.92185595322502,-7.359368061051034
6.0,0.5,Au,0.41,-205.88013835425429,-7.361453940999571
6.0,0.5,Au,0.415,-205.83737438702212,-7.363592139361179
6.0,0.5,Au,0.42,-205.79446275798819,-7.365737720812876
6.0,0.5,Au,0.425,-205.75066301741342,-7.3679277078416145
6.0,0.5,Au,0.43,-205.70653875857647,-7.370133920783461
6.0,0.5,Au,0.435,-205.66170589874687,-7.372375563774941
6.0,0.5,Au,0.44,-205.61635577871903,-7.374643069776334
6.0,0.5,Au,0.445,-205.57048643588126,-7.376936536918222
6.0,0.5,Au,0.45,-205.5239030204063,-7.37926570769197
6.0,0.5,Au,0.455,-205.4769875628021,-7.381611480572181
6.0,0.5,Au,0.46,-205.42916927049058,-7.384002395187757
6.0,0.5,Au,0.465,-205.38119192671294,-7.386401262376638
6.0,0.5,Au,0.47,-205.33214270628477,-7.3888537233980465
6.0,0.5,Au,0.475,-205.2830820657794,-7.391306755423314
6.0,0.5,Au,0.48,-205.2328107129225,-7.393820323066161
6.0,0.5,Au,0.485,-205.18264056902962,-7.396328830260804
6.0,0.5,Au,0.49,-205.13115972352668,-7.398902872535951
6.0,0.5,Au,0.495,-205.079850207959,-7.401468348314336
6.0,0.5,Au,0.5,-205.0271750918628,-7.404102104119145
6.0,0.5,Au,0.505,-204.9746940310751,-7.4067261571585306
6.0,0.5,Au,0.51,-204.92084100515743,-7.409418808454414
6.0,0.5,Au,0.515,-204.8671554148753,-7.412103087968521
6.0,0.5,Au,0.52,-204.81214044229688,-7.414853836597442
6.0,0.5,Au,0.525,-204.7572180673938,-7.417599955342595
6.0,0.5,Au,0.53,-204.70105517980846,-7.420408099721862
6.0,0.5,Au,0.535,-204.64486598338894,-7.423217559542838
6.0,0.5,Au,0.54,-204.58756584504843,-7.426082566459864
6.0,0.5,Au,0.545,-204.53008335321658,-7.428956691051456
6.0,0.5,Au,0.55,-204.47165201307084,-7.4318782580587435
6.0,0.5,Au,0.555,-204.4128544303123,-7.434818137196669
6.0,0.5,Au,0.56,-204.3532923408981,-7.437796241667381
6.0,0.5,Au,0.565,-204.29316336479673,-7.44080269047245
