L_support_nm,pzc_support_V,low_N_modes,high_N_modes,low_gl_order,high_gl_order,E_mix_low_modes_V,E_mix_high_modes_V,i_mix_avg_low_modes_A_per_m2,i_mix_avg_high_modes_A_per_m2,mode_delta_E_mV,mode_delta_i_percent,E_mix_gl64_V,E_mix_gl128_V,i_mix_avg_gl64_A_per_m2,i_mix_avg_gl128_A_per_m2,quadrature_delta_E_mV,quadrature_delta_i_percent,relative_balance_high,relative_balance_low_modes,relative_balance_gl64,E_tolerance_mV,i_tolerance_percent,passed
1.0,0.1,480,960,64,128,0.5689654021723162,0.5689657632460888,0.032277031514210804,0.03227667455653114,0.0003610737726589264,0.0011059185523536901,0.5689659545032318,0.5689657632460888,0.03227650411860546,0.03227667455653114,0.00019125714301182484,0.0005280557183309322,0.0,2.4517459413748666e-16,1.3076192014484132e-15,0.002,0.005,True
1.0,0.5,480,960,64,128,0.5811562310957215,0.5811563626802385,0.03041094031257928,0.030410792632363518,0.00013158451706019036,0.0004856154207768952,0.5811564405605804,0.5811563626802385,0.030410721865249037,0.030410792632363518,7.788034184219583e-05,0.0002327044875635241,1.9082828075410797e-15,8.673970639206808e-17,1.3878452714187743e-15,0.002,0.005,True
1.0,0.9,480,960,64,128,0.5931037116491967,0.5931036980710537,0.029898905136973297,0.029898806994328404,1.3578143054360226e-05,0.0003282482901740786,0.5931036897248957,0.5931036980710537,0.029898761988341484,0.029898806994328404,8.346157986949265e-06,0.0001505279280039859,4.578901431791455e-13,4.595649184213629e-13,4.558616437715896e-13,0.002,0.005,True
3.0,0.1,480,960,64,128,0.5527836375892614,0.5527845806432115,0.030077432131562904,0.030076538179618438,0.0009430539500421276,0.0029721684369721658,0.5527844129037214,0.5527845806432115,0.03007667879954261,0.030076538179618438,0.0001677394900756468,0.00046753807197555744,1.754082213894806e-15,1.490925567674353e-15,2.4557036180496887e-15,0.002,0.005,True
3.0,0.5,480,960,64,128,0.5736835700708557,0.5736838554765842,0.026690026522518052,0.02668980083633757,0.0002854057284951139,0.0008455824511567394,0.5736837839683508,0.5736838554765842,0.02668985885462094,0.02668980083633757,7.150823333468281e-05,0.00021737950615649694,1.2848304357884258e-15,7.906581978386037e-16,1.877825016444387e-15,0.002,0.005,True
3.0,0.9,480,960,64,128,0.5939385647187516,0.5939385377254413,0.025792472828481985,0.025792388418525172,2.699331036470909e-05,0.0003272658553282667,0.5939385454864728,0.5939385377254413,0.025792425486911772,0.025792388418525172,7.761031595165946e-06,0.00014371811064693813,2.0495284601006852e-13,2.070998777048412e-13,2.0536163838476373e-13,0.002,0.005,True
6.0,0.1,960,1920,64,128,0.5464773008598443,0.546477845463216,0.029267727154770308,0.0292672876403778,0.000544603371732677,0.0015017031906336545,0.5464781031286943,0.546477845463216,0.029267066793830405,0.0292672876403778,0.00025766547828709463,0.0007545906426124416,6.309041160091758e-16,1.7124283131909723e-15,7.210387162886844e-16,0.002,0.005,True
6.0,0.5,960,1920,64,128,0.5707761079517029,0.5707762829359903,0.025425187564201448,0.025425065079869625,0.000174984287393265,0.0004817440638878046,0.5707763741116199,0.5707762829359903,0.025425000494735474,0.025425065079869625,9.117562960181402e-05,0.0002540221549409506,9.337448785204927e-16,1.0374893113999652e-15,7.262478614528315e-16,0.002,0.005,True
6.0,0.9,960,1920,64,128,0.594263116697331,0.5942630995720012,0.02441945476239658,0.024419394738570716,1.7125329820899537e-05,0.0002458033008868251,0.5942630903880711,0.5942630995720012,0.024419365855968024,0.024419394738570716,9.183930060885359e-06,0.00011827744775117212,1.52095216747995e-13,1.5123066764922201e-13,1.5112319595357075e-13,0.002,0.005,True
15.0,0.1,1920,3840,64,128,0.5445406606169299,0.5445413004074826,0.028981370234576507,0.028980832898426134,0.0006397905527588676,0.0018540743450846042,0.5445411226487284,0.5445413004074826,0.028980988592275162,0.028980832898426134,0.0001777587541607062,0.0005372275294640101,4.59833148673503e-13,4.645575763895356e-13,4.615600494412406e-13,0.002,0.005,True
15.0,0.5,1920,3840,64,128,0.5698810857134632,0.5698812936186239,0.02503442828259462,0.025034283646159478,0.00020790516075397392,0.0005777501028125805,0.5698812286392008,0.5698812936186239,0.025034329020181344,0.025034283646159478,6.49794231755152e-05,0.00018124720590507676,1.053689440889797e-15,1.6858933651167461e-15,1.791268802882116e-15,0.002,0.005,True
15.0,0.9,1920,3840,64,128,0.5943630968097924,0.5943630764695588,0.02400475610390276,0.02400469270373413,2.034023360852899e-05,0.0002641150293488198,0.5943630830825867,0.5943630764695588,0.024004711915592232,0.02400469270373413,6.6130279030574e-06,8.003369575302347e-05,1.3483300342324383e-13,1.3285466226291948e-13,1.3494278377180857e-13,0.002,0.005,True
1000.0,0.1,9600,11520,64,128,0.5444296658467457,0.5444495281737727,0.029033235540462374,0.029015011380417653,0.019862327026998194,0.06276999344190562,0.5444495281737717,0.5444495281737727,0.029015011380418648,0.029015011380417653,9.992007221626409e-13,3.4317797162150216e-12,5.08475311063258e-13,5.163331575398751e-13,5.074752702226007e-13,0.03,0.1,True
1000.0,0.5,9600,11520,64,128,0.5698405474967952,0.5698465498986854,0.025039051643921208,0.02503462583212463,0.006002401890192743,0.017675636679519435,0.5698465498986854,0.5698465498986854,0.02503462583212468,0.02503462583212463,0.0,1.9402030472938883e-13,1.5805125577920186e-15,1.1588376742320646e-15,1.2644100462336132e-15,0.03,0.1,True
1000.0,0.9,9600,11520,64,128,0.5943672629343812,0.594366701443339,0.023999591889969852,0.023998069877771255,0.0005614910422169217,0.0063418253342579665,0.5943667014433391,0.594366701443339,0.023998069877771283,0.023998069877771255,1.1102230246251565e-13,1.1565753311410306e-13,1.3684874987163948e-13,1.3782927649665843e-13,1.344305390305344e-13,0.03,0.1,True
