L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
1.0,0.1,960,128,3.0412178890177213,0.5689657632460888,0.4670000000000001,0.03227667455653114,0.11756035407872445,1.2910669822612456e-12,4.7024141631489785e-12,-178.60955958274394,-35.22139344874479,0.09588377859982701,9.588377859982701,0.0,1.7950514385510672e-15,7.95741318522502,False,15.0,-11.895267058574376,-33.124487974733626,24.88703560072068
3.0,0.1,960,128,3.0412178890177213,0.5527845806432115,0.46699999999999964,0.030076538179618438,0.1175603540787235,1.2030615271847377e-12,4.7024141631489405e-12,-170.9163150537943,-13.389575477897418,0.07530923387898636,7.5309233878986355,1.754082213894806e-15,6.0134223191460756e-15,7.88183273490754,False,15.0,-4.202022529624742,-11.29267000388625,8.520017287428066
6.0,0.1,1920,128,3.0412178890177213,0.546477845463216,0.4670000000000002,0.0292672876403778,0.11756035407872475,1.170691505615112e-12,4.7024141631489906e-12,-167.69981707159454,-4.786332834758056,0.06344986806427687,6.344986806427687,6.309041160091758e-16,4.308123452522561e-15,7.827730156769952,False,15.0,-0.9855245474249728,-2.6894273607468895,2.0253738126962113
15.0,0.1,3840,128,3.0412178890177213,0.5445413004074826,0.4670000000000002,0.028980832898426134,0.11756035407872475,1.1592333159370455e-12,4.7024141631489906e-12,-166.71429252416957,-2.096905474011167,0.05403353907997658,5.403353907997658,4.59833148673503e-13,4.308123452522561e-15,7.889944880499193,False,15.0,0.0,0.0,0.0
1.0,0.12,960,128,3.0412178890177213,0.5695848905373434,0.4670000000000001,0.03214826672012376,0.11756035407872445,1.2859306688049505e-12,4.7024141631489785e-12,-179.07292042556298,-35.68475429156381,0.09260847370737921,9.26084737073792,1.5589918137391833e-15,1.7950514385510672e-15,7.959976435986995,False,15.0,-11.325701019790245,-32.554921935949494,24.373083984648346
3.0,0.12,960,128,3.0412178890177213,0.5538539603202831,0.46699999999999964,0.029837897216585977,0.1175603540787235,1.1935158886634392e-12,4.7024141631489405e-12,-171.75293314065559,-14.226193564758683,0.0725780673159524,7.25780673159524,2.475355699861416e-15,6.0134223191460756e-15,7.890594702915273,False,15.0,-4.005713734882846,-11.09636120914436,8.341911489869476
6.0,0.12,1920,128,3.0412178890177213,0.5477230646253082,0.4670000000000002,0.0289943520930501,0.11756035407872475,1.1597740837220042e-12,4.7024141631489906e-12,-168.6860015756877,-5.772517338851272,0.06103220431783255,6.103220431783255,1.1827085609503067e-15,4.308123452522561e-15,7.839754382864388,False,15.0,-0.9387821699149583,-2.6426849832369497,1.9830652892903342
15.0,0.12,3840,128,3.0412178890177213,0.545840213169777,0.4670000000000002,0.028699884773906476,0.11756035407872475,1.1479953909562592e-12,4.7024141631489906e-12,-167.74721940577274,-3.1298323556143224,0.05186438058896197,5.186438058896197,1.1948434187037391e-15,4.308123452522561e-15,7.8208094672045245,False,15.0,0.0,0.0,0.0
1.0,0.14,960,128,3.0412178890177213,0.5702028427291149,0.4670000000000001,0.03202376119410791,0.11756035407872445,1.2809504477643166e-12,4.7024141631489785e-12,-179.53706353346854,-36.14889739946939,0.08933307639955579,8.93330763995558,2.4711363707382066e-15,1.7950514385510672e-15,7.962570572663292,False,15.0,-10.754511518166026,-31.983732434325336,23.860203880361965
3.0,0.14,960,128,3.0412178890177213,0.5549204363622814,0.46699999999999964,0.029607269326180255,0.1175603540787235,1.1842907730472104e-12,4.7024141631489405e-12,-172.59143933352357,-15.064699757626622,0.06984663849634554,6.984663849634554,2.672826059802144e-15,6.0134223191460756e-15,7.899431787382358,False,15.0,-3.8088873182210534,-10.899534792482568,8.16417421713437
6.0,0.14,1920,128,3.0412178890177213,0.5489647183912134,0.4670000000000002,0.0287308774783514,0.11756035407872475,1.149235099134056e-12,4.7024141631489906e-12,-169.6744829921837,-6.76099875534725,0.05861419428919257,5.861419428919257,1.6526139392900156e-15,4.308123452522561e-15,7.851870208455187,False,15.0,-0.8919309768811843,-2.595833790203196,1.940862428648784
15.0,0.14,3840,128,3.0412178890177213,0.5471353808319771,0.4670000000000002,0.028428756013059095,0.11756035407872475,1.1371502405223639e-12,4.7024141631489906e-12,-168.7825520153025,-4.165164965144054,0.0496948375610333,4.9694837561033305,1.8557519946409948e-15,4.308123452522561e-15,7.834093092819394,False,15.0,0.0,0.0,0.0
1.0,0.16,960,128,3.0412178890177213,0.5708196453576403,0.4670000000000001,0.03190311881748943,0.11756035407872445,1.2761247526995774e-12,4.7024141631489785e-12,-180.0019719069584,-36.613805772959275,0.08605758868464712,8.605758868464711,9.921924118743262e-16,1.7950514385510672e-15,7.9651949240681645,False,15.0,-10.181713160866138,-31.41093407702538,23.34859805728589
3.0,0.16,960,128,3.0412178890177213,0.5559840546789845,0.46699999999999964,0.029384517055863753,0.1175603540787235,1.1753806822345503e-12,4.7024141631489405e-12,-173.4318037792916,-15.905064203394694,0.06711495156674095,6.711495156674095,1.8851613795423094e-15,6.0134223191460756e-15,7.908342800631987,False,15.0,-3.6115450331993486,-10.702192507460802,7.986869912349174
6.0,0.16,1920,128,3.0412178890177213,0.5502028555949032,0.4670000000000002,0.028476680758431377,0.11756035407872475,1.1390672303372552e-12,4.7024141631489906e-12,-170.66522986108507,-7.751745624248643,0.05619584272126177,5.619584272126177,7.410515449315692e-16,4.308123452522561e-15,7.864076378936421,False,15.0,-0.8449711149928021,-2.548873928314751,1.8987804622460767
15.0,0.16,3840,128,3.0412178890177213,0.5484268525975393,0.4670000000000002,0.028167251106747945,0.11756035407872475,1.1266900442699179e-12,4.7024141631489906e-12,-169.82025874609226,-5.202871695933892,0.04752491504827059,4.752491504827059,9.364904029232359e-17,4.308123452522561e-15,7.847471456092945,False,15.0,0.0,0.0,0.0
1.0,0.18,960,128,3.0412178890177213,0.5714353244514337,0.4670000000000001,0.03178630158024349,0.11756035407872445,1.2714520632097397e-12,4.7024141631489785e-12,-180.4676282188205,-37.07946208482134,0.08278201260965856,8.278201260965856,3.3194626649605063e-16,1.7950514385510672e-15,7.967848806077024,False,15.0,-9.607322572339001,-30.836543488498258,22.838487924192997
