L_support_nm,x_nm,material,sigma_C_per_m2,sigma_uC_per_cm2,phi_RP_with_V,phi_RP_no_V,i1_with_A_per_m2,i2_with_A_per_m2,i1_no_A_per_m2,i2_no_A_per_m2,c_R1_over_bulk,c_O2_over_bulk
2.0,0.0,Au,-0.07038522583597397,-7.038522583597397,-0.20681369190035678,0.0,0.03521139025923094,0.0,0.2351207081574495,0.0,0.0003178211146003961,3146.4240544789586
2.0,0.005,Au,-0.07038513034066973,-7.038513034066973,-0.20681388289096525,0.0,0.03521125931152369,0.0,0.2351207081574495,0.0,0.0003178187507136777,3146.4474570944935
2.0,0.01,Au,-0.07038560936035479,-7.038560936035479,-0.20681292485159514,0.0,0.03521191617102504,0.0,0.2351207081574495,0.0,0.0003178306085237875,3146.3300675937153
2.0,0.015,Au,-0.0703861897991499,-7.03861897991499,-0.20681176397400491,0.0,0.03521271211869653,0.0,0.2351207081574495,0.0,0.0003178449774885868,3146.1878299961754
2.0,0.02,Au,-0.07038687166923042,-7.038687166923043,-0.20681040023384387,0.0,0.03521364718066617,0.0,0.2351207081574495,0.0,0.00031786185825004445,3146.020744688892
2.0,0.025,Au,-0.07038812815759966,-7.038812815759966,-0.2068078872571054,0.0,0.035215370293129974,0.0,0.2351207081574495,0.0,0.0003178929669351245,3145.712878272264
2.0,0.03,Au,-0.07038919368539578,-7.038919368539578,-0.20680575620151315,0.0,0.03521683159375638,0.0,0.2351207081574495,0.0,0.0003179193501209941,3145.451824871367
2.0,0.035,Au,-0.0703908339602945,-7.03908339602945,-0.20680247565171572,0.0,0.03521908124039672,0.0,0.2351207081574495,0.0,0.000317959968712115,3145.050001264193
2.0,0.04,Au,-0.07039257580739147,-7.0392575807391475,-0.20679899195752177,0.0,0.03522147035123373,0.0,0.2351207081574495,0.0,0.0003180031082458925,3144.623351375423
2.0,0.045,Au,-0.0703944192632651,-7.039441926326511,-0.2067953050457745,0.0,0.03522399900480535,0.0,0.2351207081574495,0.0,0.00031804877065308337,3144.171876365356
2.0,0.05,Au,-0.07039683777635036,-7.0396837776350365,-0.206790468019604,0.0,0.03522731673504166,0.0,0.2351207081574495,0.0,0.0003181086871729109,3143.5796641933293
2.0,0.055,Au,-0.07039906541907015,-7.0399065419070155,-0.20678601273416441,0.0,0.03523037290468116,0.0,0.2351207081574495,0.0,0.0003181638850348876,3143.034288415063
2.0,0.06,Au,-0.07040186837693695,-7.040186837693694,-0.20678040681843082,0.0,0.03523421874306761,0.0,0.2351207081574495,0.0,0.0003182333520071279,3142.3481972989484
2.0,0.065,Au,-0.07040477322570456,-7.040477322570456,-0.2067745971208956,0.0,0.03523820482531136,0.0,0.2351207081574495,0.0,0.00031830536019193456,3141.637323974096
2.0,0.07,Au,-0.07040778002651228,-7.040778002651228,-0.20676858351928015,0.0,0.03524233128282448,0.0,0.2351207081574495,0.0,0.00031837991282346654,3140.90167037163
2.0,0.075,Au,-0.07041136266002096,-7.041136266002096,-0.2067614182522628,0.0,0.03524724862949041,0.0,0.2351207081574495,0.0,0.0003184687658345174,3140.025356582754
2.0,0.08,Au,-0.07041475457384724,-7.041475457384724,-0.20675463442461023,0.0,0.03525190483599258,0.0,0.2351207081574495,0.0,0.0003185529116523887,3139.1959182316937
2.0,0.085,Au,-0.07041872270804579,-7.041872270804579,-0.20674669815621313,0.0,0.03525735282238165,0.0,0.2351207081574495,0.0,0.0003186513804323731,3138.22585247588
2.0,0.09,Au,-0.07042279321821994,-7.042279321821994,-0.20673855713586484,0.0,0.03526294223904979,0.0,0.2351207081574495,0.0,0.0003187524212861635,3137.23107095158
2.0,0.095,Au,-0.0704269661903318,-7.04269661903318,-0.20673021119164112,0.0,0.03526867327105764,0.0,0.2351207081574495,0.0,0.00031885603877578256,3136.21157635717
2.0,0.1,Au,-0.07043171610887787,-7.043171610887787,-0.20672071135454897,0.0,0.03527519779711537,0.0,0.2351207081574495,0.0,0.00031897402319487134,3135.051531732627
2.0,0.105,Au,-0.07043627551940718,-7.043627551940718,-0.20671159253349036,0.0,0.035281461775196636,0.0,0.2351207081574495,0.0,0.0003190873166030266,3133.938417377117
2.0,0.11,Au,-0.07044141239470547,-7.044141239470547,-0.20670131878289377,0.0,0.035288520439868125,0.0,0.2351207081574495,0.0,0.0003192150072124428,3132.6847967848944
2.0,0.115,Au,-0.07044665229859046,-7.044665229859046,-0.2066908389751238,0.0,0.035295722132791675,0.0,0.2351207081574495,0.0,0.0003193453115158727,3131.4065493969097
2.0,0.12,Au,-0.07045199534221885,-7.045199534221886,-0.206680152887867,0.0,0.035303067093773455,0.0,0.2351207081574495,0.0,0.0003194782354378614,3130.1036786729724
2.0,0.125,Au,-0.07045791678667988,-7.045791678667988,-0.20666830999894495,0.0,0.03531120895490265,0.0,0.2351207081574495,0.0,0.00031962561341881713,3128.6604014730933
