condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,0.01,0.4,1.162217376780326e-15,-3.4534829974260474e-10,1.162217376780326e-06,-0.3453482997426047,5.8110868839016294e-05,-17.267414987130234
with EDL,0.01,0.4002502606882169,1.1718070522906367e-15,-3.4252208519977974e-10,1.1718070522906366e-06,-0.3425220851997797,5.8590352614531825e-05,-17.126104259988985
with EDL,0.01,0.4005005213764338,1.1814758540283048e-15,-3.3971899944793887e-10,1.1814758540283048e-06,-0.3397189994479389,5.907379270141523e-05,-16.98594997239694
with EDL,0.01,0.4007507820646507,1.1912244348788042e-15,-3.3693885320882516e-10,1.1912244348788041e-06,-0.33693885320882516,5.95612217439402e-05,-16.846942660441258
with EDL,0.01,0.4010010427528676,1.201053453114694e-15,-3.341814587531655e-10,1.201053453114694e-06,-0.3341814587531655,6.0052672655734695e-05,-16.709072937658274
with EDL,0.01,0.4012513034410845,1.2109635724400651e-15,-3.3144662988800244e-10,1.210963572440065e-06,-0.33144662988800244,6.0548178622003246e-05,-16.57233149440012
with EDL,0.01,0.4015015641293014,1.2209554620353464e-15,-3.2873418194412034e-10,1.2209554620353463e-06,-0.32873418194412035,6.104777310176731e-05,-16.436709097206016
with EDL,0.01,0.40175182481751825,1.2310297966025144e-15,-3.260439317635734e-10,1.2310297966025145e-06,-0.3260439317635734,6.155148983012571e-05,-16.302196588178667
with EDL,0.01,0.4020020855057352,1.2411872564106338e-15,-3.233756976873175e-10,1.2411872564106337e-06,-0.3233756976873175,6.205936282053169e-05,-16.168784884365873
with EDL,0.01,0.40225234619395206,1.2514285273417947e-15,-3.2072929954294727e-10,1.2514285273417948e-06,-0.32072929954294727,6.257142636708973e-05,-16.03646497714736
with EDL,0.01,0.40250260688216893,1.2617543009374366e-15,-3.1810455863252746e-10,1.2617543009374365e-06,-0.31810455863252746,6.308771504687183e-05,-15.90522793162637
with EDL,0.01,0.40275286757038586,1.2721652744450371e-15,-3.1550129772052463e-10,1.2721652744450371e-06,-0.31550129772052465,6.360826372225185e-05,-15.77506488602623
with EDL,0.01,0.40300312825860274,1.282662150865186e-15,-3.129193410218449e-10,1.282662150865186e-06,-0.3129193410218449,6.41331075432593e-05,-15.645967051092242
with EDL,0.01,0.4032533889468196,1.293245638999075e-15,-3.1035851418995816e-10,1.293245638999075e-06,-0.31035851418995813,6.466228194995374e-05,-15.517925709497906
