L_support_nm,L_gap_m,N_modes,Nx,lambda_D_nm,L_support_over_lambda_D,E_mix_with_V,E_mix_no_V,delta_E_mix_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,delta_i_mix_avg_A_per_m2,max_abs_phi_tilde_with_edl,support_charge_status,sigma_C_signed_mean_C_per_m2,sigma_C_mean_abs_C_per_m2,sigma_C_midpoint_C_per_m2,sigma_C_min_C_per_m2,sigma_C_max_C_per_m2,sigma_C_sign_change,L_GC_C_nm,L_GC_C_midpoint_nm,L_support_over_L_GC_C,overlap_reference_L_support_nm,overlap_delta_E_mix_vs_1000_V,overlap_abs_delta_E_mix_vs_1000_mV,overlap_delta_i_mix_avg_vs_1000_A_per_m2,overlap_delta_i_mix_avg_vs_1000_percent,overlap_abs_delta_i_mix_avg_vs_1000_percent,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,overlap_delta_phi_RP_Au_mean_vs_1000_mV,overlap_delta_phi_RP_Pd_mean_vs_1000_mV,overlap_delta_phi_RP_active_rms_vs_1000_mV,overlap_delta_phi_RP_active_max_material_mean_vs_1000_mV,overlap_fraction_E_mix,overlap_fraction_phi_RP_active_rms,overlap_fraction_i_mix_avg
0.0,0.0,960,5000,3.0412178890177213,0.0,0.6006949941170235,0.4670000000000001,0.13369499411702346,0.0815880733807085,0.11756035407872442,-0.03597228069801592,5.985007073694957,not_applicable,,,,,,,,,,1000.0,0.002726740145006845,2.726740145006845,-0.0022449402852807165,-2.6778713863551364,2.6778713863551364,-152.5438970836864,-114.88628847229342,-2.2779808462637448,-1.7418410661178996,2.027708933200131,2.2779808462637448,1.0,1.0,1.0
0.25,2.5e-10,960,5000,3.0412178890177213,0.0822039094610045,0.6003643307788523,0.4670000000000001,0.13336433077885224,0.08162533887210426,0.11756035407872442,-0.035935015206620166,5.991039652244366,defined,0.021325910993236562,0.021325910993236562,0.02120961742237271,0.021147817408689887,0.02190531129528253,False,1.6738142969231122,1.6829919184556361,0.14935946028156308,1000.0,0.002396076806835623,2.396076806835623,-0.0022076747938849645,-2.633419338449252,2.633419338449252,-152.29140305730243,-114.62432887654599,-2.0254868198797737,-1.4798814703704721,1.773787758421586,2.0254868198797737,0.8787330949827666,0.8747743472344394,0.9834002304470686
0.5,5e-10,960,5000,3.0412178890177213,0.164407818922009,0.6000924342019296,0.46699999999999975,0.13309243420192984,0.08172918795841418,0.11756035407872369,-0.03583116612030951,5.99596438707473,defined,0.020072685625909536,0.020072685625909536,0.019831493680566508,0.019785025056932776,0.021088643349392967,False,1.7783178285477526,1.7999458482730608,0.28116458822679663,1000.0,0.0021241802299128976,2.1241802299128976,-0.002103825707575044,-2.5095432164197136,2.5095432164197136,-152.0660415423494,-114.4167882966948,-1.8001253049267518,-1.2723408905192883,1.5587338539861524,1.8001253049267518,0.7790182111055416,0.7687167662304264,0.9371410550958031
0.75,7.500000000000001e-10,960,5000,3.0412178890177213,0.2466117283830135,0.5998590467487388,0.4670000000000001,0.13285904674873872,0.08185949115571468,0.11756035407872442,-0.03570086292300974,6.000194780596873,defined,0.0190631858097815,0.0190631858097815,0.018709042076749175,0.018664259881172218,0.02046147941637365,False,1.8724894711498525,1.9079338519287508,0.40053629756296705,1000.0,0.0018907927767221056,1.8907927767221056,-0.0019735225102745363,-2.354111374472976,2.354111374472976,-151.86650327114964,-114.24611474259785,-1.6005870337269812,-1.101667336422338,1.373963204142459,1.6005870337269812,0.6934260971601894,0.6775939000150627,0.879097997935281
1.0,1e-09,960,5000,3.0412178890177213,0.328815637844018,0.5996555409964761,0.46699999999999975,0.13265554099647636,0.08199964968564684,0.11756035407872369,-0.03556070439307685,6.003911572671081,defined,0.018206538646564713,0.018206538646564713,0.01774789946046704,0.017706245897856864,0.019951696152593994,False,1.960593136802768,2.0112585601975113,0.5100497299662832,1000.0,0.0016872870244594163,1.6872870244594163,-0.0018333639803423812,-2.1869236237253045,2.1869236237253045,-151.69020236481154,-114.10338550158738,-1.424286127388882,-0.9589380954118667,1.214115571826784,1.424286127388882,0.6187927469176497,0.5987622542603619,0.8166649208280076
1.5,1.5000000000000002e-09,960,5000,3.0412178890177213,0.493223456766027,0.599318457783301,0.4670000000000001,0.13231845778330087,0.0822786641325061,0.11756035407872442,-0.03528168994621832,6.009994288937447,defined,0.01680200495627268,0.01680200495627268,0.01614898082226076,0.01611394995816306,0.019173659596376694,False,2.1244854294643516,2.2103942724474646,0.7060533243469674,1000.0,0.0013502038112842563,1.3502038112842563,-0.0015543495334831153,-1.854101940884549,1.854101940884549,-151.3967727337889,-113.87974546779706,-1.130856496366249,-0.735298061621549,0.9538080663315224,1.130856496366249,0.49517142796196545,0.4703870711987357,0.6923790105574025
2.0,2e-09,960,5000,3.0412178890177213,0.657631275688036,0.5990536442533316,0.4670000000000004,0.13205364425333121,0.08253330278766097,0.11756035407872527,-0.0350270512910643,6.014838394036538,defined,0.015683203954199636,0.015683203954199636,0.014854084235891478,0.014825045391963443,0.018606648951826017,False,2.276040968390938,2.4030841719033,0.8787188050546879,1000.0,0.0010853902813149352,1.0853902813149352,-0.001299710878328253,-1.55035686001533,1.55035686001533,-151.1670305744173,-113.71507347961128,-0.9011143369946524,-0.5706260734357613,0.7541953208625822,0.9011143369946524,0.39805416856552367,0.3719445668527538,0.5789512027780871
2.5,2.5e-09,960,5000,3.0412178890177213,0.822039094610045,0.5988438866872032,0.4670000000000004,0.13184388668720282,0.08275414990646283,0.11756035407872527,-0.034806204172262434,6.018617704446191,defined,0.014765737104707981,0.014765737104707981,0.013783359724961516,0.013758971497671857,0.01818401807358627,False,2.41746243091432,2.5897615260483082,1.0341422344480709,1000.0,0.0008756327151865362,0.8756327151865362,-0.0010788637595263856,-1.2869199284959942,1.2869199284959942,-150.9863417222289,-113.59123429249964,-0.7204254848062419,-0.44678688632411934,0.5994294791505963,0.7204254848062419,0.32112803883786956,0.2956190947014158,0.48057570466355637
3.0,3.0000000000000004e-09,960,5000,3.0412178890177213,0.986446913532054,0.5986769316818208,0.4670000000000001,0.1316769316818207,0.08294070641533553,0.11756035407872442,-0.03461964766338889,6.021659112726379,defined,0.013999246676741175,0.013999246676741175,0.012886008611499824,0.012865129702384254,0.01786172922529752,False,2.5498239683636004,2.7701063837202,1.1765518079764972,1000.0,0.0007086777098040953,0.7086777098040953,-0.0008923072506536872,-1.0643864649896193,1.0643864649896193,-150.84357315097319,-113.49662518329951,-0.577656913550527,-0.3521777771239982,0.4783914173941259,0.577656913550527,0.25989924676240694,0.2359270650542178,0.39747482661531436
3.5,3.5000000000000003e-09,960,5000,3.0412178890177213,1.150854732454063,0.5985436133732147,0.4670000000000001,0.13154361337321463,0.08309586674131185,0.11756035407872442,-0.03446448733741257,6.024094186130146,defined,0.013350144188074158,0.013350144188074158,0.012125400381558172,0.012107179676372992,0.017613164845034526,False,2.6737999389756735,2.9438710139155067,1.3089984590772497,1000.0,0.0005753594011980168,0.5753594011980168,-0.0007371469246773704,-0.879303859472761,0.879303859472761,-150.73027888106924,-113.42345168407833,-0.46436264364658086,-0.2790042779028141,0.383063997200541,0.46436264364658086,0.21100631912124226,0.18891468638745368,0.32835925726425036
