L_support_nm,x_nm,material,phi_RP_V,sigma_C_per_m2,sigma_uC_per_cm2
0.0,0.0,Au,-0.15368455741547662,-0.03512408969349998,-3.512408969349998
0.0,0.010002000400078698,Au,-0.15368458628111445,-0.03512408392037241,-3.512408392037241
0.0,0.020004000800160435,Au,-0.15368466268467187,-0.03512406863966093,-3.512406863966093
0.0,0.030006001200239128,Au,-0.1536847596451322,-0.035124049247568866,-3.5124049247568867
0.0,0.04000800160032087,Au,-0.15368484292024231,-0.03512403259254684,-3.512403259254684
0.0,0.05001000200039957,Au,-0.1536848830967359,-0.035124024557248126,-3.512402455724813
0.0,0.0600120024004813,Au,-0.15368486597557185,-0.03512402798148093,-3.512402798148093
0.0,0.07001400280056,Au,-0.15368479758538386,-0.03512404165951853,-3.5124041659518532
0.0,0.0800160032006387,Au,-0.15368470205397547,-0.03512406076580021,-3.5124060765800205
0.0,0.09001800360072043,Au,-0.15368461308936723,-0.035124078558721857,-3.5124078558721856
0.0,0.10002000400079913,Au,-0.15368456207821313,-0.03512408876095268,-3.512408876095268
0.0,0.11002200440088086,Au,-0.15368456700377897,-0.03512408777583951,-3.5124087775839508
0.0,0.12002400480095955,Au,-0.1536846260962988,-0.03512407595733554,-3.512407595733554
0.0,0.13002600520104132,Au,-0.153684718457682,-0.0351240574850589,-3.5124057485058904
0.0,0.14002800560112,Au,-0.15368481144005827,-0.03512403888858365,-3.5124038888583646
0.0,0.15003000600120173,Au,-0.15368487217299992,-0.03512402674199532,-3.512402674199532
0.0,0.16003200640128043,Au,-0.15368487916944493,-0.03512402534270632,-3.512402534270632
0.0,0.17003400680135913,Au,-0.15368482991250165,-0.035124035194094974,-3.5124035194094976
0.0,0.18003600720144086,Au,-0.15368474174434466,-0.03512405282772637,-3.512405282772637
0.0,0.1900380076015196,Au,-0.15368464574327145,-0.03512407202794101,-3.512407202794101
0.0,0.20004000800160132,Au,-0.1536845757507103,-0.03512408602645325,-3.512408602645325
0.0,0.21004200840168,Au,-0.15368455642247458,-0.035124089892100384,-3.5124089892100385
0.0,0.22004400880176173,Au,-0.15368459452309574,-0.03512408227197616,-3.5124082271976156
0.0,0.23004600920184043,Au,-0.15368467653710652,-0.035124065869174,-3.5124065869174
0.0,0.2400480096019191,Au,-0.15368477344076695,-0.03512404648844191,-3.512404648844191
0.0,0.2500500100020009,Au,-0.15368485094956158,-0.035124030986682986,-3.5124030986682984
0.0,0.2600520104020796,Au,-0.15368488162336164,-0.03512402485192297,-3.5124024851922973
0.0,0.2700540108021613,Au,-0.15368485455518316,-0.03512403026555867,-3.5124030265558672
0.0,0.28005601120224,Au,-0.15368477922258503,-0.035124045332078295,-3.5124045332078295
0.0,0.29005801160232175,Au,-0.15368468214172556,-0.03512406474825019,-3.5124064748250188
0.0,0.3000600120024004,Au,-0.1536845975053198,-0.03512408167553135,-3.5124081675531347
0.0,0.31006201240247916,Au,-0.15368455510994286,-0.035124090154606734,-3.5124090154606735
0.0,0.32006401280256086,Au,-0.15368456983525394,-0.03512408720954451,-3.512408720954451
0.0,0.33006601320263956,Au,-0.1536846363898784,-0.03512407389861962,-3.5124073898619623
