param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
Cdl_Au,0.01,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5472563066542732,0.4670000000000001,0.08025630665427308,2.1008119133443086e-08,5.878017703936221e-09,1.5130101429506866e-08,2.1008119133443086e-10,5.878017703936221e-11,1.5130101429506865e-10,0.4201623826688617,0.11756035407872442,0.3026020285901373,3.5740142666421324,257.40142666421326,3.574014266642133,257.40142666421326,3.5740142666421324,257.40142666421326,5.770506758532598,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.01<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.014600216150913116,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5497136227669478,0.4670000000000001,0.08271362276694771,1.943022203990776e-08,5.878017703936221e-09,1.3552204335971539e-08,1.943022203990776e-10,5.878017703936221e-11,1.355220433597154e-10,0.3886044407981552,0.11756035407872442,0.2710440867194308,3.30557392280331,230.55739228033102,3.30557392280331,230.55739228033102,3.3055739228033096,230.557392280331,5.7097150897748215,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0146002<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.02131663116533842,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5530872424542224,0.4670000000000001,0.08608724245422228,1.7455182409518108e-08,5.878017703936221e-09,1.1577164705581887e-08,1.745518240951811e-10,5.878017703936221e-11,1.1577164705581888e-10,0.34910364819036216,0.11756035407872442,0.23154329411163774,2.969569553665894,196.9569553665894,2.9695695536658944,196.95695536658943,2.969569553665894,196.95695536658943,5.626258699693537,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0213166<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.031122742262323172,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5576055011110643,0.4670000000000001,0.09060550111106425,1.512086734177587e-08,5.878017703936221e-09,9.242849637839649e-09,1.512086734177587e-10,5.878017703936221e-11,9.242849637839648e-11,0.30241734683551735,0.11756035407872442,0.18485699275679293,2.5724433139509197,157.24433139509196,2.5724433139509197,157.244331395092,2.5724433139509197,157.244331395092,5.514493692849399,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0311227<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.04543987642390772,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5634610895990088,0.4670000000000001,0.09646108959900868,1.2553839795623721e-08,5.878017703936221e-09,6.6758220916875e-09,1.2553839795623721e-10,5.878017703936221e-11,6.6758220916875e-11,0.2510767959124744,0.11756035407872442,0.13351644183374997,2.1357267752387044,113.57267752387045,2.135726775238705,113.57267752387047,2.135726775238705,113.57267752387047,5.369662165573379,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0454399<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.06634320176598332,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5707371707336526,0.4670000000000001,0.10373717073365252,9.962715857210921e-09,5.878017703936221e-09,4.0846981532747e-09,9.962715857210922e-11,5.878017703936221e-11,4.0846981532747007e-11,0.19925431714421843,0.11756035407872442,0.08169396306549401,1.6949108286181884,69.49108286181882,1.6949108286181884,69.49108286181884,1.6949108286181882,69.49108286181882,5.189760421557759,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0663432<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.09686250859269974,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5793247326351288,0.4670000000000001,0.11232473263512877,7.583786025995472e-09,5.878017703936221e-09,1.7057683220592512e-09,7.583786025995473e-11,5.878017703936221e-11,1.7057683220592517e-11,0.15167572051990943,0.11756035407872442,0.03411536644118501,1.2901944852797875,29.019448527978764,1.2901944852797878,29.019448527978778,1.2901944852797878,29.01944852797877,4.977492496122725,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.0968625<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.1414213562373095,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5888730901957917,0.4670000000000001,0.12187309019579162,5.59940950765461e-09,5.878017703936221e-09,-2.7860819628161095e-10,5.59940950765461e-11,5.878017703936221e-11,-2.7860819628161095e-12,0.11198819015309219,0.11756035407872442,-0.005572163925632229,0.9526016745245526,-4.739832547544747,0.9526016745245526,-4.739832547544739,0.9526016745245526,-4.739832547544738,5.08253334705592,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.141421<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.20647823694200038,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5988200267114412,0.4670000000000001,0.1318200267114411,4.082301930783869e-09,5.878017703936221e-09,-1.7957157731523523e-09,4.082301930783869e-11,5.878017703936221e-11,-1.7957157731523523e-11,0.08164603861567737,0.11756035407872442,-0.03591431546304705,0.6945031703545483,-30.54968296454516,0.6945031703545484,-30.54968296454516,0.6945031703545484,-30.54968296454516,6.126185981841559,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.206478<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.3014626889812659,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6085108495020988,0.4670000000000001,0.1415108495020987,3.0006027893065588e-09,5.878017703936221e-09,-2.8774149146296625e-09,3.000602789306559e-11,5.878017703936221e-11,-2.8774149146296622e-11,0.060012055786131176,0.11756035407872442,-0.057548298292593246,0.5104786920422513,-48.95213079577488,0.5104786920422513,-48.95213079577488,0.5104786920422512,-48.952130795774885,7.126375261710125,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.301463<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.44014204205619756,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6173570590026657,0.4670000000000001,0.1503570590026656,2.265538758939211e-09,5.878017703936221e-09,-3.6124789449970102e-09,2.2655387589392112e-11,5.878017703936221e-11,-3.61247894499701e-11,0.04531077517878422,0.11756035407872442,-0.0722495788999402,0.3854256439925471,-61.457435600745285,0.38542564399254714,-61.45743560074529,0.3854256439925471,-61.45743560074529,8.020313236913529,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.440142<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Au,0.6426168951124775,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6249603288479108,0.4670000000000001,0.15796032884791067,1.7794600017156751e-09,5.878017703936221e-09,-4.098557702220546e-09,1.779460001715675e-11,5.878017703936221e-11,-4.098557702220546e-11,0.0355892000343135,0.11756035407872442,-0.08197115404441092,0.3027313103402287,-69.72686896597713,0.30273131034022877,-69.72686896597712,0.30273131034022877,-69.72686896597712,8.770832395572,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.642617<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
