param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
Cdl_Pd,0.01,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5551915109282942,0.4670000000000001,0.08819151092829414,1.24570179429737e-09,5.878017703936221e-09,-4.6323159096388515e-09,1.24570179429737e-11,5.878017703936221e-11,-4.632315909638851e-11,0.0249140358859474,0.11756035407872442,-0.09264631819277702,0.21192549206906683,-78.80745079309332,0.21192549206906683,-78.80745079309331,0.21192549206906683,-78.80745079309332,6.813529250214263,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.01<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.015341274046343906,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.556995827654975,0.4670000000000001,0.08999582765497494,1.3111081033537823e-09,5.878017703936221e-09,-4.566909600582439e-09,1.3111081033537824e-11,5.878017703936221e-11,-4.566909600582439e-11,0.026222162067075647,0.11756035407872442,-0.09133819201164878,0.22305276530143783,-77.69472346985621,0.22305276530143783,-77.69472346985623,0.2230527653014378,-77.69472346985623,6.780811508420481,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0153413<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.023535468936502525,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5595710773171281,0.4670000000000001,0.09257107731712799,1.4104535534412535e-09,5.878017703936221e-09,-4.467564150494968e-09,1.4104535534412535e-11,5.878017703936221e-11,-4.4675641504949676e-11,0.02820907106882507,0.11756035407872442,-0.08935128300989935,0.23995394782440715,-76.00460521755927,0.23995394782440715,-76.00460521755929,0.23995394782440713,-76.00460521755929,6.734131061083074,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0235355<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.036106407876409945,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5631247056003869,0.4670000000000001,0.09612470560038677,1.5600197573821203e-09,5.878017703936221e-09,-4.317997946554101e-09,1.5600197573821205e-11,5.878017703936221e-11,-4.3179979465541004e-11,0.031200395147642408,0.11756035407872442,-0.08635995893108202,0.2653989552187724,-73.46010447812277,0.2653989552187724,-73.46010447812276,0.2653989552187724,-73.46010447812276,6.669722530876797,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0361064<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.05539182980610754,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5678061522771881,0.4670000000000001,0.10080615227718803,1.7815291486308563e-09,5.878017703936221e-09,-4.0964885553053645e-09,1.7815291486308564e-11,5.878017703936221e-11,-4.0964885553053645e-11,0.03563058297261713,0.11756035407872442,-0.0819297711061073,0.3030833247470237,-69.69166752529763,0.3030833247470237,-69.69166752529763,0.3030833247470237,-69.69166752529762,6.58488614707205,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0553918<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.08497812409839364,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5736096053449851,0.4670000000000001,0.10660960534498498,2.1002698381116144e-09,5.878017703936221e-09,-3.777747865824607e-09,2.1002698381116144e-11,5.878017703936221e-11,-3.777747865824607e-11,0.042005396762232285,0.11756035407872442,-0.07555495731649214,0.35730920590885024,-64.26907940911498,0.35730920590885024,-64.26907940911498,0.35730920590885024,-64.26907940911498,6.479758708219638,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0849781<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.1303672689737678,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.580284833865277,0.4670000000000001,0.11328483386527688,2.5380086388896475e-09,5.878017703936221e-09,-3.3400090650465738e-09,2.5380086388896475e-11,5.878017703936221e-11,-3.3400090650465736e-11,0.05076017277779295,0.11756035407872442,-0.06680018130093147,0.43177968606492406,-56.822031393507594,0.4317796860649241,-56.822031393507594,0.43177968606492406,-56.82203139350759,6.358892495338985,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.130367<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.20000000000000004,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5873329268996578,0.4670000000000001,0.12033292689965769,3.0995571472743794e-09,5.878017703936221e-09,-2.778460556661842e-09,3.0995571472743794e-11,5.878017703936221e-11,-2.7784605566618418e-11,0.06199114294548758,0.11756035407872442,-0.05556921113323684,0.5273133398694525,-47.268666013054755,0.5273133398694525,-47.268666013054755,0.5273133398694525,-47.268666013054755,6.231370928000244,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.2<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.30682548092687817,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5941349299004052,0.4670000000000001,0.1271349299004051,3.758969650489648e-09,5.878017703936221e-09,-2.119048053446573e-09,3.758969650489648e-11,5.878017703936221e-11,-2.119048053446573e-11,0.07517939300979296,0.11756035407872442,-0.042380961068931466,0.6394961430572843,-36.05038569427156,0.6394961430572844,-36.05038569427156,0.6394961430572844,-36.05038569427156,6.108423073660571,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.306825<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.47070937873005037,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6001557440005597,0.4670000000000001,0.13315574400055963,4.4587057290027705e-09,5.878017703936221e-09,-1.4193119749334508e-09,4.4587057290027707e-11,5.878017703936221e-11,-1.4193119749334505e-11,0.0891741145800554,0.11756035407872442,-0.028386239498669016,0.7585390098462944,-24.146099015370556,0.7585390098462945,-24.146099015370552,0.7585390098462944,-24.146099015370552,5.999745768140256,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.470709<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,0.7221281575281989,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6050930233207372,0.4670000000000001,0.13809302332073714,5.1285784949478766e-09,5.878017703936221e-09,-7.494392089883447e-10,5.128578494947877e-11,5.878017703936221e-11,-7.494392089883443e-12,0.10257156989895753,0.11756035407872442,-0.014988784179766887,0.8725013692138964,-12.749863078610355,0.8725013692138964,-12.749863078610353,0.8725013692138964,-12.749863078610362,5.910771752644914,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.722128<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,1.1078365961221508,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6088958087857725,0.4670000000000001,0.14189580878577246,5.712281387818363e-09,5.878017703936221e-09,-1.657363161178582e-10,5.712281387818363e-11,5.878017703936221e-11,-1.6573631611785789e-12,0.11424562775636726,0.11756035407872442,-0.003314726322357159,0.9718040461145817,-2.819595388541828,0.9718040461145817,-2.8195953885418272,0.9718040461145817,-2.8195953885418326,5.842277054202542,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=1.10784<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,1.699562481967872,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6116864790589672,0.4670000000000001,0.14468647905896714,6.1824343039318e-09,5.878017703936221e-09,3.0441659999557895e-10,6.182434303931801e-11,5.878017703936221e-11,3.044165999955795e-12,0.12364868607863601,0.11756035407872442,0.0060883319999115865,1.0517889899841109,5.178898998411087,1.0517889899841109,5.17889899841109,1.0517889899841109,5.17889899841108,5.791812510814351,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=1.69956<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,2.6073453794753565,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6136625559906648,0.4670000000000001,0.1466625559906647,6.5386193381731165e-09,5.878017703936221e-09,6.606016342368952e-10,6.538619338173116e-11,5.878017703936221e-11,6.606016342368948e-12,0.1307723867634623,0.11756035407872442,0.01321203268473789,1.1123851045556603,11.238510455566031,1.1123851045556603,11.238510455566034,1.1123851045556603,11.23851045556604,5.972060313210818,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=2.60735<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
Cdl_Pd,4.0,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6150263250995326,0.4670000000000001,0.1480263250995325,6.796525664145059e-09,5.878017703936221e-09,9.185079602088374e-10,6.796525664145058e-11,5.878017703936221e-11,9.185079602088372e-12,0.13593051328290115,0.11756035407872442,0.018370159204176728,1.1562615164622176,15.626151646221762,1.1562615164622176,15.626151646221775,1.1562615164622179,15.62615164622178,6.098863822373314,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
