param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
E1_eq,-0.19999999999999998,7.0,-0.19999999999999998,0.834,0.0001852573885166257,0.0001852573885166257,0.5009197665480333,0.3169999999999984,0.18391976654803488,9.168144215118872e-08,1.0906807582356024e-07,-1.7386633672371512e-08,9.168144215118872e-10,1.0906807582356023e-09,-1.738663367237151e-10,1.8336288430237744,2.1813615164712044,-0.34773267344743,0.8405891591917518,-15.941084080824817,0.8405891591917517,-15.941084080824824,0.8405891591917517,-15.941084080824826,7.803967585546614,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.2<br>E2_eq=0.834<br>E1_eq_eff=-0.2<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,-0.15714285714285714,7.0,-0.15714285714285714,0.834,0.0001852573885166257,0.0001852573885166257,0.5147863979829236,0.33842857142857175,0.17635782655435184,5.9000610140578116e-08,7.186014910771328e-08,-1.2859538967135167e-08,5.900061014057812e-10,7.186014910771329e-10,-1.2859538967135172e-10,1.1800122028115623,1.4372029821542656,-0.2571907793427033,0.8210476999169648,-17.89523000830353,0.8210476999169647,-17.895230008303532,0.8210476999169647,-17.89523000830353,7.551812712900084,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.157143<br>E2_eq=0.834<br>E1_eq_eff=-0.157143<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,-0.11428571428571427,7.0,-0.11428571428571427,0.834,0.0001852573885166257,0.0001852573885166257,0.528652862861922,0.3598571428571431,0.16879572000477894,3.796982509121013e-08,4.73454857509012e-08,-9.375660659691072e-09,3.796982509121013e-10,4.734548575090121e-10,-9.375660659691076e-11,0.7593965018242026,0.946909715018024,-0.18751321319382142,0.8019735036827115,-19.802649631728848,0.8019735036827115,-19.802649631728855,0.8019735036827115,-19.802649631728848,7.299660868954497,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.114286<br>E2_eq=0.834<br>E1_eq_eff=-0.114286<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,-0.07142857142857142,7.0,-0.07142857142857142,0.834,0.0001852573885166257,0.0001852573885166257,0.5425191681833661,0.3812857142857128,0.1612334538976533,2.443586440539606e-08,3.1193854296471406e-08,-6.757989891075345e-09,2.443586440539606e-10,3.119385429647141e-10,-6.757989891075348e-11,0.48871728810792114,0.6238770859294281,-0.135159797821507,0.7833550856894334,-21.664491431056668,0.7833550856894334,-21.66449143105666,0.7833550856894335,-21.664491431056653,7.04751192645004,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0714286<br>E2_eq=0.834<br>E1_eq_eff=-0.0714286<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,-0.028571428571428553,7.0,-0.028571428571428553,0.834,0.0001852573885166257,0.0001852573885166257,0.5563853209916735,0.4027142857142859,0.15367103527738757,1.5726201048582454e-08,2.0552256048002032e-08,-4.826054999419578e-09,1.5726201048582454e-10,2.055225604800203e-10,-4.826054999419577e-11,0.31452402097164905,0.4110451209600406,-0.09652109998839153,0.7651812536712369,-23.481874632876313,0.7651812536712369,-23.481874632876316,0.7651812536712368,-23.481874632876316,6.79536575728897,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0285714<br>E2_eq=0.834<br>E1_eq_eff=-0.0285714<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,0.014285714285714318,7.0,0.014285714285714318,0.834,0.0001852573885166257,0.0001852573885166257,0.5702513283748226,0.4241428571428558,0.1461084712319668,1.0121081907894208e-08,1.3540975880957066e-08,-3.419893973062858e-09,1.0121081907894208e-10,1.3540975880957066e-10,-3.4198939730628586e-11,0.20242163815788414,0.2708195176191413,-0.06839787946125717,0.7474411000264523,-25.255889997354778,0.7474411000264523,-25.255889997354778,0.7474411000264523,-25.25588999735477,6.543222345694504,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0142857<br>E2_eq=0.834<br>E1_eq_eff=0.0142857<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,0.057142857142857134,7.0,0.057142857142857134,0.834,0.0001852573885166257,0.0001852573885166257,0.584117197468163,0.4455714285714256,0.13854576889673742,6.5138394217812295e-09,8.921552328873704e-09,-2.4077129070924743e-09,6.513839421781229e-11,8.921552328873704e-11,-2.4077129070924753e-11,0.13027678843562457,0.17843104657747408,-0.04815425814184951,0.7301239943075651,-26.98760056924349,0.7301239943075651,-26.987600569243483,0.7301239943075652,-26.98760056924348,6.291082286249409,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0571429<br>E2_eq=0.834<br>E1_eq_eff=0.0571429<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,0.1,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5979829354430014,0.4670000000000001,0.13098293544300132,4.192317292208204e-09,5.878017703936221e-09,-1.6857004117280172e-09,4.192317292208204e-11,5.878017703936221e-11,-1.685700411728017e-11,0.08384634584416407,0.11756035407872442,-0.03371400823456035,0.713219575606384,-28.678042439361594,0.7132195756063842,-28.67804243936159,0.7132195756063842,-28.678042439361587,6.038944611092431,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,0.14285714285714288,7.0,0.14285714285714288,0.834,0.0001852573885166257,0.0001852573885166257,0.6118485495356564,0.4884285714285701,0.12341997810708627,2.6982253918447505e-09,3.8727668520155954e-09,-1.174541460170845e-09,2.6982253918447506e-11,3.8727668520155955e-11,-1.1745414601708449e-11,0.053964507836895007,0.0774553370403119,-0.0234908292034169,0.6967177459806158,-30.32822540193843,0.6967177459806158,-30.328225401938425,0.6967177459806158,-30.328225401938422,5.7868091886367345,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.142857<br>E2_eq=0.834<br>E1_eq_eff=0.142857<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
E1_eq,0.18571428571428575,7.0,0.18571428571428575,0.834,0.0001852573885166257,0.0001852573885166257,0.6257140470297716,0.5098571428571415,0.11585690417263017,1.7366379519734258e-09,2.5515954264696323e-09,-8.149574744962065e-10,1.736637951973426e-11,2.5515954264696323e-11,-8.149574744962064e-12,0.034732759039468514,0.05103190852939264,-0.016299149489924128,0.6806086630968079,-31.93913369031921,0.6806086630968079,-31.939133690319206,0.6806086630968079,-31.939133690319213,5.534675886434917,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.185714<br>E2_eq=0.834<br>E1_eq_eff=0.185714<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
