param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
alpha1,0.3,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.520014719349724,0.40583333333333843,0.11418138601638556,4.996687912266014e-08,1.9341201389008453e-08,3.062567773365169e-08,4.996687912266014e-10,1.9341201389008454e-10,3.0625677733651685e-10,0.9993375824532027,0.38682402778016906,0.6125135546730336,2.58344236832445,158.34423683244495,2.58344236832445,158.34423683244498,2.5834423683244503,158.34423683244503,7.456739391409505,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.3<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.32857142857142857,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5305377202094009,0.41329268294283034,0.1172450372665706,3.5761825951559645e-08,1.672645348177251e-08,1.9035372469787135e-08,3.5761825951559647e-10,1.672645348177251e-10,1.9035372469787137e-10,0.7152365190311929,0.3345290696354502,0.3807074493957427,2.138039961102977,113.80399611029766,2.138039961102977,113.80399611029767,2.138039961102977,113.80399611029765,7.265386072898796,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.328571<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.35714285714285715,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5412558928140961,0.42112500000008096,0.12013089281401518,2.5436994474000775e-08,1.4360524680459525e-08,1.107646979354125e-08,2.5436994474000776e-10,1.4360524680459526e-10,1.107646979354125e-10,0.5087398894800155,0.2872104936091905,0.22152939587082499,1.7713137256477185,77.13137256477187,1.7713137256477185,77.13137256477185,1.7713137256477185,77.13137256477187,7.070483694420613,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.357143<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.3857142857142857,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5521749409266968,0.42935897435897447,0.12281596656772237,1.7978026775622904e-08,1.223320224562305e-08,5.744824529999854e-09,1.7978026775622904e-10,1.223320224562305e-10,5.744824529999854e-11,0.3595605355124581,0.244664044912461,0.1148964905999971,1.469609217165956,46.9609217165956,1.4696092171659558,46.960921716595585,1.4696092171659558,46.960921716595585,6.871928537086115,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.385714<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.41428571428571426,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5633008161428146,0.43802631579257856,0.12527450035023602,1.2623111771885043e-08,1.0333448016075274e-08,2.2896637558097697e-09,1.2623111771885043e-10,1.0333448016075274e-10,2.2896637558097697e-11,0.25246223543770085,0.20666896032150547,0.04579327511619538,1.2215779043207886,22.15779043207885,1.2215779043207886,22.15779043207886,1.2215779043207886,22.157790432078862,6.669612375343869,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.414286<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.44285714285714284,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5746397318307876,0.44716216216848287,0.12747756966230478,8.80346159042534e-09,8.649449671132144e-09,1.5401191929319675e-10,8.803461590425341e-11,8.649449671132144e-11,1.5401191929319675e-12,0.1760692318085068,0.17298899342264287,0.003080238385863937,1.0178059790101117,1.780597901011174,1.0178059790101117,1.7805979010111728,1.0178059790101117,1.7805979010111728,6.463422637446319,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.442857<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.4714285714285714,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5861981777528694,0.45680555555446506,0.12939262219840436,6.096966752855474e-09,7.168687507206578e-09,-1.071720754351104e-09,6.096966752855474e-11,7.168687507206578e-11,-1.0717207543511041e-11,0.12193933505710948,0.14337375014413156,-0.021434415087022082,0.8504997249114683,-14.95002750885317,0.8504997249114683,-14.950027508853172,0.8504997249114683,-14.95002750885317,6.253241276128957,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.471429<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.5,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5979829354430014,0.4670000000000001,0.13098293544300132,4.192317292208204e-09,5.878017703936221e-09,-1.6857004117280172e-09,4.192317292208204e-11,5.878017703936221e-11,-1.685700411728017e-11,0.08384634584416407,0.11756035407872442,-0.03371400823456035,0.713219575606384,-28.678042439361594,0.7132195756063842,-28.67804243936159,0.7132195756063842,-28.678042439361587,6.038944611092431,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.5285714285714286,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6100010942995936,0.477794117647319,0.1322069766522746,2.8613886862707364e-09,4.763772650543302e-09,-1.9023839642725658e-09,2.8613886862707363e-11,4.7637726505433025e-11,-1.902383964272566e-11,0.057227773725414724,0.09527545301086604,-0.038047679285451316,0.6006560128230298,-39.93439871769702,0.6006560128230297,-39.93439871769703,0.6006560128230298,-39.934398717697015,5.82040372713319,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.528571<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
alpha1,0.5571428571428572,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6222600684192184,0.4892424242413392,0.13301764417787926,1.9381167285555557e-09,3.811878511586822e-09,-1.8737617830312667e-09,1.938116728555556e-11,3.8118785115868226e-11,-1.8737617830312666e-11,0.03876233457111112,0.07623757023173644,-0.03747523566062532,0.5084413689115055,-49.155863108849445,0.5084413689115055,-49.15586310884946,0.5084413689115054,-49.15586310884945,5.5974838046638045,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.557143<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
