param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
lambda_D,3.0412178890177225e-10,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5044708193583919,0.4670000000000001,0.037470819358391805,6.2813957266481194e-09,5.878017703936222e-09,4.0337802271189734e-10,6.28139572664812e-11,5.878017703936222e-11,4.0337802271189766e-12,0.1256279145329624,0.11756035407872444,0.008067560454237968,1.0686248397043405,6.862483970434043,1.0686248397043403,6.862483970434029,1.0686248397043403,6.862483970434024,1.6602431610637356,False,C_tot=0.01 M<br>lambda_D=3.04122e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,4.2257585541971056e-10,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.515123130593032,0.4670000000000002,0.04812313059303186,6.286011257361311e-09,5.878017703936238e-09,4.079935534250735e-10,6.286011257361312e-11,5.878017703936238e-11,4.079935534250737e-12,0.12572022514722622,0.11756035407872475,0.008159871068501467,1.0694100586243316,6.941005862433162,1.0694100586243316,6.941005862433166,1.0694100586243316,6.941005862433164,2.0516794915160217,False,C_tot=0.01 M<br>lambda_D=4.22576e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,5.87167247136564e-10,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5275237341467703,0.4670000000000001,0.06052373414677026,6.215619451058207e-09,5.878017703936221e-09,3.376017471219854e-10,6.215619451058206e-11,5.878017703936221e-11,3.3760174712198506e-12,0.12431238902116412,0.11756035407872442,0.0067520349424397,1.0574346257745888,5.743462577458887,1.0574346257745888,5.743462577458889,1.057434625774589,5.743462577458894,2.511842556067837,False,C_tot=0.01 M<br>lambda_D=5.87167e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,8.158662443397333e-10,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5413437385714063,0.4670000000000001,0.07434373857140619,6.03361282947569e-09,5.878017703936221e-09,1.5559512553946844e-10,6.03361282947569e-11,5.878017703936221e-11,1.5559512553946906e-12,0.12067225658951379,0.11756035407872442,0.003111902510789369,1.0264706799769034,2.6470679976903435,1.0264706799769034,2.647067997690354,1.0264706799769034,2.6470679976903435,2.9885040853301827,False,C_tot=0.01 M<br>lambda_D=8.15866e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,1.1336424705211915e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5560234970630773,0.4670000000000001,0.08902349706307722,5.716673776510662e-09,5.8780177039362204e-09,-1.6134392742555804e-10,5.7166737765106625e-11,5.878017703936221e-11,-1.6134392742555863e-12,0.11433347553021324,0.11756035407872442,-0.0032268785485111834,0.9725513029133078,-2.7448697086692175,0.9725513029133079,-2.744869708669208,0.972551302913308,-2.7448697086691984,3.5934996182284467,False,C_tot=0.01 M<br>lambda_D=1.13364e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,1.5751911050192262e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5708428997720539,0.4670000000000001,0.10384289977205385,5.2719049938835415e-09,5.878017703936221e-09,-6.061127100526798e-10,5.2719049938835416e-11,5.878017703936221e-11,-6.061127100526795e-12,0.10543809987767083,0.11756035407872442,-0.01212225420105359,0.8968848444184175,-10.311515558158245,0.8968848444184175,-10.311515558158247,0.8968848444184175,-10.31151555815825,4.370352443276011,False,C_tot=0.01 M<br>lambda_D=1.57519e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,2.188720943200865e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5850457987311031,0.46699999999999986,0.11804579873110321,4.74236412244685e-09,5.878017703936201e-09,-1.1356535814893504e-09,4.7423641224468505e-11,5.8780177039362e-11,-1.13565358148935e-11,0.094847282448937,0.117560354078724,-0.022713071629787,0.8067965020369261,-19.32034979630739,0.8067965020369261,-19.32034979630739,0.806796502036926,-19.320349796307397,5.197017594549784,False,C_tot=0.01 M<br>lambda_D=2.18872e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,3.0412178890177225e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5979829354430014,0.4670000000000001,0.13098293544300132,4.192317292208198e-09,5.878017703936221e-09,-1.685700411728023e-09,4.192317292208198e-11,5.878017703936221e-11,-1.685700411728023e-11,0.08384634584416396,0.11756035407872442,-0.03371400823456046,0.7132195756063832,-28.67804243936169,0.7132195756063832,-28.678042439361686,0.7132195756063832,-28.678042439361686,6.038944611092424,False,C_tot=0.01 M<br>lambda_D=3.04122e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,4.225758554197105e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6092272858783537,0.46699999999999986,0.14222728587835387,3.6809912233754877e-09,5.878017703936201e-09,-2.197026480560713e-09,3.6809912233754877e-11,5.8780177039362e-11,-2.1970264805607128e-11,0.07361982446750975,0.117560354078724,-0.04394052961121425,0.6262300334533734,-37.37699665466266,0.6262300334533734,-37.37699665466267,0.6262300334533734,-37.37699665466266,6.85801836355998,False,C_tot=0.01 M<br>lambda_D=4.22576e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
lambda_D,5.8716724713656155e-09,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.618617402318926,0.4670000000000002,0.15161740231892584,3.2442671682513563e-09,5.878017703936237e-09,-2.6337505356848807e-09,3.2442671682513564e-11,5.878017703936237e-11,-2.6337505356848802e-11,0.06488534336502712,0.11756035407872473,-0.05267501071369761,0.551932187288041,-44.806781271195895,0.5519321872880412,-44.80678127119589,0.551932187288041,-44.806781271195895,7.615250396935618,False,C_tot=0.01 M<br>lambda_D=5.87167e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
