param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
pH,0.0,0.0,0.1,1.2478855001102358,0.0001852573885166257,1852.573885166258,0.9996784146276328,1.087828250171618,-0.08814983554398526,0.0003808749780932063,0.0010452757856029022,-0.0006644008075096959,3.8087497809320634e-06,1.0452757856029022e-05,-6.644008075096958e-06,7617.499561864126,20905.51571205804,-13288.016150193915,0.36437750050195833,-63.56224994980417,0.36437750050195833,-63.56224994980417,0.3643775005019583,-63.562249949804176,5.819625013400067,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=0<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=1.24789<br>it0_1_eff=0.000185257<br>it0_2_eff=1852.57
pH,1.0,1.0,0.1,1.1887590000944879,0.0001852573885166257,185.25738851662592,0.9422923715865141,0.9991385001417328,-0.056846128555218645,7.448645072902567e-05,0.00018587924071232067,-0.000111392789983295,7.448645072902566e-07,1.8587924071232066e-06,-1.1139278998329499e-06,1489.7290145805132,3717.584814246413,-2227.8557996658997,0.4007249569321512,-59.927504306784876,0.4007249569321512,-59.927504306784876,0.4007249569321512,-59.927504306784876,5.077693857632931,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=1<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=1.18876<br>it0_1_eff=0.000185257<br>it0_2_eff=185.257
pH,2.0,2.0,0.1,1.12963250007874,0.0001852573885166257,18.525738851662606,0.8849076831054371,0.9104487501181123,-0.025541067012675223,1.4571356509319226e-05,3.305452265123985e-05,-1.8483166141920628e-05,1.4571356509319227e-07,3.3054522651239855e-07,-1.8483166141920628e-07,291.42713018638455,661.0904530247971,-369.6633228384125,0.4408279212821325,-55.91720787178675,0.44082792128213244,-55.91720787178675,0.44082792128213244,-55.91720787178676,4.341453711592282,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=2<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=1.12963<br>it0_1_eff=0.000185257<br>it0_2_eff=18.5257
pH,3.0,3.0,0.1,1.0705060000629918,0.0001852573885166257,1.8525738851662585,0.8275237009473299,0.821759000094477,0.005764700852852855,2.8513316091033528e-06,5.8780177039349675e-06,-3.0266860948316147e-06,2.851331609103353e-08,5.878017703934968e-08,-3.026686094831615e-08,57.026632182067054,117.56035407869935,-60.533721896632294,0.48508387567369243,-51.49161243263076,0.48508387567369243,-51.49161243263075,0.48508387567369243,-51.49161243263076,3.61339137436007,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=3<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=1.07051<br>it0_1_eff=0.000185257<br>it0_2_eff=1.85257
pH,4.0,4.0,0.1,1.0113795000472439,0.0001852573885166257,0.18525738851662582,0.7701398097651801,0.7330692500933828,0.0370705596717974,5.581081082262235e-07,1.0452757859336958e-06,-4.871676777074722e-07,5.581081082262236e-09,1.0452757859336957e-08,-4.871676777074722e-09,11.16216216452447,20.905515718673914,-9.743353554149444,0.5339338342442247,-46.60661657557753,0.5339338342442247,-46.606616575577526,0.5339338342442246,-46.60661657557754,2.9084055707142173,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=4<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=1.01138<br>it0_1_eff=0.000185257<br>it0_2_eff=0.185257
pH,5.0,5.0,0.1,0.9522530000314959,0.0001852573885166257,0.018525738851662577,0.7127554228660729,0.6443795000472188,0.06837592281885407,1.0927233077972115e-07,1.858792407122263e-07,-7.660690993250514e-08,1.0927233077972116e-09,1.858792407122263e-09,-7.660690993250514e-10,2.185446615594423,3.7175848142445256,-1.5321381986501024,0.5878673183784623,-41.21326816215377,0.5878673183784623,-41.213268162153774,0.5878673183784622,-41.21326816215378,3.951896074379107,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=5<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.952253<br>it0_1_eff=0.000185257<br>it0_2_eff=0.0185257
pH,6.0,6.0,0.1,0.893126500015748,0.0001852573885166257,0.0018525738851662573,0.6553699783136436,0.5556897500236213,0.09968022829002232,2.140042102227958e-08,3.305452265123781e-08,-1.1654101628958229e-08,2.140042102227958e-10,3.305452265123781e-10,-1.165410162895823e-10,0.42800842044559156,0.6610904530247561,-0.23308203257916454,0.6474279253123079,-35.25720746876921,0.6474279253123079,-35.25720746876922,0.6474279253123079,-35.257207468769224,4.995405810648146,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=6<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.893127<br>it0_1_eff=0.000185257<br>it0_2_eff=0.00185257
pH,7.0,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5979829354430014,0.4670000000000001,0.13098293544300132,4.192317292208204e-09,5.878017703936221e-09,-1.6857004117280172e-09,4.192317292208204e-11,5.878017703936221e-11,-1.685700411728017e-11,0.08384634584416407,0.11756035407872442,-0.03371400823456035,0.713219575606384,-28.678042439361594,0.7132195756063842,-28.67804243936159,0.7132195756063842,-28.678042439361587,6.038944611092431,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
pH,8.0,8.0,0.1,0.7748734999842519,0.0001852573885166257,1.8525738851662567e-05,0.5405937716212571,0.3783102499763781,0.16228352164487903,8.214963663210407e-10,1.0452757854754048e-09,-2.2377941915436409e-10,8.214963663210406e-12,1.0452757854754048e-11,-2.237794191543642e-12,0.01642992732642081,0.020905515709508094,-0.004475588383087283,0.7859135146304126,-21.408648536958736,0.7859135146304126,-21.408648536958736,0.7859135146304127,-21.408648536958726,7.082523899414944,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=8<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.774873<br>it0_1_eff=0.000185257<br>it0_2_eff=1.85257e-05
pH,9.0,9.0,0.1,0.715746999968504,0.0001852573885166257,1.8525738851662561e-06,0.48320197941995013,0.28962049995275696,0.19358147946719317,1.6101903982473903e-10,1.8587924071232036e-10,-2.4860200887581332e-11,1.6101903982473903e-12,1.858792407123204e-12,-2.486020088758135e-13,0.0032203807964947804,0.0037175848142464076,-0.0004972040177516272,0.8662561736732252,-13.37438263267749,0.8662561736732252,-13.374382632677483,0.8662561736732253,-13.374382632677476,8.126152997182999,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=9<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.715747<br>it0_1_eff=0.000185257<br>it0_2_eff=1.85257e-06
