param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
z_R1,-2.0,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6657681175198469,0.4670000000000001,0.1987681175198468,4.863196320119021e-10,5.878017703936221e-09,-5.391698071924319e-09,4.863196320119021e-12,5.878017703936221e-11,-5.391698071924319e-11,0.009726392640238042,0.11756035407872442,-0.10783396143848638,0.08273531256740475,-91.72646874325952,0.08273531256740477,-91.72646874325952,0.08273531256740475,-91.72646874325953,4.806323725715609,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-2<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.8571428571428572,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6588667515728349,0.4670000000000001,0.19186675157283484,6.055700710426901e-10,5.878017703936221e-09,-5.2724476328935315e-09,6.055700710426902e-12,5.878017703936221e-11,-5.272447632893531e-11,0.012111401420853802,0.11756035407872442,-0.10544895265787062,0.10302283891339242,-89.69771610866076,0.10302283891339244,-89.69771610866076,0.10302283891339242,-89.69771610866076,4.931819704973606,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.85714<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.7142857142857144,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6511477604973142,0.4670000000000001,0.18414776049731407,7.739133824060085e-10,5.878017703936221e-09,-5.1041043215302126e-09,7.739133824060084e-12,5.878017703936221e-11,-5.1041043215302124e-11,0.015478267648120167,0.11756035407872442,-0.10208208643060425,0.13166230885758584,-86.83376911424142,0.13166230885758587,-86.8337691142414,0.13166230885758587,-86.8337691142414,5.072183562120699,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.71429<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.5714285714285714,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6425499648976395,0.4670000000000001,0.1755499648976394,1.0170693026076625e-09,5.878017703936221e-09,-4.8609484013285585e-09,1.0170693026076626e-11,5.878017703936221e-11,-4.860948401328559e-11,0.02034138605215325,0.11756035407872442,-0.09721896802657118,0.17302930236609884,-82.69706976339013,0.17302930236609887,-82.69706976339012,0.17302930236609884,-82.69706976339012,5.2285277969469135,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.57143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.4285714285714286,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6330105825418114,0.4670000000000001,0.16601058254181134,1.3772287992442585e-09,5.878017703936221e-09,-4.500788904691963e-09,1.3772287992442584e-11,5.878017703936221e-11,-4.500788904691963e-11,0.027544575984885168,0.11756035407872442,-0.09001577809383926,0.2343015738659643,-76.56984261340358,0.2343015738659643,-76.56984261340357,0.2343015738659643,-76.56984261340357,5.401994055576399,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.42857<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.2857142857142858,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6224602126301728,0.4670000000000001,0.15546021263017273,1.9258284481144592e-09,5.878017703936221e-09,-3.952189255821762e-09,1.9258284481144594e-11,5.878017703936221e-11,-3.952189255821762e-11,0.03851656896228919,0.11756035407872442,-0.07904378511643523,0.32763229801516697,-67.2367701984833,0.32763229801516697,-67.23677019848331,0.3276322980151669,-67.23677019848331,5.593844337645335,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.28571<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.1428571428571428,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6108173684526733,0.4670000000000001,0.14381736845267323,2.7881144959039542e-09,5.878017703936221e-09,-3.089903208032267e-09,2.788114495903954e-11,5.878017703936221e-11,-3.089903208032267e-11,0.05576228991807908,0.11756035407872442,-0.061798064160645344,0.47432904021995204,-52.567095978004794,0.47432904021995204,-52.567095978004794,0.4743290402199521,-52.567095978004794,5.805560415682926,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1.14286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-1.0,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5979829354430014,0.4670000000000001,0.13098293544300132,4.192317292208204e-09,5.878017703936221e-09,-1.6857004117280172e-09,4.192317292208204e-11,5.878017703936221e-11,-1.685700411728017e-11,0.08384634584416407,0.11756035407872442,-0.03371400823456035,0.713219575606384,-28.678042439361594,0.7132195756063842,-28.67804243936159,0.7132195756063842,-28.678042439361587,6.038944611092431,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-0.8571428571428572,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5838345485715661,0.4670000000000001,0.11683454857156605,6.5726178974947646e-09,5.878017703936221e-09,6.946001935585433e-10,6.572617897494765e-11,5.878017703936221e-11,6.946001935585434e-12,0.1314523579498953,0.11756035407872442,0.013892003871170872,1.1181691224055694,11.816912240556944,1.1181691224055694,11.816912240556944,1.1181691224055694,11.816912240556938,6.296222036892537,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-0.857143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
z_R1,-0.7142857142857144,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5682205612639353,0.4670000000000001,0.1012205612639352,1.0795877413079297e-08,5.878017703936221e-09,4.917859709143076e-09,1.0795877413079297e-10,5.878017703936221e-11,4.917859709143076e-11,0.21591754826158593,0.11756035407872442,0.09835719418286151,1.8366527555454326,83.66527555454326,1.8366527555454326,83.66527555454326,1.8366527555454326,83.66527555454326,6.580150294355098,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-0.714286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257
