run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_span,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,i_mix_avg_A_per_m2,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,residual_avg_A_per_m2,converged,method,iterations,out_of_plane_width_m,reactive_length_m,reactive_area_m2,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,scan_param,scan_value,scan_value_M,pzc_Au_V,pzc_Pd_V,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm
baseline:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5979829354430014,1.3784994844819471,1.3784994844819471,4.192317292208204e-09,4.192317292208204e-11,0.08384634584416407,-8.881784197001252e-15,-8.881784197001252e-15,-2.7011440986315104e-23,-2.70114409863151e-25,-5.40228819726302e-16,True,brentq,17,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,6.038944611092431,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,,,,,,,,,
baseline:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,1.932784140578219,1.932784140578219,5.878017703936221e-09,5.878017703936221e-11,0.11756035407872442,6.439293542825908e-15,6.439293542825908e-15,1.9583294715078452e-23,1.9583294715078452e-25,3.91665894301569e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,,,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,0.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.9996784146276328,125237.64886054402,125237.64886054402,0.0003808749780932063,3.8087497809320634e-06,7617.499561864126,-3.637978807091713e-10,-3.637978807091713e-10,-1.1063886227994666e-18,-1.1063886227994667e-20,-2.212777245598933e-11,True,brentq,20,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,5.819625013400067,False,-7.0,0.1,1.2478855001102358,0.0001852573885166257,1852.573885166258,with_edl_FULL,0.01,pH,0.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,0.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,1.087828250171618,343703.0241659253,343703.0241659253,0.0010452757856029022,1.0452757856029022e-05,20905.51571205804,8.384761167690158e-05,8.384761167690158e-05,2.5499885658320426e-13,2.549988565832043e-15,5.099977131664085e-06,True,brentq,17,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-7.0,0.1,1.2478855001102358,0.0001852573885166257,1852.573885166258,without_edl,0.01,pH,0.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,1.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.9422923715865141,24492.309807201596,24492.309807201596,7.448645072902567e-05,7.448645072902566e-07,1489.7290145805132,-1.2005330063402653e-10,-1.2005330063402653e-10,-3.65108245523824e-19,-3.65108245523824e-21,-7.302164910476481e-12,True,brentq,20,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,5.077693857632931,False,-6.0,0.1,1.1887590000944879,0.0001852573885166257,185.25738851662592,with_edl_FULL,0.01,pH,1.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,1.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.9991385001417328,61120.00109678348,61120.00109678348,0.00018587924071232067,1.8587924071232066e-06,3717.584814246413,2.2118911147117615e-09,2.2118911147117615e-09,6.726842826620758e-18,6.726842826620758e-20,1.3453685653241514e-10,True,brentq,17,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-6.0,0.1,1.1887590000944879,0.0001852573885166257,185.25738851662592,without_edl,0.01,pH,1.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,2.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.8849076831054371,4791.289884864385,4791.289884864385,1.4571356509319226e-05,1.4571356509319227e-07,291.42713018638455,-1.0459189070388675e-10,-1.0459189070388675e-10,-3.1808672905484667e-19,-3.1808672905484666e-21,-6.361734581096933e-12,True,brentq,19,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,4.341453711592282,False,-5.0,0.1,1.12963250007874,0.0001852573885166257,18.525738851662606,with_edl_FULL,0.01,pH,2.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,2.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.9104487501181123,10868.843949196973,10868.843949196973,3.305452265123985e-05,3.3054522651239855e-07,661.0904530247971,1.0295480024069548e-09,1.0295480024069548e-09,3.131079802522491e-18,3.131079802522491e-20,6.262159605044981e-11,True,brentq,18,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-5.0,0.1,1.12963250007874,0.0001852573885166257,18.525738851662606,without_edl,0.01,pH,2.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,3.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.8275237009473299,937.5624217521291,937.5624217521291,2.8513316091033528e-06,2.851331609103353e-08,57.026632182067054,4.5309548113436904e-08,4.5309548113436904e-08,1.3779620826589345e-16,1.3779620826589345e-18,2.755924165317869e-09,True,brentq,17,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,3.61339137436007,False,-4.0,0.1,1.0705060000629918,0.0001852573885166257,1.8525738851662585,with_edl_FULL,0.01,pH,3.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,3.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.821759000094477,1932.7841405778065,1932.7841405778065,5.8780177039349675e-06,5.878017703934968e-08,117.56035407869935,-8.155893738148734e-10,-8.155893738148734e-10,-2.4803849937385544e-18,-2.4803849937385546e-20,-4.9607699874771086e-11,True,brentq,17,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-4.0,0.1,1.0705060000629918,0.0001852573885166257,1.8525738851662585,without_edl,0.01,pH,3.0,,,,,,,
