d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,E_mix_with_EDL_V,E_mix_without_EDL_V,delta_E_total_EDL_V,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,delta_i_total_EDL_A_per_m2,I_Au_with_EDL_A,I_Pd_with_EDL_A,relative_balance_residual,max_abs_phi_tilde,n_nodes,n_elements,E_mix_no_overlap_100nm_V,i_mix_avg_no_overlap_100nm_A_per_m2,delta_E_overlap_vs_100nm_V,delta_i_overlap_vs_100nm_A_per_m2,reference_100nm_plateau_validated
0.0,0.0,0.0,0.6006820511512232,0.46699999999999997,0.13368205115122322,0.08160527647541833,0.11756035407872421,-0.03595507760330588,4.080263823770917e-11,-4.0802638238944324e-11,1.513572640496472e-11,5.984230304518736,7590,7410,0.5980484934361089,0.08383834671661106,0.0026335577151143097,-0.0022330702411927222,True
5e-10,0.5,0.164407818922009,0.6000278268210414,0.46699999999999997,0.13302782682104142,0.08182384561500294,0.11756035407872421,-0.03573650846372127,4.091192280750148e-11,-4.091192280900029e-11,1.8317551375910898e-11,5.996108861127574,8179,7930,0.5980484934361089,0.08383834671661106,0.0019793333849325023,-0.0020145011016081127,True
1e-09,1.0,0.328815637844018,0.5995881937385196,0.46699999999999997,0.1325881937385196,0.0821346475712843,0.11756035407872421,-0.03542570650743991,4.1067323785642154e-11,-4.1067323787313356e-11,2.034710265123277e-11,6.004089107358887,8703,8450,0.5980484934361089,0.08383834671661106,0.0015397003024106848,-0.0017036991453267536,True
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,0.5992628141925735,0.46699999999999997,0.13226281419257357,0.0824271423497404,0.11756035407872421,-0.035133211728983815,4.12135711748702e-11,-4.12135711766617e-11,2.1734330128043107e-11,6.009994423076293,8965,8710,0.5980484934361089,0.08383834671661106,0.0012143207564646596,-0.001411204366870658,True
2e-09,2.0,0.657631275688036,0.5990159460552742,0.46699999999999997,0.13201594605527422,0.08267715600068337,0.11756035407872421,-0.03488319807804084,4.1338578000341686e-11,-4.133857800221848e-11,2.2700288113953466e-11,6.014474189325147,9489,9230,0.5980484934361089,0.08383834671661106,0.0009674526191653099,-0.0011611907159276846,True
2.5e-09,2.5,0.8220390946100451,0.5988245472134511,0.46699999999999997,0.13182454721345116,0.08288604204076304,0.11756035407872421,-0.034674312037961175,4.1443021020381524e-11,-4.1443021022320545e-11,2.33938208166634e-11,6.017946967469676,10013,9750,0.5980484934361089,0.08383834671661106,0.0007760537773422449,-0.0009523046758480175,True
3.0000000000000004e-09,3.0000000000000004,0.9864469135320542,0.598673672101125,0.46699999999999997,0.13167367210112502,0.08305962504264564,0.11756035407872421,-0.03450072903607858,4.152981252132282e-11,-4.152981252330845e-11,2.3906129297712467e-11,6.020684196992661,10275,10010,0.5980484934361089,0.08383834671661106,0.0006251786650161018,-0.0007787216739654212,True
3.0412178890180004e-09,3.0412178890180006,1.0000000000000917,0.5986634407319328,0.46699999999999997,0.1316634407319328,0.08307106804103334,0.11756035407872421,-0.03448928603769087,4.153553402051667e-11,-4.1535534022505025e-11,2.393558709802789e-11,6.020869789078382,10537,10270,0.5980484934361089,0.08383834671661106,0.0006149472958238977,-0.000767278675577715,True
3.5000000000000003e-09,3.5000000000000004,1.1508547324540632,0.5985549892223206,0.46699999999999997,0.13155498922232067,0.08320026607551945,0.11756035407872421,-0.03436008800320477,4.1600133037759725e-11,-4.1600133039780204e-11,2.4284527133089304e-11,6.022837151576338,10799,10530,0.5980484934361089,0.08383834671661106,0.0005064957862117581,-0.0006380806410916096,True
4e-09,4.0,1.315262551376072,0.5984604290239047,0.46699999999999997,0.13146042902390476,0.08331503855590743,0.11756035407872421,-0.03424531552281679,4.165751927795372e-11,-4.165751928000035e-11,2.4564979852227773e-11,6.024552353678716,11323,11050,0.5980484934361089,0.08383834671661106,0.00041193558779584194,-0.0005233081607036311,True
