param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
E1_eq,-0.19999999999999998,0.33494681174671476,0.3191583364800724,0.015788475266642343,2.3591830759209788e-08,2.3909468101594663e-08,-3.1763734238487533e-10,2.3591830759209788e-08,2.3909468101594663e-08,-3.1763734238487533e-10,0.9867149975467798,-1.3285002453220205,0.9867149975467798,-1.3285002453220205,0.9666680744799692,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.2<br>E2_eq=0.834
E1_eq,-0.15714285714285714,0.35032203567827824,0.3437888783458759,0.0065331573324023395,1.6647550572823957e-08,1.6766316669502274e-08,-1.1876609667831645e-10,1.6647550572823957e-08,1.6766316669502274e-08,-1.1876609667831645e-10,0.9929163871219043,-0.7083612878095672,0.9929163871219043,-0.7083612878095672,0.39636017015414815,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.157143<br>E2_eq=0.834
E1_eq,-0.11428571428571427,0.3657477231889388,0.36841942021573443,-0.0026716970267956497,1.1772148509722956e-08,1.1757240834039175e-08,1.490767568378098e-11,1.1772148509722956e-08,1.1757240834039175e-08,1.490767568378098e-11,1.0012679569887368,0.12679569887367426,1.0012679569887368,0.12679569887367426,0.1758195623913945,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.114286<br>E2_eq=0.834
E1_eq,-0.07142857142857142,0.3812198343420842,0.39304996207661963,-0.011830127734535456,8.341236243877457e-09,8.244667849849752e-09,9.656839402770522e-11,8.341236243877457e-09,8.244667849849752e-09,9.656839402770522e-11,1.0117128301329283,1.1712830132928285,1.0117128301329283,1.1712830132928285,0.7497212711744581,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0714286<br>E2_eq=0.834
E1_eq,-0.028571428571428553,0.39673438622951,0.4176805039759541,-0.02094611774644406,5.921445365311239e-09,5.781505113720133e-09,1.399402515911058e-10,5.921445365311239e-09,5.781505113720133e-09,1.399402515911058e-10,1.0242048132516588,2.420481325165873,1.0242048132516588,2.420481325165873,1.3251972195480004,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0285714<br>E2_eq=0.834
E1_eq,0.014285714285714318,0.41228749549005106,0.4423110458387773,-0.030023550348726225,4.211164752435562e-09,4.054232622217482e-09,1.5693213021807994e-10,4.211164752435562e-09,4.054232622217482e-09,1.5693213021807994e-10,1.038708220480019,3.8708220480019015,1.038708220480019,3.8708220480019015,1.9021033633291342,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0142857<br>E2_eq=0.834
E1_eq,0.057142857142857134,0.4278754120075402,0.4669415877069956,-0.03906617569945542,2.999923914708602e-09,2.8429970800809057e-09,1.569268346276962e-10,2.999923914708602e-09,2.8429970800809057e-09,1.569268346276962e-10,1.0551976770314624,5.51976770314623,1.0551976770314624,5.51976770314623,2.480300600745961,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0571429<br>E2_eq=0.834
E1_eq,0.1,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
E1_eq,0.14285714285714288,0.45914147689126455,0.5162026714492048,-0.05706119455794029,1.5295455847507432e-09,1.3980152642129757e-09,1.3153032053776753e-10,1.5295455847507432e-09,1.3980152642129757e-09,1.3153032053776753e-10,1.0940836083158316,9.408360831583167,1.0940836083158316,9.408360831583167,3.640042014576464,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.142857<br>E2_eq=0.834
E1_eq,0.18571428571428575,0.4748129821287271,0.5408332133221935,-0.0660202311934664,1.0945365312594245e-09,9.803466364150823e-10,1.1418989484434223e-10,1.0945365312594245e-09,9.803466364150823e-10,1.1418989484434223e-10,1.1164791009656647,11.647910096566479,1.1164791009656647,11.647910096566479,4.2213397796945795,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.185714<br>E2_eq=0.834
E1_eq,0.22857142857142862,0.49050602498365353,0.565463755198498,-0.07495773021484448,7.842944076315727e-10,6.874599671366699e-10,9.683444049490278e-11,7.842944076315727e-10,6.874599671366699e-10,9.683444049490278e-11,1.140858297390358,14.085829739035798,1.140858297390358,14.085829739035798,4.803436432265306,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.228571<br>E2_eq=0.834
