param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_Au,1.1000000000000008e-09,0.47480015300328476,0.5595336238452788,-0.08473347084199406,1.0666650869445229e-09,7.48784433227821e-10,3.1788065371670183e-10,1.0666650869445229e-09,7.48784433227821e-10,3.1788065371670183e-10,1.4245289293026544,42.45289293026544,1.4245289293026544,42.45289293026544,4.2588736018055044,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,1.5284450438104508e-09,0.4698000211374758,0.5498248389494304,-0.08002481781195453,1.1868488867651784e-09,8.612161070998847e-10,3.256327796652937e-10,1.1868488867651784e-09,8.612161070998847e-10,3.256327796652937e-10,1.3781080927084037,37.810809270840366,1.3781080927084037,37.810809270840366,4.070169935020056,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.52845e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,2.1237675017715806e-09,0.46494094578715933,0.5401160540710273,-0.07517510828386792,1.3174607160591085e-09,9.905296510812562e-10,3.2693106497785236e-10,1.3174607160591085e-09,9.905296510812562e-10,3.2693106497785236e-10,1.3300568182093049,33.00568182093049,1.3300568182093049,33.00568182093049,3.8852223678770965,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=2.12377e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,2.9509653748077024e-09,0.46024206076265933,0.5304072691578149,-0.07016520839515555,1.4588964792528398e-09,1.1392599150405105e-09,3.196365642123293e-10,1.4588964792528398e-09,1.1392599150405105e-09,3.196365642123293e-10,1.2805650931736359,28.056509317363584,1.2805650931736359,28.056509317363584,3.7049881787034877,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=2.95097e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,4.100353092346435e-09,0.4557262500840815,0.5206984842618655,-0.06497223417778397,1.611610252541078e-09,1.310322364441686e-09,3.012878880993921e-10,1.611610252541078e-09,1.310322364441686e-09,3.012878880993921e-10,1.2299341721361579,22.993417213615793,1.2299341721361579,22.993417213615793,3.531964346102212,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=4.10035e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,5.697422147154327e-09,0.45142638633197035,0.5109896993661576,-0.059563313034187215,1.7757010173691706e-09,1.5070702269929938e-09,2.6863079037617686e-10,1.7757010173691706e-09,1.5070702269929938e-09,2.6863079037617686e-10,1.1782470289471292,17.824702894712928,1.1782470289471292,17.824702894712928,3.3661460513711834,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=5.69742e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,7.916542403012688e-09,0.44735027901403723,0.5012809144705006,-0.05393063545646337,1.9517783588670804e-09,1.7333602254882836e-09,2.1841813337879675e-10,1.9517783588670804e-09,1.7333602254882836e-09,2.1841813337879675e-10,1.1260085065799113,12.600850657991119,1.1260085065799113,12.600850657991119,3.206550861605537,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=7.91654e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,1.1000000000000008e-08,0.4434945442360358,0.4915721295774951,-0.048077585341459284,2.140474688871354e-09,1.993628178465676e-09,1.4684651040567804e-10,2.140474688871354e-09,1.993628178465676e-09,1.4684651040567804e-10,1.0736579227720855,7.36579227720854,1.0736579227720855,7.36579227720854,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,1.5284450438104506e-08,0.439784736518637,0.4818633446748299,-0.04207860815619291,2.3440534924894514e-09,2.292975952015498e-09,5.107754047395339e-11,2.3440534924894514e-09,2.292975952015498e-09,5.107754047395339e-11,1.0222756546701055,2.2275654670105394,1.0222756546701055,2.2275654670105394,2.914170845340596,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.52845e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Au,2.123767501771576e-08,0.43605908761464734,0.4721545597825999,-0.03609547216795256,2.5677257599450094e-09,2.6372714703682373e-09,-6.954571042322794e-11,2.5677257599450094e-09,2.6372714703682373e-09,-6.954571042322794e-11,0.9736296732419748,-2.637032675802518,0.9736296732419748,-2.637032675802518,2.773389666275351,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=2.12377e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
