param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
alpha1,0.3,0.403195444709029,0.41838107733156593,-0.015185632622536915,5.138079024666218e-09,5.723436748192027e-09,-5.853577235258089e-10,5.138079024666218e-09,5.723436748192027e-09,-5.853577235258089e-10,0.8977261828374853,-10.227381716251466,0.8977261828374853,-10.227381716251466,1.5648550442133455,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.3<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.32857142857142857,0.408689166201492,0.42711581195031506,-0.01842664574882308,4.555663016997849e-09,5.04657733366491e-09,-4.909143166670607e-10,4.555663016997849e-09,5.04657733366491e-09,-4.909143166670607e-10,0.9027233143952338,-9.72766856047662,0.9027233143952338,-9.72766856047662,1.76863177001988,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.328571<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.35714285714285715,0.41426842833681093,0.4363433383790755,-0.022074910042264584,4.032986910352444e-09,4.4182796502618515e-09,-3.852927399094078e-10,4.032986910352444e-09,4.4182796502618515e-09,-3.852927399094078e-10,0.912795755269458,-8.720424473054196,0.912795755269458,-8.720424473054196,1.975581425533262,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.357143<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.3857142857142857,0.4199346311227271,0.4461065702392507,-0.0261719391165236,3.5646394326056404e-09,3.838461129635784e-09,-2.73821697030144e-10,3.5646394326056404e-09,3.838461129635784e-09,-2.73821697030144e-10,0.9286636785465832,-7.133632145341688,0.9286636785465832,-7.133632145341688,2.185755940760137,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.385714<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.41428571428571426,0.425689116625008,0.45645355293096807,-0.03076443630596004,3.1456300943761335e-09,3.306801425854756e-09,-1.6117133147862267e-10,3.1456300943761335e-09,3.306801425854756e-09,-1.6117133147862267e-10,0.95126065622856,-4.873934377143993,0.95126065622856,-4.873934377143993,2.3992050964854013,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.414286<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.44285714285714284,0.4315331563378518,0.4674382540997701,-0.0359050977619183,2.7713618902243783e-09,2.8227238311415004e-09,-5.1361940917122106e-11,2.7713618902243783e-09,2.8227238311415004e-09,-5.1361940917122106e-11,0.9818041211292174,-1.819587887078259,0.9818041211292174,-1.819587887078259,2.6159760558069625,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.442857<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.4714285714285714,0.4374679369333299,0.47912150541261717,-0.04165356847928725,2.437605467498758e-09,2.3853784840854208e-09,5.222698341333735e-11,2.437605467498758e-09,2.3853784840854208e-09,5.222698341333735e-11,1.0218946317164261,2.189463171642622,1.0218946317164261,2.189463171642622,2.8361128355446805,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.471429<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.5,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.5285714285714286,0.4496139453863678,0.5048682969622256,-0.055254351575857785,1.8764035269334136e-09,1.6460378392182102e-09,2.3036568771520342e-10,1.8764035269334136e-09,1.6460378392182102e-09,2.3036568771520342e-10,1.1399516355132007,13.99516355132007,1.1399516355132007,13.99516355132007,3.2866405584323797,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.528571<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
alpha1,0.5571428571428572,0.4558269691940516,0.5190991685604578,-0.06327219936640621,1.6421242281142285e-09,1.3408688520343099e-09,3.0125537607991864e-10,1.6421242281142285e-09,1.3408688520343099e-09,3.0125537607991864e-10,1.224671768326087,22.467176832608693,1.224671768326087,22.467176832608693,3.5170981181439185,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.557143<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
