param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
z_R1,-2.0,0.4173974633578398,0.49157212957749513,-0.07417466621965535,3.76707474063566e-09,1.993628178465674e-09,1.7734465621699862e-09,3.76707474063566e-09,1.993628178465674e-09,1.7734465621699862e-09,1.8895573313649976,88.95573313649977,1.8895573313649976,88.95573313649977,2.091645647644633,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-2<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.8571428571428572,0.42007135106519083,0.49157212957749513,-0.0715007785123043,3.554051442279351e-09,1.993628178465674e-09,1.5604232638136773e-09,3.554051442279351e-09,1.993628178465674e-09,1.5604232638136773e-09,1.7827052610254548,78.27052610254547,1.7827052610254548,78.27052610254547,2.1908272466619625,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.85714<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.7142857142857144,0.42301048182406964,0.49157212957749513,-0.06856164775342549,3.3340350217262154e-09,1.993628178465674e-09,1.3404068432605416e-09,3.3340350217262154e-09,1.993628178465674e-09,1.3404068432605416e-09,1.672345454252226,67.2345454252226,1.672345454252226,67.2345454252226,2.299847415154904,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.71429<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.5714285714285714,0.42625599027776,0.49157212957749513,-0.06531613929973512,3.1071711896317767e-09,1.993628178465674e-09,1.1135430111661028e-09,3.1071711896317767e-09,1.993628178465674e-09,1.1135430111661028e-09,1.5585509992254936,55.85509992254936,1.5585509992254936,55.85509992254936,2.42023194632886,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.57143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.4285714285714286,0.4298578907265091,0.49157212957749513,-0.061714238850986036,2.8737550437733e-09,1.993628178465674e-09,8.801268653076259e-10,2.8737550437733e-09,1.993628178465674e-09,8.801268653076259e-10,1.4414699164138947,44.146991641389455,1.4414699164138947,44.146991641389455,2.553836003457377,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.42857<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.2857142857142858,0.4338775838631297,0.49157212957749513,-0.05769454571436544,2.6342786080576806e-09,1.993628178465674e-09,6.406504295920067e-10,2.6342786080576806e-09,1.993628178465674e-09,6.406504295920067e-10,1.3213490040480171,32.134900404801705,1.3213490040480171,32.134900404801705,2.702937101365473,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.28571<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.1428571428571428,0.4383912538305347,0.49157212957749513,-0.053180875746960454,2.3894911219919256e-09,1.993628178465674e-09,3.958629435262517e-10,2.3894911219919256e-09,1.993628178465674e-09,3.958629435262517e-10,1.1985640792010241,19.856407920102424,1.1985640792010241,19.856407920102424,2.870361112318877,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.14286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-1.0,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-0.8571428571428572,0.44930910668428137,0.49157212957749513,-0.042263022893213764,1.8887375780548333e-09,1.993628178465674e-09,-1.0489060041084057e-10,1.8887375780548333e-09,1.993628178465674e-09,-1.0489060041084057e-10,0.9473870797253849,-5.261292027461508,0.9473870797253849,-5.261292027461508,3.2753332810803126,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-0.857143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
z_R1,-0.7142857142857144,0.45599194853375236,0.49157212957749513,-0.035580181043742776,1.6363261408404962e-09,1.993628178465674e-09,-3.573020376251777e-10,1.6363261408404962e-09,1.993628178465674e-09,-3.573020376251777e-10,0.820777995874756,-17.9222004125244,0.820777995874756,-17.9222004125244,3.5232176401684843,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-0.714286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
