param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_gap,0.0,0.4914344328455448,0.49157212957749513,-0.00013769673195035415,1.9902786961747093e-09,1.993628178465674e-09,-3.3494822909645463e-12,1.9902786961747093e-09,1.993628178465674e-09,-3.3494822909645463e-12,0.9983199062256722,-0.16800937743277475,0.9983199062256722,-0.16800937743277475,0.006572417916025114,True,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=0<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,7.142857142857142e-08,0.4402319279992092,0.49157212957749513,-0.05134020157828595,2.158116987161656e-09,1.993628178465674e-09,1.6448880869598201e-10,2.158116987161656e-09,1.993628178465674e-09,1.6448880869598201e-10,1.0825072651323453,8.250726513234532,1.0825072651323453,8.250726513234532,3.0148384075482255,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=7.14286e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,1.4285714285714285e-07,0.44004402549661686,0.4915721295774951,-0.05152810408087821,2.16042055479756e-09,1.993628178465674e-09,1.6679237633188603e-10,2.16042055479756e-09,1.993628178465674e-09,1.6679237633188603e-10,1.083662730158766,8.366273015876608,1.083662730158766,8.366273015876608,3.010863904019965,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1.42857e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,2.1428571428571428e-07,0.4398859114834332,0.4915721295774951,-0.051686218094061875,2.162464374859746e-09,1.993628178465674e-09,1.68836196394072e-10,2.162464374859746e-09,1.993628178465674e-09,1.68836196394072e-10,1.0846879063095962,8.468790630959624,1.0846879063095962,8.468790630959624,3.0042313368396414,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=2.14286e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,2.857142857142857e-07,0.43969096433685717,0.49157212957749513,-0.05188116524063796,2.1653630428245893e-09,1.993628178465674e-09,1.7173486435891543e-10,2.1653630428245893e-09,1.993628178465674e-09,1.7173486435891543e-10,1.0861418724985545,8.614187249855444,1.0861418724985545,8.614187249855444,3.00113325251575,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=2.85714e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,3.571428571428571e-07,0.4395495316916751,0.49157212957749513,-0.05202259788582003,2.164340401101772e-09,1.993628178465674e-09,1.7071222263609814e-10,2.164340401101772e-09,1.993628178465674e-09,1.7071222263609814e-10,1.0856289174079998,8.562891740799973,1.0856289174079998,8.562891740799973,2.9934657563025375,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=3.57143e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,4.2857142857142857e-07,0.43929473399659624,0.49157212957749513,-0.05227739558089889,2.1693659316539445e-09,1.993628178465674e-09,1.7573775318827064e-10,2.1693659316539445e-09,1.993628178465674e-09,1.7573775318827064e-10,1.088149713716186,8.814971371618608,1.088149713716186,8.814971371618608,2.9972142248709073,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=4.28571e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,5e-07,0.4388907720081165,0.49157212957749513,-0.05268135756937864,2.1780638239533686e-09,1.993628178465674e-09,1.844356454876947e-10,2.1780638239533686e-09,1.993628178465674e-09,1.844356454876947e-10,1.0925125595032665,9.25125595032666,1.0925125595032665,9.25125595032666,2.9846370514048175,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=5e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,5.714285714285714e-07,0.43865399412361983,0.49157212957749513,-0.052918135453875303,2.1757168440076537e-09,1.993628178465674e-09,1.820886655419798e-10,2.1757168440076537e-09,1.993628178465674e-09,1.820886655419798e-10,1.0913353189470456,9.133531894704555,1.0913353189470456,9.133531894704555,2.9771394719660105,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=5.71429e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_gap,6.428571428571428e-07,0.4386192180016445,0.49157212957749513,-0.052952911575850636,2.1731440693645474e-09,1.993628178465674e-09,1.795158908988735e-10,2.1731440693645474e-09,1.993628178465674e-09,1.795158908988735e-10,1.0900448202116764,9.00448202116764,1.0900448202116764,9.00448202116764,2.9738042749638147,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=6.42857e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
