param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
epsilon_r,58.5,0.44541836068320806,0.4915721295774951,-0.04615376889428702,2.2048292237552837e-09,1.9936281784656743e-09,2.1120104528960943e-10,2.2048292237552837e-09,1.9936281784656743e-09,2.1120104528960943e-10,1.1059380317608436,10.593803176084364,1.1059380317608436,10.593803176084364,3.16287582547945,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=58.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,61.357142857142854,0.4450954193590405,0.4915721295774951,-0.046476710218454564,2.1945765594175892e-09,1.9936281784656743e-09,2.0094838095191494e-10,2.1945765594175892e-09,1.9936281784656743e-09,2.0094838095191494e-10,1.1007953153564312,10.07953153564311,1.1007953153564312,10.07953153564311,3.146085963955823,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=61.3571<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,64.21428571428571,0.4447909762733937,0.4915721295774951,-0.046781153304101375,2.1847070092441047e-09,1.993628178465674e-09,1.910788307784308e-10,2.1847070092441047e-09,1.993628178465674e-09,1.910788307784308e-10,1.095844768268418,9.5844768268418,1.095844768268418,9.5844768268418,3.1300780659451917,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=64.2143<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,67.07142857142857,0.4445033649357076,0.4915721295774951,-0.0470687646417875,2.175201888791791e-09,1.9936281784656743e-09,1.815737103261168e-10,2.175201888791791e-09,1.9936281784656743e-09,1.815737103261168e-10,1.0910770184166732,9.107701841667316,1.0910770184166732,9.107701841667316,3.114784135455565,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=67.0714<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,69.92857142857143,0.444231127055911,0.4915721295774951,-0.047341002521584075,2.1660430886601746e-09,1.9936281784656743e-09,1.7241491019450033e-10,2.1660430886601746e-09,1.9936281784656743e-09,1.7241491019450033e-10,1.0864829821612942,8.648298216129419,1.0864829821612942,8.648298216129419,3.100144562026145,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=69.9286<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,72.78571428571429,0.44397297956854287,0.4915721295774951,-0.04759915000895221,2.15721321544978e-09,1.9936281784656743e-09,1.6358503698410577e-10,2.15721321544978e-09,1.9936281784656743e-09,1.6358503698410577e-10,1.08205393500708,8.205393500708004,1.08205393500708,8.205393500708004,3.08610680496907,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=72.7857<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,75.64285714285714,0.4437277879186669,0.49157212957749513,-0.04784434165882823,2.148695670928155e-09,1.993628178465674e-09,1.5506749246248127e-10,2.148695670928155e-09,1.993628178465674e-09,1.5506749246248127e-10,1.0777815513130555,7.778155131305554,1.0777815513130555,7.778155131305554,3.072624325355191,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=75.6429<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,78.5,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,81.35714285714286,0.44327234936300264,0.4915721295774951,-0.04829978021449244,2.132535343146918e-09,1.993628178465674e-09,1.3890716468124427e-10,2.132535343146918e-09,1.993628178465674e-09,1.3890716468124427e-10,1.0696755624652885,6.967556246528844,1.0696755624652885,6.967556246528844,3.047163959466321,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=81.3571<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
epsilon_r,84.21428571428572,0.4430603979483425,0.49157212957749513,-0.04851173162915262,2.12486353653002e-09,1.993628178465674e-09,1.3123535806434615e-10,2.12486353653002e-09,1.993628178465674e-09,1.3123535806434615e-10,1.0658273992522251,6.582739925222508,1.0658273992522251,6.582739925222508,3.035115870848326,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=84.2143<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
