param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
lambda_D,3.0412178890177225e-09,0.4817902796224986,0.49157212957749513,-0.009781849954996535,2.153838942018265e-09,1.993628178465674e-09,1.602107635525913e-10,2.153838942018265e-09,1.993628178465674e-09,1.602107635525913e-10,1.080361406045079,8.036140604507903,1.080361406045079,8.036140604507903,3.8083684750190674,False,C_tot=0.0001 M<br>lambda_D=3.04122e-09<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,4.225758554197105e-09,0.47785534376505134,0.4915721295774951,-0.013716785812443733,2.2153900383393306e-09,1.9936281784656743e-09,2.217618598736563e-10,2.2153900383393306e-09,1.9936281784656743e-09,2.217618598736563e-10,1.1112353157268913,11.12353157268912,1.1112353157268913,11.12353157268912,3.8634707331624654,False,C_tot=0.0001 M<br>lambda_D=4.22576e-09<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,5.8716724713656395e-09,0.47308144506121647,0.4915721295774951,-0.01849068451627861,2.2822101869177165e-09,1.9936281784656743e-09,2.8858200845204223e-10,2.2822101869177165e-09,1.9936281784656743e-09,2.8858200845204223e-10,1.1447521717285012,14.475217172850115,1.1447521717285012,14.475217172850115,3.835385659270983,False,C_tot=0.0001 M<br>lambda_D=5.87167e-09<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,8.158662443397333e-09,0.4675834450592786,0.4915721295774951,-0.023988684518216452,2.3424426297714214e-09,1.9936281784656743e-09,3.488144513057471e-10,2.3424426297714214e-09,1.9936281784656743e-09,3.488144513057471e-10,1.1749646474069202,17.496464740692012,1.1749646474069202,17.496464740692012,3.7400836623106173,False,C_tot=0.0001 M<br>lambda_D=8.15866e-09<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,1.1336424705211914e-08,0.46159606762816263,0.4915721295774951,-0.029976061949332444,2.3748350779742455e-09,1.9936281784656743e-09,3.812068995085712e-10,2.3748350779742455e-09,1.9936281784656743e-09,3.812068995085712e-10,1.1912126361506155,19.121263615061544,1.1912126361506155,19.121263615061544,3.5972599659016815,False,C_tot=0.0001 M<br>lambda_D=1.13364e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,1.5751911050192293e-08,0.4554117559761541,0.4915721295774951,-0.036160373601341,2.3543956459962493e-09,1.993628178465674e-09,3.607674675305754e-10,2.3543956459962493e-09,1.993628178465674e-09,3.607674675305754e-10,1.1809602569964814,18.09602569964814,1.1809602569964814,18.09602569964814,3.426122923298509,False,C_tot=0.0001 M<br>lambda_D=1.57519e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,2.1887209432008604e-08,0.4492975734213675,0.4915721295774951,-0.042274556156127574,2.2707165407754947e-09,1.993628178465674e-09,2.7708836230982085e-10,2.2707165407754947e-09,1.993628178465674e-09,2.7708836230982085e-10,1.1389869812750502,13.89869812750501,1.1389869812750502,13.89869812750501,3.2425122240389275,False,C_tot=0.0001 M<br>lambda_D=2.18872e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,3.0412178890177224e-08,0.4434945442360359,0.49157212957749513,-0.04807758534145923,2.1404746888713854e-09,1.9936281784656747e-09,1.4684651040571072e-10,2.1404746888713854e-09,1.9936281784656747e-09,1.4684651040571072e-10,1.073657922772102,7.365792277210184,1.073657922772102,7.365792277210184,3.059655711817543,False,C_tot=0.0001 M<br>lambda_D=3.04122e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,4.225758554197105e-08,0.4382321999292326,0.49157212957749513,-0.05333992964826251,1.9955967893826023e-09,1.9936281784656743e-09,1.968610916928009e-12,1.9955967893826023e-09,1.9936281784656743e-09,1.968610916928009e-12,1.000987451390481,0.09874513904809878,1.000987451390481,0.09874513904809878,2.8892266876103694,False,C_tot=0.0001 M<br>lambda_D=4.22576e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
lambda_D,5.8716724713656274e-08,0.43368481035664985,0.49157212957749513,-0.05788731922084528,1.8620943750931557e-09,1.993628178465674e-09,-1.3153380337251817e-10,1.8620943750931557e-09,1.993628178465674e-09,-1.3153380337251817e-10,0.9340229011641736,-6.597709883582632,0.9340229011641736,-6.597709883582632,2.7397839799264343,False,C_tot=0.0001 M<br>lambda_D=5.87167e-08<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
