param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_Au,1.1000000000000008e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.5111967338152584,0.5595336238452788,-0.048336890030020396,1.3941801439850431e-09,7.48784433227821e-10,6.453957107572221e-10,1.3941801439850431e-09,7.48784433227821e-10,6.453957107572221e-10,1.8619245835214333,86.19245835214332,1.8619245835214333,86.19245835214332,4.735012402337668,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.5284450438104508e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.5079474643089831,0.5498248389494304,-0.041877374640447274,1.4627355969978267e-09,8.612161070998848e-10,6.015194898979418e-10,1.4627355969978267e-09,8.612161070998848e-10,6.015194898979418e-10,1.6984535994380525,69.84535994380525,1.6984535994380525,69.84535994380525,4.635477121267684,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.52845e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.1237675017715806e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.5049643014179004,0.5401160540710273,-0.035151752653126866,1.5286879681211058e-09,9.905296510812562e-10,5.381583170398497e-10,1.5286879681211058e-09,9.905296510812562e-10,5.381583170398497e-10,1.5433035916213103,54.330359162131025,1.5433035916213103,54.330359162131025,4.540258715964873,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.12377e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.9509653748077024e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.5018736686456381,0.5304072691578149,-0.028533600512176793,1.600173448614514e-09,1.1392599150405107e-09,4.609135335740032e-10,1.600173448614514e-09,1.1392599150405107e-09,4.609135335740032e-10,1.404572764729999,40.4572764729999,1.404572764729999,40.4572764729999,4.440328301263953,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.95097e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,4.100353092346435e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.49820156337123345,0.5206984842618655,-0.022496920890632044,1.689494569230123e-09,1.3103223644416861e-09,3.791722047884368e-10,1.689494569230123e-09,1.3103223644416861e-09,3.791722047884368e-10,1.2893732222528294,28.93732222528293,1.2893732222528294,28.93732222528293,4.32303003860371,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=4.10035e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,5.697422147154327e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4936949383030986,0.5109896993661576,-0.017294761063058994,1.80596682236241e-09,1.5070702269929938e-09,2.988965953694163e-10,1.80596682236241e-09,1.5070702269929938e-09,2.988965953694163e-10,1.1983295735101838,19.832957351018376,1.1983295735101838,19.832957351018376,4.177192646163801,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=5.69742e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,7.916542403012688e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.48818819134843516,0.5012809144705006,-0.013092723122065442,1.9592363450866493e-09,1.7333602254882839e-09,2.2587611959836549e-10,1.9592363450866493e-09,1.7333602254882839e-09,2.2587611959836549e-10,1.1303111241835129,13.03111241835128,1.1303111241835129,13.03111241835128,4.000271249733645,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=7.91654e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.1000000000000008e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4817902796224989,0.4915721295774951,-0.009781849954996202,2.1538389420182768e-09,1.9936281784656755e-09,1.6021076355260123e-10,2.1538389420182768e-09,1.9936281784656755e-09,1.6021076355260123e-10,1.080361406045084,8.036140604508395,1.080361406045084,8.036140604508395,3.8083684750190763,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.5284450438104506e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4746050656182571,0.4818633446748299,-0.007258279056572781,2.3957626715561254e-09,2.292975952015498e-09,1.027867195406274e-10,2.3957626715561254e-09,2.292975952015498e-09,1.027867195406274e-10,1.0448267760725005,4.482677607250051,1.0448267760725005,4.482677607250051,3.572865550956573,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.52845e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.123767501771576e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4667574796723853,0.4721545597825999,-0.005397080110214614,2.691173483067158e-09,2.637271470368237e-09,5.390201269892123e-11,2.691173483067158e-09,2.637271470368237e-09,5.390201269892123e-11,1.020438552991056,2.0438552991055943,1.020438552991056,2.0438552991055943,3.336468400707856,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.12377e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
