param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
epsilon_r,58.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.48249061467310383,0.49157212957749513,-0.009081514904391297,2.146689103553464e-09,1.993628178465674e-09,1.530609250877901e-10,2.146689103553464e-09,1.993628178465674e-09,1.530609250877901e-10,1.076775061037504,7.677506103750403,1.076775061037504,7.677506103750403,3.948808954557757,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=58.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,61.357142857142854,7.0,0.1,0.834,8.85e-05,0.0003878,0.4823794866041227,0.49157212957749513,-0.009192642973372411,2.1478611458726744e-09,1.993628178465674e-09,1.5423296740700053e-10,2.1478611458726744e-09,1.993628178465674e-09,1.5423296740700053e-10,1.077362955175373,7.736295517537303,1.077362955175373,7.736295517537303,3.9271546289784816,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=61.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,64.21428571428571,7.0,0.1,0.834,8.85e-05,0.0003878,0.48227246807325674,0.4915721295774951,-0.009299661504238332,2.1489771459790123e-09,1.9936281784656743e-09,1.5534896751333796e-10,2.1489771459790123e-09,1.9936281784656743e-09,1.5534896751333796e-10,1.0779227386487369,7.79227386487368,1.0779227386487369,7.79227386487368,3.9060917320394744,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=64.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,67.07142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.482169283931881,0.49157212957749513,-0.00940284564561411,2.1500409422238418e-09,1.9936281784656743e-09,1.564127637581675e-10,2.1500409422238418e-09,1.9936281784656743e-09,1.564127637581675e-10,1.0784563367671423,7.845633676714234,1.0784563367671423,7.845633676714234,3.885579687558689,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=67.0714<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,69.92857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.4820696865345421,0.4915721295774951,-0.009502443042953002,2.151056007988821e-09,1.9936281784656743e-09,1.574278295231465e-10,2.151056007988821e-09,1.9936281784656743e-09,1.574278295231465e-10,1.0789654917720441,7.896549177204411,1.0789654917720441,7.896549177204411,3.8655822570087572,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=69.9286<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,72.78571428571429,7.0,0.1,0.834,8.85e-05,0.0003878,0.48197345216146315,0.4915721295774951,-0.009598677416031931,2.1520254945456247e-09,1.9936281784656743e-09,1.5839731607995038e-10,2.1520254945456247e-09,1.9936281784656743e-09,1.5839731607995038e-10,1.079451784335159,7.945178433515888,1.079451784335159,7.945178433515888,3.846066943202759,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=72.7857<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,75.64285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.4818803780059154,0.4915721295774951,-0.009691751571579699,2.1529522681212053e-09,1.9936281784656743e-09,1.5932408965553102e-10,2.1529522681212053e-09,1.9936281784656743e-09,1.5932408965553102e-10,1.079916652150327,7.991665215032685,1.079916652150327,7.991665215032685,3.8270044922463917,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=75.6429<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,78.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.48179027962249854,0.4915721295774951,-0.009781849954996535,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,1.0803614060450817,8.036140604508171,1.0803614060450817,8.036140604508171,3.8083684750190656,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,81.35714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.4817029887540654,0.49157212957749513,-0.009869140823429712,2.1546879045161024e-09,1.9936281784656743e-09,1.6105972605042816e-10,2.1546879045161024e-09,1.9936281784656743e-09,1.6105972605042816e-10,1.0807872439756454,8.078724397564551,1.0807872439756454,8.078724397564551,3.7901349334845342,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=81.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,84.21428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.48161835147168863,0.4915721295774951,-0.009953778105806443,2.155501343167446e-09,1.9936281784656743e-09,1.6187316470177152e-10,2.155501343167446e-09,1.9936281784656743e-09,1.6187316470177152e-10,1.0811952632142026,8.11952632142025,1.0811952632142026,8.11952632142025,3.772282080203828,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=84.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
