param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
z_O2,0.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.4852291159452624,0.4915721295774951,-0.006343013632232664,2.324430428733427e-09,1.9936281784656743e-09,3.308022502677526e-10,2.324430428733427e-09,1.9936281784656743e-09,3.308022502677526e-10,1.1659297625509804,16.592976255098023,1.1659297625509804,16.592976255098023,3.9167909889274366,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.14285714285714285,7.0,0.1,0.834,8.85e-05,0.0003878,0.4844828577630549,0.4915721295774951,-0.00708927181444019,2.2862778594085887e-09,1.9936281784656743e-09,2.926496809429144e-10,2.2862778594085887e-09,1.9936281784656743e-09,2.926496809429144e-10,1.1467925083042023,14.679250830420239,1.1467925083042023,14.679250830420239,3.8932623354686964,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.142857<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.2857142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.48385587346078784,0.4915721295774951,-0.007716256116707232,2.2547162309099953e-09,1.9936281784656743e-09,2.6108805244432096e-10,2.2547162309099953e-09,1.9936281784656743e-09,2.6108805244432096e-10,1.1309612571012404,13.096125710124051,1.1309612571012404,13.096125710124051,3.873494248868333,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.285714<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.42857142857142855,7.0,0.1,0.834,8.85e-05,0.0003878,0.4833219068959294,0.4915721295774951,-0.008250222681565667,2.2281868293746946e-09,1.9936281784656743e-09,2.3455865090902026e-10,2.2281868293746946e-09,1.9936281784656743e-09,2.3455865090902026e-10,1.1176541611132023,11.765416111320219,1.1176541611132023,11.765416111320219,3.8566589034575234,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.428571<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.5714285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.4828614363829697,0.4915721295774951,-0.008710693194525387,2.205564191790488e-09,1.9936281784656743e-09,2.119360133248138e-10,2.205564191790488e-09,1.9936281784656743e-09,2.119360133248138e-10,1.1063066902916285,10.630669029162846,1.1063066902916285,10.630669029162846,3.842140803173052,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.571429<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.7142857142857142,7.0,0.1,0.834,8.85e-05,0.0003878,0.4824597405307914,0.4915721295774951,-0.009112389046703695,2.1860200860723877e-09,1.9936281784656743e-09,1.923919076067134e-10,2.1860200860723877e-09,1.9936281784656743e-09,1.923919076067134e-10,1.0965034050405433,9.650340504054324,1.0965034050405433,9.650340504054324,3.829475799656768,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.714286<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,0.8571428571428571,7.0,0.1,0.834,8.85e-05,0.0003878,0.4821055802743174,0.4915721295774951,-0.009466549303177696,2.1689350152226683e-09,1.9936281784656743e-09,1.7530683675699402e-10,2.1689350152226683e-09,1.9936281784656743e-09,1.7530683675699402e-10,1.0879335668760024,8.79335668760023,1.0879335668760024,8.79335668760023,3.8183095382446854,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=0.857143<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,1.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.48179027962249854,0.4915721295774951,-0.009781849954996535,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,1.0803614060450817,8.036140604508171,1.0803614060450817,8.036140604508171,3.8083684750190656,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,1.1428571428571428,7.0,0.1,0.834,8.85e-05,0.0003878,0.481507072359867,0.4915721295774951,-0.01006505721762807,2.1403706188696494e-09,1.9936281784656743e-09,1.4674244040397512e-10,2.1403706188696494e-09,1.9936281784656743e-09,1.4674244040397512e-10,1.0736057214625199,7.360572146251979,1.0736057214625199,7.360572146251979,3.799439279067414,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1.14286<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_O2,1.2857142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.4812506305422535,0.4915721295774951,-0.0103214990352416,2.128249114900031e-09,1.9936281784656743e-09,1.3462093643435664e-10,2.128249114900031e-09,1.9936281784656743e-09,1.3462093643435664e-10,1.0675255987492929,6.752559874929281,1.0675255987492929,6.752559874929281,3.7913539665002407,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1.28571<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
