param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params,value_M
C_tot,0.1,7.0,0.1,0.834,8.85e-05,0.0003878,0.4595372138191776,0.49157212957749513,-0.03203491575831752,4.276426894341604e-10,1.993628178465674e-09,-1.5659854890315134e-09,4.276426894341604e-10,1.993628178465674e-09,-1.5659854890315134e-09,0.21450473767043193,-78.54952623295681,0.21450473767043193,-78.54952623295681,3.2344247240048585,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0001
C_tot,0.22758459260747887,7.0,0.1,0.834,8.85e-05,0.0003878,0.4602133265960065,0.4915721295774951,-0.031358802981488576,4.375807328085823e-10,1.9936281784656743e-09,-1.556047445657092e-09,4.375807328085823e-10,1.9936281784656743e-09,-1.556047445657092e-09,0.21948964081424197,-78.05103591857579,0.21948964081424197,-78.05103591857579,3.1764503621471007,False,C_tot=0.000227585 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.00022758459260747887
C_tot,0.5179474679231212,7.0,0.1,0.834,8.85e-05,0.0003878,0.46119402913430846,0.4915721295774951,-0.030378100443186618,4.541632740251232e-10,1.9936281784656743e-09,-1.539464904440551e-09,4.541632740251232e-10,1.9936281784656743e-09,-1.539464904440551e-09,0.22780741109641317,-77.21925889035869,0.22780741109641317,-77.21925889035869,3.085997186291369,False,C_tot=0.000517947 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0005179474679231212
C_tot,1.1787686347935873,7.0,0.1,0.834,8.85e-05,0.0003878,0.4625740870469873,0.4915721295774951,-0.02899804253050775,4.809815328344818e-10,1.9936281784656743e-09,-1.5126466456311926e-09,4.809815328344818e-10,1.9936281784656743e-09,-1.5126466456311926e-09,0.2412593973288702,-75.87406026711298,0.2412593973288702,-75.87406026711298,2.9535891734452253,False,C_tot=0.00117877 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0011787686347935872
C_tot,2.682695795279726,7.0,0.1,0.834,8.85e-05,0.0003878,0.46443516782078104,0.4915721295774951,-0.02713696175671404,5.226144409973078e-10,1.9936281784656743e-09,-1.4710137374683666e-09,5.226144409973078e-10,1.9936281784656743e-09,-1.4710137374683666e-09,0.2621423827383497,-73.78576172616503,0.2621423827383497,-73.78576172616503,2.7714415431042063,False,C_tot=0.0026827 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.002682695795279726
C_tot,6.105402296585329,7.0,0.1,0.834,8.85e-05,0.0003878,0.4668160991738862,0.4915721295774951,-0.024756030403608853,5.844152749415983e-10,1.9936281784656743e-09,-1.409212903524076e-09,5.844152749415983e-10,1.9936281784656743e-09,-1.409212903524076e-09,0.29314156032413874,-70.68584396758612,0.29314156032413874,-70.68584396758612,2.5346020944461056,False,C_tot=0.0061054 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0061054022965853294
C_tot,13.894954943731374,7.0,0.1,0.834,8.85e-05,0.0003878,0.4696830391189598,0.4915721295774951,-0.021889090458535265,6.717734189021544e-10,1.9936281784656743e-09,-1.32185475956352e-09,6.717734189021544e-10,1.9936281784656743e-09,-1.32185475956352e-09,0.3369602346908846,-66.30397653091154,0.3369602346908846,-66.30397653091154,2.244475701963566,False,C_tot=0.013895 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.013894954943731374
C_tot,31.622776601683793,7.0,0.1,0.834,8.85e-05,0.0003878,0.4729088544022656,0.4915721295774951,-0.018663275175229477,7.884026500399144e-10,1.9936281784656743e-09,-1.20522552842576e-09,7.884026500399144e-10,1.9936281784656743e-09,-1.20522552842576e-09,0.3954612292080867,-60.45387707919134,0.3954612292080867,-60.45387707919134,1.913724609820454,False,C_tot=0.0316228 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.03162277660168379
C_tot,71.96856730011521,7.0,0.1,0.834,8.85e-05,0.0003878,0.47627747801251996,0.4915721295774951,-0.015294651564975115,9.33619169155611e-10,1.9936281784656743e-09,-1.0600090093100632e-09,9.33619169155611e-10,1.9936281784656743e-09,-1.0600090093100632e-09,0.468301551533114,-53.169844846688605,0.468301551533114,-53.169844846688605,1.5662882184282845,False,C_tot=0.0719686 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.07196856730011521
C_tot,163.78937069540646,7.0,0.1,0.834,8.85e-05,0.0003878,0.47952956624376186,0.49157212957749513,-0.01204256333373327,1.099912115973296e-09,1.9936281784656743e-09,-8.937160624923782e-10,1.099912115973296e-09,1.9936281784656743e-09,-8.937160624923782e-10,0.5517137688231336,-44.82862311768663,0.5517137688231336,-44.82862311768663,1.2309583811372686,False,C_tot=0.163789 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.16378937069540647
