param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
T,268.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.4646739637923085,0.48357771245958087,-0.018903748667272346,1.1325225646071635e-09,3.936778609949912e-09,-2.8042560453427485e-09,1.1325225646071635e-09,3.936778609949912e-09,-2.8042560453427485e-09,0.28767748375405156,-71.23225162459484,0.28767748375405156,-71.23225162459484,2.4778505860924103,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=268<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,272.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.46521905458940277,0.4847197720475153,-0.01950071745811255,1.0340708623020412e-09,3.5394888107670806e-09,-2.5054179484650394e-09,1.0340708623020412e-09,3.5394888107670806e-09,-2.5054179484650394e-09,0.2921526010073575,-70.78473989926425,0.2921526010073575,-70.78473989926425,2.460570679929271,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=272.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,276.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.46576386087017096,0.48586183163557317,-0.020097970765402207,9.468771910467516e-10,3.1928015620104144e-09,-2.2459243709636628e-09,9.468771910467516e-10,3.1928015620104144e-09,-2.2459243709636628e-09,0.2965662515056309,-70.34337484943691,0.2965662515056309,-70.34337484943691,2.443775006219836,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=276.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,280.85714285714283,7.0,0.1,0.834,8.85e-05,0.0003878,0.46630839008188574,0.4870038912237359,-0.020695501141850148,8.693999285908809e-10,2.889146712261155e-09,-2.019746783670274e-09,8.693999285908809e-10,2.889146712261155e-09,-2.019746783670274e-09,0.3009192731200749,-69.90807268799252,0.3009192731200749,-69.90807268799252,2.4274432830206116,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=280.857<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,285.14285714285717,7.0,0.1,0.834,8.85e-05,0.0003878,0.46685264930127657,0.488145950811997,-0.021293301510720453,8.003395585901826e-10,2.6222370192732637e-09,-1.8218974606830811e-09,8.003395585901826e-10,2.6222370192732637e-09,-1.8218974606830811e-09,0.30521251614851796,-69.47874838514821,0.30521251614851796,-69.47874838514821,2.4115563573609684,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=285.143<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,289.42857142857144,7.0,0.1,0.834,8.85e-05,0.0003878,0.46739664526022584,0.48928801040036235,-0.02189136514013651,7.38596196596804e-10,2.3868273987240385e-09,-1.6482312021272345e-09,7.38596196596804e-10,2.3868273987240385e-09,-1.6482312021272345e-09,0.3094468401827657,-69.05531598172344,0.3094468401827657,-69.05531598172344,2.39609612712116,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=289.429<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,293.7142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.46794038436926405,0.49043006998885014,-0.022489685619586086,6.832352921996605e-10,2.17852341724218e-09,-1.4952881250425193e-09,6.832352921996605e-10,2.17852341724218e-09,-1.4952881250425193e-09,0.3136231113203165,-68.63768886796834,0.3136231113203165,-68.63768886796834,2.3810454693501946,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=293.714<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,298.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.468483872739088,0.4915721295774951,-0.023088256838407095,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,0.3177421996856818,-68.22578003143182,0.3177421996856818,-68.22578003143182,2.366391032014395,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,302.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.4690271162002929,0.49271418916635473,-0.023687072966061817,5.885875153841814e-10,1.829019303711161e-09,-1.2404317883269796e-09,5.885875153841814e-10,1.829019303711161e-09,-1.2404317883269796e-09,0.3218049772300988,-67.81950227699011,0.3218049772300988,-67.81950227699011,2.3521167544341317,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=302.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,306.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.46957012032149603,0.4938562487555206,-0.024286128434024556,5.480324836046099e-10,1.6820496250730186e-09,-1.1340171414684088e-09,5.480324836046099e-10,1.6820496250730186e-09,-1.1340171414684088e-09,0.32581231578159864,-67.41876842184014,0.32581231578159864,-67.41876842184014,2.33820585729422,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=306.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
