param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
alpha2,0.16999999999999998,7.0,0.1,0.834,8.85e-05,0.0003878,0.41513824823287226,0.389354854796386,0.02578339343648628,9.500187222142966e-11,2.724265266458997e-10,-1.7742465442447006e-10,9.500187222142966e-11,2.724265266458997e-10,-1.7742465442447006e-10,0.34872474935200853,-65.12752506479914,0.34872474935200853,-65.12752506479914,3.203319973166714,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.17<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.19857142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.42307005149207094,0.4075407503104021,0.015529301181668842,1.2595719094175287e-10,3.8818381144574344e-10,-2.6222662050399057e-10,1.2595719094175287e-10,3.8818381144574344e-10,-2.6222662050399057e-10,0.32447821683403183,-67.55217831659681,0.32447821683403183,-67.55217831659681,2.943856324511156,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.198571<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.22714285714285715,7.0,0.1,0.834,8.85e-05,0.0003878,0.430894723062882,0.42429749884315093,0.006597224219731079,1.6636739885252307e-10,5.379475619202543e-10,-3.715801630677312e-10,1.6636739885252307e-10,5.379475619202543e-10,-3.715801630677312e-10,0.30926322680719853,-69.07367731928014,0.30926322680719853,-69.07367731928014,2.6878971473921887,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.227143<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.2557142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.43861439411947284,0.4397871964300044,-0.0011728023105315732,2.1892752695640902e-10,7.273236683086272e-10,-5.083961413522182e-10,2.1892752695640902e-10,7.273236683086272e-10,-5.083961413522182e-10,0.3010042660450188,-69.89957339549812,0.3010042660450188,-69.89957339549812,2.4353727272433545,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.255714<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.2842857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.44623114267667624,0.4541483185988193,-0.007917175922143083,2.8704569199478657e-10,9.619926665185184e-10,-6.749469745237318e-10,2.8704569199478657e-10,9.619926665185184e-10,-6.749469745237318e-10,0.29838656986192413,-70.1613430138076,0.29838656986192413,-70.1613430138076,2.186215088436315,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.284286<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.31285714285714283,7.0,0.1,0.834,8.85e-05,0.0003878,0.4537469953639139,0.4674998715485594,-0.01375287618464549,3.7501710456031296e-10,1.2476088176849433e-09,-8.725917131246303e-10,3.7501710456031296e-10,1.2476088176849433e-09,-8.725917131246303e-10,0.3005886935427347,-69.94113064572653,0.3005886935427347,-69.94113064572653,2.0093415555558334,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.312857<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.3414285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.46116392914204946,0.4799446976413426,-0.018780768499293166,4.882369232357432e-10,1.589708234728635e-09,-1.1014713114928916e-09,4.882369232357432e-10,1.589708234728635e-09,-1.1014713114928916e-09,0.3071236045519295,-69.28763954480704,0.3071236045519295,-69.28763954480704,2.1890379024353077,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.341429<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.37,7.0,0.1,0.834,8.85e-05,0.0003878,0.468483872739088,0.4915721295774951,-0.023088256838407095,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,0.3177421996856818,-68.22578003143182,0.3177421996856818,-68.22578003143182,2.366391032014395,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.3985714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.47570870837870566,0.5024601381728965,-0.026751429794190817,8.191154145553513e-10,2.464438643712629e-09,-1.6453232291572775e-09,8.191154145553513e-10,2.464438643712629e-09,-1.6453232291572775e-09,0.33237403440540514,-66.76259655945948,0.33237403440540514,-66.76259655945948,2.5414458306894474,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.398571<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.42714285714285716,7.0,0.1,0.834,8.85e-05,0.0003878,0.48284027296048054,0.5126770830680629,-0.02983681010758238,1.0556908353220117e-09,3.00688655729856e-09,-1.9511957219765485e-09,1.0556908353220117e-09,3.00688655729856e-09,-1.9511957219765485e-09,0.3510910089905297,-64.89089910094702,0.3510910089905297,-64.89089910094702,2.714240709960473,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.427143<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha2,0.45571428571428574,7.0,0.1,0.834,8.85e-05,0.0003878,0.4898803595053804,0.5222831493208328,-0.03240278981545236,1.3561926244714385e-09,3.6253522907750965e-09,-2.269159666303658e-09,1.3561926244714385e-09,3.6253522907750965e-09,-2.269159666303658e-09,0.3740857482795102,-62.59142517204897,0.3740857482795102,-62.59142517204897,2.884819113988719,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.455714<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
