param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
E1_eq,-0.19999999999999998,7.0,-0.19999999999999998,0.834,8.85e-05,0.0003878,0.36317717882830186,0.3191583364800724,0.04401884234822945,1.4268685235159677e-08,2.3909468101594666e-08,-9.64078286643499e-09,1.4268685235159677e-08,2.3909468101594666e-08,-9.64078286643499e-09,0.5967797014358514,-40.322029856414865,0.5967797014358514,-40.322029856414865,2.9212388006787338,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.2<br>E2_eq=0.834<br>E1_eq_eff=-0.2<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,-0.15714285714285714,7.0,-0.15714285714285714,0.834,8.85e-05,0.0003878,0.37742534455274535,0.3437888783458759,0.03363646620686944,9.36099036850226e-09,1.6766316669502274e-08,-7.405326301000014e-09,9.36099036850226e-09,1.6766316669502274e-08,-7.405326301000014e-09,0.5583212194440886,-44.16787805559114,0.5583212194440886,-44.16787805559114,2.643267510315912,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.157143<br>E2_eq=0.834<br>E1_eq_eff=-0.157143<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,-0.11428571428571427,7.0,-0.11428571428571427,0.834,8.85e-05,0.0003878,0.39167345149139243,0.36841942021573443,0.023254031275658005,6.14145624264317e-09,1.1757240834039177e-08,-5.615784591396007e-09,6.14145624264317e-09,1.1757240834039177e-08,-5.615784591396007e-09,0.5223552302222667,-47.76447697777333,0.5223552302222667,-47.76447697777333,2.3652973668209745,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.114286<br>E2_eq=0.834<br>E1_eq_eff=-0.114286<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,-0.07142857142857142,7.0,-0.07142857142857142,0.834,8.85e-05,0.0003878,0.4059215167386561,0.39304996207661963,0.012871554662036488,4.0293289690266305e-09,8.244667849849752e-09,-4.215338880823122e-09,4.0293289690266305e-09,8.244667849849752e-09,-4.215338880823122e-09,0.4887193811088532,-51.12806188911468,0.4887193811088532,-51.12806188911468,2.087328036694429,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0714286<br>E2_eq=0.834<br>E1_eq_eff=-0.0714286<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,-0.028571428571428553,7.0,-0.028571428571428553,0.834,8.85e-05,0.0003878,0.42016955772811226,0.41768050397595397,0.002489053752158299,2.6436622840841676e-09,5.781505113720123e-09,-3.1378428296359557e-09,2.6436622840841676e-09,5.781505113720123e-09,-3.1378428296359557e-09,0.4572619468605982,-54.27380531394018,0.4572619468605982,-54.27380531394018,1.8093591798199622,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=-0.0285714<br>E2_eq=0.834<br>E1_eq_eff=-0.0285714<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,0.014285714285714318,7.0,0.014285714285714318,0.834,8.85e-05,0.0003878,0.43441759217648845,0.4423110458387773,-0.00789345366228883,1.7345674708457707e-09,4.054232622217482e-09,-2.3196651513717114e-09,1.7345674708457707e-09,4.054232622217482e-09,-2.3196651513717114e-09,0.4278411311033851,-57.215886889661476,0.4278411311033851,-57.215886889661476,1.538896146206378,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0142857<br>E2_eq=0.834<br>E1_eq_eff=0.0142857<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,0.057142857142857134,7.0,0.057142857142857134,0.834,8.85e-05,0.0003878,0.44866563815820804,0.4669415877069956,-0.018275949548787584,1.1381211343964884e-09,2.842997080080906e-09,-1.7048759456844178e-09,1.1381211343964884e-09,2.842997080080906e-09,-1.7048759456844178e-09,0.40032441199837593,-59.96755880016241,0.40032441199837593,-59.96755880016241,1.8843391632326547,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.0571429<br>E2_eq=0.834<br>E1_eq_eff=0.0571429<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,0.1,7.0,0.1,0.834,8.85e-05,0.0003878,0.46291371413215676,0.4915721295774951,-0.028658415445338314,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,0.3745879339734494,-62.54120660265506,0.3745879339734494,-62.54120660265506,2.229786088025575,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,0.14285714285714288,7.0,0.14285714285714288,0.834,8.85e-05,0.0003878,0.47716183884294205,0.5162026714492048,-0.03904083260626279,4.900266295859843e-10,1.3980152642129757e-09,-9.079886346269914e-10,4.900266295859843e-10,1.3980152642129757e-09,-9.079886346269914e-10,0.35051593650649365,-64.94840634935063,0.35051593650649365,-64.94840634935063,2.575241649393563,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.142857<br>E2_eq=0.834<br>E1_eq_eff=0.142857<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
E1_eq,0.18571428571428575,7.0,0.18571428571428575,0.834,8.85e-05,0.0003878,0.4914100314944625,0.5408332133221935,-0.04942318182773098,3.2155391638442966e-10,9.803466364150823e-10,-6.587927200306527e-10,3.2155391638442966e-10,9.803466364150823e-10,-6.587927200306527e-10,0.32800022404349083,-67.19997759565092,0.32800022404349083,-67.19997759565092,2.9207024668863895,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.185714<br>E2_eq=0.834<br>E1_eq_eff=0.185714<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
