param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
pzc_Au,0.313,7.0,0.1,0.834,8.85e-05,0.0003878,0.4314566601888934,0.4915721295774951,-0.06011546938860168,1.892459694648978e-09,1.9936281784656743e-09,-1.0116848381669636e-10,1.892459694648978e-09,1.9936281784656743e-09,-1.0116848381669636e-10,0.9492540861382903,-5.074591386170972,0.9492540861382903,-5.074591386170972,2.3107472353526406,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.313<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.3415714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.4359762737348913,0.4915721295774951,-0.05559585584260379,1.6557756708570865e-09,1.9936281784656743e-09,-3.378525076085878e-10,1.6557756708570865e-09,1.9936281784656743e-09,-3.378525076085878e-10,0.8305338421387061,-16.946615786129392,0.8305338421387061,-16.946615786129392,1.8417925461310949,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.341571<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.37014285714285716,7.0,0.1,0.834,8.85e-05,0.0003878,0.4404880878632966,0.4915721295774951,-0.0510840417141985,1.4490322692787797e-09,1.9936281784656743e-09,-5.445959091868946e-10,1.4490322692787797e-09,1.9936281784656743e-09,-5.445959091868946e-10,0.7268317557559687,-27.316824424403134,0.7268317557559687,-27.316824424403134,1.6849119695664587,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.370143<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.39871428571428574,7.0,0.1,0.834,8.85e-05,0.0003878,0.44499165902715965,0.4915721295774951,-0.04658047055033543,1.2684169108985257e-09,1.9936281784656743e-09,-7.252112675671486e-10,1.2684169108985257e-09,1.9936281784656743e-09,-7.252112675671486e-10,0.6362354448033124,-36.37645551966876,0.6362354448033124,-36.37645551966876,1.794270169913819,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.398714<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.4272857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.449486517727438,0.4915721295774951,-0.0420856118500571,1.110604511090749e-09,1.9936281784656743e-09,-8.830236673749253e-10,1.110604511090749e-09,1.9936281784656743e-09,-8.830236673749253e-10,0.5570770533277106,-44.29229466722894,0.5570770533277106,-44.29229466722894,1.903482889343655,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.427286<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.45585714285714285,7.0,0.1,0.834,8.85e-05,0.0003878,0.4539721675102641,0.4915721295774951,-0.037599962067230985,9.7269496673722e-10,1.9936281784656743e-09,-1.0209332117284542e-09,9.7269496673722e-10,1.9936281784656743e-09,-1.0209332117284542e-09,0.4879018952700701,-51.20981047299299,0.4879018952700701,-51.20981047299299,2.0124898819834485,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.455857<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.48442857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.4584480840221786,0.4915721295774951,-0.03312404555531645,8.521586765596797e-10,1.9936281784656743e-09,-1.1414695019059946e-09,8.521586765596797e-10,1.9936281784656743e-09,-1.1414695019059946e-09,0.42744112757049496,-57.25588724295051,0.42744112757049496,-57.25588724295051,2.121260882325261,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.484429<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.513,7.0,0.1,0.834,8.85e-05,0.0003878,0.46291371413215676,0.4915721295774951,-0.028658415445338314,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,0.3745879339734494,-62.54120660265506,0.3745879339734494,-62.54120660265506,2.229786088025575,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.5415714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.4673684751829541,0.4915721295774951,-0.024203654394540974,6.546611782907831e-10,1.9936281784656743e-09,-1.338967000174891e-09,6.546611782907831e-10,1.9936281784656743e-09,-1.338967000174891e-09,0.32837676822697204,-67.1623231773028,0.32837676822697204,-67.1623231773028,2.3380529048424474,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.541571<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Au,0.5701428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.47181175439113165,0.4915721295774951,-0.01976037518636342,5.740956622805198e-10,1.9936281784656743e-09,-1.4195325161851545e-09,5.740956622805198e-10,1.9936281784656743e-09,-1.4195325161851545e-09,0.2879652627714925,-71.20347372285076,0.2879652627714925,-71.20347372285076,2.4460445256831242,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.570143<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
