param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_Pd_len,3.7e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4243193335027328,0.42361063530332904,0.0007086981994037789,2.4374127090289266e-10,5.308007401202413e-10,-2.8705946921734865e-10,2.4374127090289266e-10,5.308007401202413e-10,-2.8705946921734865e-10,0.016581038836931475,0.0361088938857307,-0.019527855048799225,0.4591954239696019,-54.08045760303981,0.45919542396960183,-54.08045760303982,0.45919542396960183,-54.08045760303982,1.725928647713559,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-09<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,5.141133329180603e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4297822426351265,0.4333194202080804,-0.003537177572953909,2.8558209757113376e-10,6.41258782395363e-10,-3.5567668482422926e-10,2.8558209757113376e-10,6.41258782395363e-10,-3.5567668482422926e-10,0.01769281572408839,0.0397282377462349,-0.02203542202214651,0.445346099595499,-55.465390040450096,0.445346099595499,-55.4653900404501,0.445346099595499,-55.4653900404501,1.619310156691892,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=5.14113e-09<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,7.143581596868038e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.43526061540093175,0.44302820509540936,-0.007767589694477606,3.347574463287525e-10,7.747028117679912e-10,-4.3994536543923864e-10,3.347574463287525e-10,7.747028117679912e-10,-4.3994536543923864e-10,0.018450461092342357,0.04269845000734151,-0.02424798891499915,0.43211079299529637,-56.788920700470364,0.4321107929952964,-56.78892070047036,0.4321107929952964,-56.78892070047036,1.5515977306756135,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=7.14358e-09<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,9.925974442534991e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4407587960877656,0.4527369899908985,-0.011978193903132928,3.926305156558901e-10,9.359161435804992e-10,-5.432856279246091e-10,3.926305156558901e-10,9.359161435804992e-10,-5.432856279246091e-10,0.01876283069799671,0.044725092547093906,-0.025962261849097196,0.419514631037155,-58.0485368962845,0.419514631037155,-58.048536896284496,0.419514631037155,-58.048536896284496,1.6901444145845925,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=9.92597e-09<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,1.379209676516527e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4462757994740693,0.4624457748867429,-0.016169975412673565,4.6077102301478387e-10,1.130677486275832e-09,-6.699064632610481e-10,4.6077102301478387e-10,1.130677486275832e-09,-6.699064632610481e-10,0.01858539950772543,0.04560636790771636,-0.027020968399990932,0.4075176419515064,-59.24823580484935,0.40751764195150647,-59.24823580484935,0.40751764195150647,-59.24823580484935,1.8249254535532202,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=1.37921e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,1.9164056313155486e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.45180924758007035,0.4721545597825999,-0.020345312202529553,5.410105322792786e-10,1.3659680803031143e-09,-8.249575480238357e-10,5.410105322792786e-10,1.3659680803031143e-09,-8.249575480238357e-10,0.017935602780429997,0.04528462837099839,-0.027349025590568395,0.39606381736184204,-60.393618263815796,0.396063817361842,-60.3936182638158,0.396063817361842,-60.3936182638158,1.9594458160701276,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=1.91641e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,2.66283699010426e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4573564575324187,0.4818633446748298,-0.02450688714241106,6.354948551336957e-10,1.6502219412017274e-09,-1.0147270860680316e-09,6.354948551336957e-10,1.6502219412017274e-09,-1.0147270860680316e-09,0.016888716061975555,0.043855791402646,-0.026967075340670443,0.385096597776972,-61.4903402223028,0.3850965977769721,-61.490340222302784,0.3850965977769721,-61.490340222302784,2.0940680441030484,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=2.66284e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,3.7e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.46291371413215676,0.4915721295774951,-0.028658415445338314,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,0.015558105426723087,0.04153392038470155,-0.025975814957978464,0.37458793397344936,-62.54120660265506,0.3745879339734494,-62.54120660265506,0.3745879339734494,-62.54120660265506,2.229786088025575,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,5.141133329180603e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4684791633740471,0.5012809144705006,-0.0328017510964535,8.778419362578116e-10,2.408496223441571e-09,-1.5306542871837596e-09,8.778419362578116e-10,2.408496223441571e-09,-1.5306542871837596e-09,0.014065425139268147,0.03859068692188606,-0.024525261782617915,0.36447719025419,-63.552280974581,0.36447719025419,-63.552280974581,0.36447719025419,-63.552280974581,2.3636609590886053,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=5.14113e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Pd_len,7.143581596868023e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.47405058464357,0.5109896993661576,-0.03693911472258754,1.0321832221678215e-09,2.9096970645229398e-09,-1.8775138423551182e-09,1.0321832221678215e-09,2.9096970645229398e-09,-1.8775138423551182e-09,0.012521053016081968,0.03529651560225253,-0.022775462586170567,0.35473906708465314,-64.52609329153469,0.35473906708465314,-64.52609329153469,0.35473906708465314,-64.52609329153469,2.4998524785809018,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=7.14358e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
