param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
z_R1,-2.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.4734016010674305,0.4915721295774951,-0.018170528510064565,5.476566908377113e-10,1.9936281784656743e-09,-1.445971487627963e-09,5.476566908377113e-10,1.9936281784656743e-09,-1.445971487627963e-09,0.01140951439245232,0.04153392038470155,-0.03012440599224923,0.2747035263412037,-72.52964736587964,0.2747035263412037,-72.52964736587963,0.2747035263412037,-72.52964736587963,2.4840719335870247,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-2<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.8571428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.4722712637452351,0.4915721295774951,-0.019300865832259984,5.662709620442902e-10,1.9936281784656743e-09,-1.4273572164213842e-09,5.662709620442902e-10,1.9936281784656743e-09,-1.4273572164213842e-09,0.011797311709256046,0.04153392038470155,-0.029736608675445503,0.2840404084176322,-71.59595915823678,0.2840404084176322,-71.59595915823678,0.2840404084176322,-71.59595915823678,2.4566661478917737,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.85714<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.7142857142857144,7.0,0.1,0.834,8.85e-05,0.0003878,0.4710403672865194,0.4915721295774951,-0.020531762290975697,5.87261688432493e-10,1.9936281784656743e-09,-1.4063664900331814e-09,5.87261688432493e-10,1.9936281784656743e-09,-1.4063664900331814e-09,0.01223461850901027,0.04153392038470155,-0.02929930187569128,0.29456931577103723,-70.54306842289628,0.29456931577103723,-70.54306842289628,0.29456931577103723,-70.54306842289628,2.426822238557625,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.71429<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.5714285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.4696977917536796,0.4915721295774951,-0.021874337823815482,6.110452321238909e-10,1.9936281784656743e-09,-1.3825829463417835e-09,6.110452321238909e-10,1.9936281784656743e-09,-1.3825829463417835e-09,0.01273010900258106,0.04153392038470155,-0.02880381138212049,0.3064990948282845,-69.35009051717155,0.3064990948282845,-69.35009051717155,0.3064990948282845,-69.35009051717155,2.3942705952470877,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.57143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.4285714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.4682305498844108,0.4915721295774951,-0.023341579693084258,6.381403099892427e-10,1.9936281784656743e-09,-1.3554878684764316e-09,6.381403099892427e-10,1.9936281784656743e-09,-1.3554878684764316e-09,0.013294589791442556,0.04153392038470155,-0.028239330593258994,0.32008993295849425,-67.99100670415058,0.32008993295849425,-67.99100670415058,0.32008993295849425,-67.99100670415058,2.3586963330841986,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.42857<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.2857142857142858,7.0,0.1,0.834,8.85e-05,0.0003878,0.46662338523913927,0.4915721295774951,-0.02494874433835581,6.692002473082724e-10,1.9936281784656743e-09,-1.3244279311574019e-09,6.692002473082724e-10,1.9936281784656743e-09,-1.3244279311574019e-09,0.013941671818922342,0.04153392038470155,-0.027592248565779208,0.3356695368457817,-66.43304631542182,0.33566953684578177,-66.43304631542182,0.33566953684578177,-66.43304631542182,2.319729549469775,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.28571<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.1428571428571428,7.0,0.1,0.834,8.85e-05,0.0003878,0.46485826245863054,0.4915721295774951,-0.02671386711886453,7.05057869877009e-10,1.9936281784656743e-09,-1.2885703085886654e-09,7.05057869877009e-10,1.9936281784656743e-09,-1.2885703085886654e-09,0.014688705622437686,0.04153392038470155,-0.026845214762263862,0.3536556502826078,-64.63443497173921,0.3536556502826078,-64.63443497173922,0.3536556502826078,-64.63443497173922,2.2769329650356074,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1.14286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-1.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.46291371413215676,0.4915721295774951,-0.028658415445338314,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,7.467890604827082e-10,1.9936281784656743e-09,-1.246839117982966e-09,0.015558105426723087,0.04153392038470155,-0.025975814957978464,0.37458793397344936,-62.54120660265506,0.3745879339734494,-62.54120660265506,0.3745879339734494,-62.54120660265506,2.229786088025575,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-0.8571428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.46076399451265365,0.4915721295774951,-0.030808135064841424,7.958044369248611e-10,1.9936281784656743e-09,-1.1978237415408133e-09,7.958044369248611e-10,1.9936281784656743e-09,-1.1978237415408133e-09,0.016579259102601274,0.04153392038470155,-0.024954661282100277,0.399173951051055,-60.0826048948945,0.399173951051055,-60.08260489489451,0.399173951051055,-60.08260489489451,2.17766469555262,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-0.857143<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
z_R1,-0.7142857142857144,7.0,0.1,0.834,8.85e-05,0.0003878,0.4583779699654424,0.4915721295774951,-0.03319415961205269,8.539843717452987e-10,1.9936281784656743e-09,-1.1396438067203755e-09,8.539843717452987e-10,1.9936281784656743e-09,-1.1396438067203755e-09,0.017791341078027056,0.04153392038470155,-0.023742579306674495,0.42835689270932037,-57.164310729067964,0.42835689270932037,-57.16431072906796,0.42835689270932037,-57.16431072906796,2.1198140631702227,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.23<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-0.714286<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
