param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
T,268.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.6248193626538016,0.48357771245958087,0.1412416501942207,5.556250154597177e-09,3.936778609949912e-09,1.6194715446472647e-09,5.556250154597177e-09,3.936778609949912e-09,1.6194715446472647e-09,0.11575521155410785,0.08201622104062317,0.03373899051348468,1.411369727663672,41.13697276636721,1.411369727663672,41.1369727663672,1.411369727663672,41.1369727663672,5.976457254647398,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=268<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,272.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.6257870155393579,0.4847197720475153,0.14106724349184258,4.938483182148876e-09,3.5394888107670806e-09,1.3989943713817955e-09,4.938483182148876e-09,3.5394888107670806e-09,1.3989943713817955e-09,0.10288506629476825,0.07373935022431417,0.029145716070454075,1.3952532261512094,39.52532261512093,1.3952532261512092,39.52532261512092,1.3952532261512092,39.52532261512092,5.888524834195003,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=272.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,276.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.6267468412690571,0.48586183163557317,0.14088500963348394,4.405591943856184e-09,3.1928015620104144e-09,1.21279038184577e-09,4.405591943856184e-09,3.1928015620104144e-09,1.21279038184577e-09,0.09178316549700384,0.0665166992085503,0.02526646628845354,1.3798514747287054,37.98514747287054,1.3798514747287054,37.98514747287054,1.3798514747287054,37.98514747287054,5.802927440639866,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=276.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,280.85714285714283,7.0,0.1,0.834,8.85e-05,0.0003878,0.6276990961917125,0.4870038912237359,0.1406952049679766,3.944031684023355e-09,2.889146712261155e-09,1.0548849717622003e-09,3.944031684023355e-09,2.889146712261155e-09,1.0548849717622003e-09,0.08216732675048657,0.06019055650544073,0.021976770245045844,1.3651199045328535,36.51199045328535,1.3651199045328535,36.51199045328534,1.3651199045328535,36.51199045328534,5.719569214080291,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=280.857<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,285.14285714285717,7.0,0.1,0.834,8.85e-05,0.0003878,0.6286440244850504,0.488145950811997,0.1404980736730534,3.5426880900319232e-09,2.6222370192732637e-09,9.204510707586595e-10,3.5426880900319232e-09,2.6222370192732637e-09,9.204510707586595e-10,0.07380600187566506,0.05462993790152633,0.019176063974138735,1.3510174953649905,35.10174953649905,1.3510174953649905,35.10174953649906,1.3510174953649905,35.10174953649906,5.638359596844509,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=285.143<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,289.42857142857144,7.0,0.1,0.834,8.85e-05,0.0003878,0.629581858907762,0.48928801040036235,0.14029384850739962,3.1923970045294613e-09,2.3868273987240385e-09,8.055696058054228e-10,3.1923970045294613e-09,2.3868273987240385e-09,8.055696058054228e-10,0.06650827092769711,0.0497255708067508,0.016782700120946306,1.3375064347912495,33.75064347912496,1.3375064347912498,33.75064347912497,1.3375064347912498,33.75064347912497,5.559212966413053,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=289.429<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,293.7142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.6305128214945921,0.49043006998885014,0.14008275150574195,2.8855671470571184e-09,2.17852341724218e-09,7.070437298149385e-10,2.8855671470571184e-09,2.17852341724218e-09,7.070437298149385e-10,0.060115982230356635,0.04538590452587875,0.014730077704477887,1.3245518153346243,32.45518153346242,1.3245518153346243,32.45518153346242,1.3245518153346243,32.45518153346242,5.4820482987273405,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=293.714<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,298.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,302.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.6323549694743791,0.49271418916635473,0.13964078030802435,2.378063839948768e-09,1.829019303711161e-09,5.490445362376068e-10,2.378063839948768e-09,1.829019303711161e-09,5.490445362376068e-10,0.04954299666559933,0.03810456882731585,0.011438427838283478,1.3001852058770356,30.01852058770355,1.3001852058770353,30.018520587703538,1.3001852058770353,30.018520587703538,5.333361917524005,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=302.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,306.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.6332665509272699,0.4938562487555206,0.13941030217174932,2.167683665437302e-09,1.6820496250730186e-09,4.856340403642834e-10,2.167683665437302e-09,1.6820496250730186e-09,4.856340403642834e-10,0.045160076363277124,0.03504270052235455,0.010117375840922573,1.2887156437748988,28.87156437748987,1.2887156437748986,28.871564377489864,1.2887156437748986,28.871564377489864,5.261698486286646,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=306.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
