param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
alpha1,0.3,7.0,0.1,0.834,8.85e-05,0.0003878,0.5498211130233238,0.4183810773315659,0.13144003569175794,3.016826690133282e-08,5.723436748192007e-09,2.4444830153140814e-08,3.016826690133282e-08,5.723436748192007e-09,2.4444830153140814e-08,0.6285055604444338,0.11923826558733348,0.5092672948571003,5.2710055563840665,427.10055563840666,5.2710055563840665,427.10055563840666,5.2710055563840665,427.10055563840666,6.888099465347603,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.3<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.32857142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.5608139042378991,0.42711581195031506,0.13369809228758406,2.170250548757061e-08,5.04657733366491e-09,1.6655928153905702e-08,2.170250548757061e-08,5.04657733366491e-09,1.6655928153905702e-08,0.4521355309910544,0.10513702778468562,0.3469985032063688,4.300440487218272,330.04404872182727,4.300440487218272,330.04404872182715,4.300440487218272,330.04404872182715,6.68858299811059,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.328571<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.35714285714285715,7.0,0.1,0.834,8.85e-05,0.0003878,0.572017370462207,0.4363433383790755,0.1356740320831315,1.551425981703688e-08,4.4182796502618515e-09,1.1095980166775028e-08,1.551425981703688e-08,4.4182796502618515e-09,1.1095980166775028e-08,0.3232137461882683,0.09204749271378858,0.23116625347447972,3.511380230564948,251.13802305649477,3.5113802305649484,251.13802305649483,3.5113802305649484,251.13802305649483,6.485242831063719,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.357143<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.3857142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.5834381152848318,0.44610657023925065,0.13733154504558115,1.1018645872365602e-08,3.838461129635778e-09,7.180184742729824e-09,1.1018645872365602e-08,3.838461129635778e-09,7.180184742729824e-09,0.22955512234095005,0.07996794020074537,0.14958718214020467,2.8705894107650205,187.05894107650204,2.8705894107650205,187.05894107650207,2.8705894107650205,187.05894107650207,6.277959110692109,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.385714<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.41428571428571426,7.0,0.1,0.834,8.85e-05,0.0003878,0.5950830512059485,0.45645355293096807,0.13862949827498044,7.77341183333428e-09,3.306801425854756e-09,4.466610407479524e-09,7.77341183333428e-09,3.306801425854756e-09,4.466610407479524e-09,0.16194607986113085,0.06889169637197409,0.09305438348915676,2.350734390204569,135.0734390204569,2.350734390204569,135.0734390204569,2.350734390204569,135.0734390204569,6.066606376811192,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.414286<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.44285714285714284,7.0,0.1,0.834,8.85e-05,0.0003878,0.6069594165307239,0.46743825409977013,0.1395211624309538,5.446123727561184e-09,2.8227238311415083e-09,2.623399896419676e-09,5.446123727561184e-09,2.8227238311415083e-09,2.623399896419676e-09,0.113460910990858,0.05880674648211476,0.05465416450874325,1.9293859595746474,92.93859595746474,1.9293859595746474,92.93859595746476,1.9293859595746474,92.93859595746476,5.851053255955627,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.442857<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.4714285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.6190747930030346,0.4791215054126171,0.13995328759041747,3.7884132595849164e-09,2.385378484085421e-09,1.4030347754994952e-09,3.7884132595849164e-09,2.385378484085421e-09,1.4030347754994952e-09,0.07892527624135243,0.04969538508511294,0.029229891156239488,1.588181198438802,58.81811984388019,1.5881811984388017,58.818119843880176,1.5881811984388017,58.818119843880176,5.631162141331629,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.471429<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.5285714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.6440547347318956,0.5048682969622256,0.13918643776967,1.7925117114226773e-09,1.6460378392182102e-09,1.4647387220446703e-10,1.7925117114226773e-09,1.6460378392182102e-09,1.4647387220446703e-10,0.037343993987972446,0.034292454983712715,0.0030515390042597304,1.0889857260353353,8.898572603533536,1.0889857260353353,8.898572603533536,1.0889857260353353,8.898572603533536,5.177782319205955,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.528571<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
alpha1,0.5571428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.6569363502037125,0.5190991685604578,0.13783718164325476,1.2186407179786154e-09,1.34086885203431e-09,-1.2222813405569471e-10,1.2186407179786154e-09,1.34086885203431e-09,-1.2222813405569471e-10,0.025388348291221153,0.027934767750714795,-0.002546419459493642,0.9088440798141777,-9.115592018582236,0.9088440798141777,-9.115592018582229,0.9088440798141777,-9.115592018582229,4.9439841544746095,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.557143<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
