param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
epsilon_r,58.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.6373548254011328,0.49157212957749513,0.14578269582363762,2.472943736057555e-09,1.993628178465674e-09,4.793155575918812e-10,2.472943736057555e-09,1.993628178465674e-09,4.793155575918812e-10,0.05151966116786573,0.041533920384701536,0.009985740783164193,1.2404237474014688,24.04237474014687,1.2404237474014685,24.042374740146865,1.2404237474014685,24.042374740146865,5.729814524468095,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=58.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,61.357142857142854,7.0,0.1,0.834,8.85e-05,0.0003878,0.636421135653613,0.49157212957749513,0.1448490060761179,2.496245079940538e-09,1.993628178465674e-09,5.026169014748642e-10,2.496245079940538e-09,1.993628178465674e-09,5.026169014748642e-10,0.05200510583209454,0.041533920384701536,0.010471185447393005,1.2521116559767358,25.211165597673574,1.2521116559767356,25.21116559767357,1.2521116559767356,25.21116559767357,5.678432262477127,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=61.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,64.21428571428571,7.0,0.1,0.834,8.85e-05,0.0003878,0.6355204539187547,0.4915721295774951,0.1439483243412596,2.5184690051729406e-09,1.9936281784656743e-09,5.248408267072663e-10,2.5184690051729406e-09,1.9936281784656743e-09,5.248408267072663e-10,0.05246810427443626,0.04153392038470155,0.01093418388973471,1.263259133461482,26.32591334614819,1.263259133461482,26.32591334614821,1.263259133461482,26.32591334614821,5.629029915237638,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=64.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,67.07142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.6346503976444366,0.49157212957749513,0.14307826806694152,2.5396930931615313e-09,1.9936281784656743e-09,5.46064914695857e-10,2.5396930931615313e-09,1.9936281784656743e-09,5.46064914695857e-10,0.05291027277419857,0.04153392038470155,0.011376352389497017,1.2739050945377972,27.390509453779714,1.2739050945377972,27.390509453779725,1.2739050945377972,27.390509453779725,5.581449588776019,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=67.0714<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,69.92857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.6338088439353462,0.4915721295774951,0.14223671435785112,2.559986850552635e-09,1.9936281784656743e-09,5.663586720869607e-10,2.559986850552635e-09,1.9936281784656743e-09,5.663586720869607e-10,0.05333305938651323,0.04153392038470155,0.011799139001811683,1.2840844036037045,28.408440360370445,1.2840844036037045,28.408440360370445,1.2840844036037045,28.408440360370445,5.535552082324962,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=69.9286<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,72.78571428571429,7.0,0.1,0.834,8.85e-05,0.0003878,0.6329938921850223,0.4915721295774951,0.14142176260752726,2.5794128201304195e-09,1.9936281784656743e-09,5.857846416647452e-10,2.5794128201304195e-09,1.9936281784656743e-09,5.857846416647452e-10,0.05373776708605041,0.04153392038470155,0.012203846701348858,1.2938284319975721,29.382843199757225,1.2938284319975724,29.382843199757225,1.2938284319975724,29.382843199757225,5.49121405432445,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=72.7857<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,75.64285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.6322038333070977,0.4915721295774951,0.14063170372960265,2.598027502509088e-09,1.9936281784656743e-09,6.043993240434139e-10,2.598027502509088e-09,1.9936281784656743e-09,6.043993240434139e-10,0.054125572968939335,0.04153392038470155,0.012591652584237785,1.3031655203171177,30.316552031711765,1.3031655203171177,30.31655203171178,1.3031655203171177,30.31655203171178,5.448325703854319,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=75.6429<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,78.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,81.35714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.6306923663892752,0.49157212957749513,0.13912023681178004,2.6330232982412042e-09,1.9936281784656743e-09,6.393951197755299e-10,2.6330232982412042e-09,1.9936281784656743e-09,6.393951197755299e-10,0.05485465204669175,0.04153392038470155,0.013320731661990201,1.3207193430961723,32.071934309617234,1.3207193430961726,32.07193430961725,1.3207193430961726,32.07193430961725,5.366515389377671,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=81.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,84.21428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.6299682880874341,0.4915721295774951,0.13839615850993903,2.649493550597588e-09,1.9936281784656743e-09,6.558653721319137e-10,2.649493550597588e-09,1.9936281784656743e-09,6.558653721319137e-10,0.05519778230411641,0.04153392038470155,0.013663861919414863,1.3289807895054317,32.89807895054318,1.328980789505432,32.898078950543194,1.328980789505432,32.898078950543194,5.3274258790969515,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=84.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
