param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_gap,0.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.6356633690345604,0.49157212957749513,0.1440912394570653,2.4200945592848227e-09,1.9936281784656743e-09,4.2646638081914836e-10,2.4200945592848227e-09,1.9936281784656743e-09,4.2646638081914836e-10,0.050418636651767136,0.04153392038470155,0.008884716267065586,1.2139147035669224,21.391470356692235,1.2139147035669224,21.39147035669225,1.2139147035669224,21.39147035669225,5.343740227947764,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=0<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,7.142857142857142e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.631166527841662,0.49157212957749513,0.13959439826416692,2.635488771393698e-09,1.9936281784656743e-09,6.418605929280238e-10,2.635488771393698e-09,1.9936281784656743e-09,6.418605929280238e-10,0.05490601607070204,0.04153392038470155,0.013372095686000493,1.3219560196134512,32.19560196134512,1.3219560196134512,32.195601961345126,1.3219560196134512,32.195601961345126,5.420399960008641,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=7.14286e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,1.4285714285714285e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6308619526919883,0.49157212957749513,0.13928982311449317,2.658905048631977e-09,1.9936281784656743e-09,6.652768701663025e-10,2.658905048631977e-09,1.9936281784656743e-09,6.652768701663025e-10,0.05539385517983285,0.04153392038470155,0.013859934795131298,1.3337015785352258,33.37015785352258,1.333701578535226,33.370157853522585,1.333701578535226,33.370157853522585,5.448191746012318,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1.42857e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,2.1428571428571428e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.630436971241154,0.4915721295774951,0.13886484166365898,2.691708039829366e-09,1.9936281784656743e-09,6.980798613636915e-10,2.691708039829366e-09,1.9936281784656743e-09,6.980798613636915e-10,0.056077250829778456,0.04153392038470155,0.014543330445076906,1.3501554948430474,35.01554948430474,1.3501554948430474,35.01554948430475,1.3501554948430474,35.01554948430475,5.485765397479044,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=2.14286e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,2.857142857142857e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6301405816000587,0.4915721295774951,0.13856845202256363,2.7169708157973413e-09,1.9936281784656743e-09,7.23342637331667e-10,2.7169708157973413e-09,1.9936281784656743e-09,7.23342637331667e-10,0.05660355866244461,0.04153392038470155,0.015069638277743061,1.3628272539207196,36.28272539207196,1.3628272539207196,36.28272539207197,1.3628272539207196,36.28272539207197,5.529596026249624,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=2.85714e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,3.571428571428571e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6291583945697395,0.4915721295774951,0.13758626499224447,2.791848625379759e-09,1.9936281784656743e-09,7.982204469140847e-10,2.791848625379759e-09,1.9936281784656743e-09,7.982204469140847e-10,0.05816351302874498,0.04153392038470155,0.01662959264404343,1.4003858169422578,40.03858169422578,1.400385816942258,40.0385816942258,1.400385816942258,40.0385816942258,5.768378052015944,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=3.57143e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,4.2857142857142857e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6289586245934898,0.4915721295774951,0.13738649501599476,2.8058830024278416e-09,1.9936281784656743e-09,8.122548239621673e-10,2.8058830024278416e-09,1.9936281784656743e-09,8.122548239621673e-10,0.05845589588391337,0.04153392038470155,0.016921975499211817,1.4074254330550697,40.74254330550697,1.4074254330550697,40.742543305506985,1.4074254330550697,40.742543305506985,5.815935504461892,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=4.28571e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,5e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6289734954728008,0.4915721295774951,0.13740136589530572,2.8005520472018064e-09,1.9936281784656743e-09,8.069238687361321e-10,2.8005520472018064e-09,1.9936281784656743e-09,8.069238687361321e-10,0.0583448343167043,0.04153392038470155,0.01681091393200275,1.404751436327085,40.4751436327085,1.4047514363270852,40.475143632708516,1.4047514363270852,40.475143632708516,5.65197292015581,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=5e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,5.714285714285714e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.6282345712267725,0.4915721295774951,0.13666244164927743,2.8668929699594074e-09,1.9936281784656743e-09,8.732647914937331e-10,2.8668929699594074e-09,1.9936281784656743e-09,8.732647914937331e-10,0.05972693687415432,0.04153392038470155,0.01819301648945277,1.4380279135931007,43.802791359310056,1.4380279135931007,43.80279135931007,1.4380279135931007,43.80279135931007,5.694913934063402,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=5.71429e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_gap,6.428571428571428e-07,7.0,0.1,0.834,8.85e-05,0.0003878,0.626868767942579,0.4915721295774951,0.13529663836508388,2.9700414101420787e-09,1.9936281784656743e-09,9.764132316764044e-10,2.9700414101420787e-09,1.9936281784656743e-09,9.764132316764044e-10,0.061875862711293306,0.04153392038470155,0.020341942326591755,1.4897669697003713,48.97669697003713,1.4897669697003713,48.97669697003714,1.4897669697003713,48.97669697003714,6.053760805781506,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=6.42857e-07<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
