param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
it0_2,3.8779999999999984e-05,7.0,0.1,0.834,8.85e-05,3.8779999999999984e-05,0.5918830715906778,0.423610635303329,0.16827243628734878,8.555540387158859e-10,5.308007401202413e-10,3.2475329859564456e-10,8.555540387158859e-10,5.308007401202413e-10,3.2475329859564456e-10,0.017824042473247623,0.011058348752505028,0.0067656937207425955,1.61181772000182,61.181772000181994,1.6118177200018198,61.18177200018199,1.6118177200018198,61.18177200018199,6.1246852228119035,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=3.878e-05<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=3.878e-05
it0_2,5.38846352717903e-05,7.0,0.1,0.834,8.85e-05,5.38846352717903e-05,0.5975338025949384,0.43331942020808045,0.16421438238685793,1.003648483394583e-09,6.412587823953641e-10,3.623897009992189e-10,1.003648483394583e-09,6.412587823953641e-10,3.623897009992189e-10,0.02090934340405381,0.013359557966570084,0.007549785437483728,1.5651223982392024,56.51223982392024,1.5651223982392024,56.51223982392023,1.5651223982392024,56.51223982392023,6.022125839551544,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=5.38846e-05<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=5.38846e-05
it0_2,7.487245792609239e-05,7.0,0.1,0.834,8.85e-05,7.487245792609239e-05,0.603184481963784,0.44302820509540924,0.1601562768683748,1.1773817917777923e-09,7.747028117679898e-10,4.026789800098025e-10,1.1773817917777923e-09,7.747028117679898e-10,4.026789800098025e-10,0.02452878732870401,0.016139641911833123,0.008389145416870886,1.5197851019681052,51.97851019681053,1.5197851019681055,51.97851019681053,1.5197851019681055,51.97851019681053,5.919567393461316,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=7.48725e-05<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=7.48725e-05
it0_2,0.00010403494294094767,7.0,0.1,0.834,8.85e-05,0.00010403494294094767,0.6088351102529365,0.45273698999089845,0.156098120262038,1.3811933964528207e-09,9.359161435804976e-10,4.4527725287232314e-10,1.3811933964528207e-09,9.359161435804976e-10,4.4527725287232314e-10,0.02877486242610043,0.019498252991260366,0.009276609434840065,1.4757661847447607,47.576618474476085,1.475766184744761,47.576618474476085,1.475766184744761,47.576618474476085,5.817009874455003,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.000104035<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.000104035
it0_2,0.00014455608447381323,7.0,0.1,0.834,8.85e-05,0.00014455608447381323,0.6144856880413277,0.46244577488674293,0.15203991315458482,1.6202915514133192e-09,1.130677486275832e-09,4.896140651374873e-10,1.6202915514133192e-09,1.130677486275832e-09,4.896140651374873e-10,0.03375607398777748,0.02355578096407983,0.01020029302369765,1.4330271638733634,43.30271638733634,1.4330271638733634,43.302716387336346,1.4330271638733634,43.302716387336346,5.714453272025134,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.000144556<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.000144556
it0_2,0.00020086002806058632,7.0,0.1,0.834,8.85e-05,0.00020086002806058632,0.6201362159086667,0.4721545597825999,0.14798165612606684,1.9007864970594355e-09,1.3659680803031143e-09,5.348184167563213e-10,1.9007864970594355e-09,1.3659680803031143e-09,5.348184167563213e-10,0.03959971868873824,0.028457668339648214,0.011142050349090025,1.3915306839656478,39.15306839656478,1.3915306839656478,39.153068396564784,1.3915306839656478,39.153068396564784,5.611897575650131,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.00020086<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.00020086
it0_2,0.00027909410398984665,7.0,0.1,0.834,8.85e-05,0.00027909410398984665,0.6257866944478923,0.48186334467482983,0.14392334977306243,2.2298466954755275e-09,1.6502219412017316e-09,5.796247542737959e-10,2.2298466954755275e-09,1.6502219412017316e-09,5.796247542737959e-10,0.04645513948907349,0.034379623775036075,0.012075515714037414,1.3512404845688206,35.12404845688206,1.3512404845688206,35.12404845688205,1.3512404845688206,35.12404845688205,5.509342774568303,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.000279094<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.000279094
it0_2,0.00038779999999999983,7.0,0.1,0.834,8.85e-05,0.00038779999999999983,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
it0_2,0.0005388463527179025,7.0,0.1,0.834,8.85e-05,0.0005388463527179025,0.6370875057978301,0.5012809144705007,0.13580659132732942,3.0687593542119903e-09,2.4084962234415757e-09,6.602631307704146e-10,3.0687593542119903e-09,2.4084962234415757e-09,6.602631307704146e-10,0.06393248654608313,0.05017700465503283,0.013755481891050303,1.274139159673227,27.413915967322705,1.274139159673227,27.41391596732271,1.274139159673227,27.41391596732271,5.304235817341457,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.000538846<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.000538846
it0_2,0.0007487245792609238,7.0,0.1,0.834,8.85e-05,0.0007487245792609238,0.6427378398181678,0.5109896993661576,0.13174814045201022,3.6000538295032794e-09,2.9096970645229398e-09,6.903567649803396e-10,3.6000538295032794e-09,2.9096970645229398e-09,6.903567649803396e-10,0.07500112144798499,0.060618688844227914,0.014382432603757073,1.2372607009154497,23.72607009154498,1.23726070091545,23.726070091544983,1.23726070091545,23.726070091544983,5.2016836392420345,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.000748725<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.000748725
