param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
Cdl_Au,1.2000000000000007e-05,0.44343131664171626,0.49157212957749513,-0.048140812935778876,2.1427692508077495e-09,1.993628178465674e-09,1.4914107234207564e-10,2.1427692508077495e-09,1.993628178465674e-09,1.4914107234207564e-10,1.0748088705572254,7.480887055722539,1.0748088705572254,7.480887055722539,3.0575067991725913,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,1.6673945932477677e-05,0.44343405749122866,0.49157212957749513,-0.04813807208626647,2.1426697289119484e-09,1.993628178465674e-09,1.490415504462745e-10,2.1426697289119484e-09,1.993628178465674e-09,1.490415504462745e-10,1.0747589505686959,7.475895056869588,1.0747589505686959,7.475895056869588,3.057599953488321,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.66739e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,2.316837274659901e-05,0.4434378652076198,0.49157212957749513,-0.048134264369875335,2.142531476721453e-09,1.993628178465674e-09,1.4890329825577924e-10,2.142531476721453e-09,1.993628178465674e-09,1.4890329825577924e-10,1.0746896035400029,7.468960354000285,1.0746896035400029,7.468960354000285,3.057729367639224,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=2.31684e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,3.219234954335675e-05,0.4434431546967575,0.49157212957749513,-0.04812897488073764,2.1423394396792113e-09,1.993628178465674e-09,1.4871126121353747e-10,2.1423394396792113e-09,1.993628178465674e-09,1.4871126121353747e-10,1.0745932781347363,7.459327813473618,1.0745932781347363,7.459327813473618,3.0579091429500505,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=3.21923e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,4.473112464377928e-05,0.4434505018791762,0.49157212957749513,-0.04812162769831896,2.1420727280890984e-09,1.993628178465674e-09,1.4844454962342454e-10,2.1420727280890984e-09,1.993628178465674e-09,1.4844454962342454e-10,1.0744594961221252,7.445949612212528,1.0744594961221252,7.445949612212528,3.0581588529610446,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=4.47311e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,6.21536961507746e-05,0.4434607058573516,0.49157212957749513,-0.04811142372014354,2.1417023708425213e-09,1.993628178465674e-09,1.4807419237684738e-10,2.1417023708425213e-09,1.993628178465674e-09,1.4807419237684738e-10,1.0742737256506916,7.427372565069154,1.0742737256506916,7.427372565069154,3.0585056560861013,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=6.21537e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,8.636228076013823e-05,0.4434748747896483,0.49157212957749513,-0.04809725478784682,2.141188218752139e-09,1.993628178465674e-09,1.4756004028646508e-10,2.141188218752139e-09,1.993628178465674e-09,1.4756004028646508e-10,1.0740158279664915,7.401582796649148,1.0740158279664915,7.401582796649148,3.0589872137677627,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=8.63623e-05<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,0.00012000000000000008,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,0.00016673945932477643,0.44352183972442644,0.49157212957749513,-0.048050289853068695,2.139484941640494e-09,1.993628178465674e-09,1.458567631748203e-10,2.139484941640494e-09,1.993628178465674e-09,1.458567631748203e-10,1.073161467494442,7.316146749444215,1.073161467494442,7.316146749444215,3.060583383842964,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.000166739<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Au,0.00023168372746599011,0.4435596990417645,0.49157212957749513,-0.04801243053573062,2.138112963025842e-09,1.993628178465674e-09,1.4448478456016823e-10,2.138112963025842e-09,1.993628178465674e-09,1.4448478456016823e-10,1.0724732857013317,7.247328570133168,1.0724732857013317,7.247328570133168,3.0618700629219564,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.000231684<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
