param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
Cdl_Pd,3.7699999999999978e-06,0.44351922088847145,0.49157212957749513,-0.04805290868902368,2.141962044434395e-09,1.993628178465674e-09,1.4833386596872093e-10,2.141962044434395e-09,1.993628178465674e-09,1.4833386596872093e-10,1.0744039774171334,7.440397741713347,1.0744039774171334,7.440397741713347,3.0605294707992616,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-06<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,5.23839801378673e-06,0.4435181514762378,0.49157212957749513,-0.04805397810125733,2.1418975647930498e-09,1.993628178465674e-09,1.482693863273759e-10,2.1418975647930498e-09,1.993628178465674e-09,1.482693863273759e-10,1.0743716345549883,7.43716345549882,1.0743716345549883,7.43716345549882,3.060491604573661,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=5.2384e-06<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,7.278730437889847e-06,0.4435166657544097,0.49157212957749513,-0.048055463823085454,2.141807987310885e-09,1.993628178465674e-09,1.4817980884521118e-10,2.141807987310885e-09,1.993628178465674e-09,1.4817980884521118e-10,1.0743267026649135,7.432670266491346,1.0743267026649135,7.432670266491346,3.060438997491305,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=7.27873e-06<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,1.0113763148204565e-05,0.44351460177845115,0.49157212957749513,-0.048057527799043986,2.1416835520135916e-09,1.993628178465674e-09,1.480553735479177e-10,2.1416835520135916e-09,1.993628178465674e-09,1.480553735479177e-10,1.0742642861628608,7.426428616286079,1.0742642861628608,7.426428616286079,3.060365915373076,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=1.01138e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,1.4053028325587307e-05,0.4435117347188502,0.49157212957749513,-0.04806039485864494,2.1415107118887255e-09,1.993628178465674e-09,1.4788253342305164e-10,2.1415107118887255e-09,1.993628178465674e-09,1.4788253342305164e-10,1.0741775898938508,7.417758989385085,1.0741775898938508,7.417758989385085,3.060264397406904,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=1.4053e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,1.9526619540701658e-05,0.44350775254578423,0.49157212957749513,-0.0480643770317109,2.1412706712490773e-09,1.993628178465674e-09,1.4764249278340346e-10,2.1412706712490773e-09,1.993628178465674e-09,1.4764249278340346e-10,1.0740571859778945,7.40571859778945,1.0740571859778945,7.40571859778945,3.060123395205279,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=1.95266e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,2.7132149872143447e-05,0.4435022224082523,0.49157212957749513,-0.04806990716924281,2.1409373672130717e-09,1.993628178465674e-09,1.473091887473978e-10,2.1409373672130717e-09,1.993628178465674e-09,1.473091887473978e-10,1.0738900013245043,7.389000132450433,1.0738900013245043,7.389000132450433,3.0599275823922394,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=2.71321e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,3.7699999999999974e-05,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,5.23839801378673e-05,0.44348388688131213,0.49157212957749513,-0.048088242696183,2.139832659227356e-09,1.993628178465674e-09,1.4620448076168225e-10,2.139832659227356e-09,1.993628178465674e-09,1.4620448076168225e-10,1.0733358819567866,7.333588195678665,1.0733358819567866,7.333588195678665,3.0592783546167404,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=5.2384e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,7.278730437889846e-05,0.44346910056169164,0.49157212957749513,-0.04810302901580349,2.1389422180225454e-09,1.993628178465674e-09,1.4531403955687148e-10,2.1389422180225454e-09,1.993628178465674e-09,1.4531403955687148e-10,1.072889238387826,7.2889238387825825,1.072889238387826,7.2889238387825825,3.0587548003143787,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=7.27873e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,0.00010113763148204565,0.4434485974491842,0.49157212957749513,-0.04812353212831094,2.1377081407762065e-09,1.993628178465674e-09,1.440799623105326e-10,2.1377081407762065e-09,1.993628178465674e-09,1.440799623105326e-10,1.0722702276516871,7.227022765168713,1.0722702276516871,7.227022765168713,3.058028829354548,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=0.000101138<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
Cdl_Pd,0.00014053028325587322,0.44342019004426203,0.49157212957749513,-0.0481519395332331,2.1359995204067206e-09,1.993628178465674e-09,1.423713419410467e-10,2.1359995204067206e-09,1.993628178465674e-09,1.423713419410467e-10,1.071413187011942,7.141318701194212,1.071413187011942,7.141318701194212,3.0570229914974227,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=0.00014053<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
