param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
E2_eq,0.534,0.36296755659484675,0.36398592267777424,-0.001018366082927491,1.6616839721209726e-10,1.6623344765784801e-10,-6.505044575075731e-14,1.6616839721209726e-10,1.6623344765784801e-10,-6.505044575075731e-14,0.9996086801623423,-0.039131983765775084,0.9996086801623423,-0.039131983765775084,0.07269724173672287,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.534
E2_eq,0.5768571428571428,0.3744066430627412,0.38221252366297453,-0.00780588060023335,2.38682612615283e-10,2.37055841904023e-10,1.6267707112599948e-12,2.38682612615283e-10,2.37055841904023e-10,1.6267707112599948e-12,1.0068623945235597,0.6862394523559673,1.0068623945235597,0.6862394523559673,0.4970019054215893,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.576857
E2_eq,0.6197142857142858,0.3858699225838185,0.4004391246481951,-0.014569202064376563,3.4320590960236547e-10,3.380515351911143e-10,5.154374411251176e-12,3.4320590960236547e-10,3.380515351911143e-10,5.154374411251176e-12,1.015247303664328,1.524730366432798,1.015247303664328,1.524730366432798,0.9222053983571179,True,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.619714
E2_eq,0.6625714285714286,0.39735579573268937,0.4186657256107337,-0.02130992987804431,4.940053135984911e-10,4.820756133943555e-10,1.1929700204135547e-11,4.940053135984911e-10,4.820756133943555e-10,1.1929700204135547e-11,1.0247465332671302,2.4746533267130055,1.0247465332671302,2.4746533267130055,1.3482469489739781,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.662571
E2_eq,0.7054285714285714,0.4088626964540313,0.43689232662706945,-0.028029630173038167,7.11759161533773e-10,6.874599671366719e-10,2.4299194397101077e-11,7.11759161533773e-10,6.874599671366719e-10,2.4299194397101077e-11,1.0353463409634007,3.5346340963400746,1.0353463409634007,3.5346340963400746,1.7750684681195832,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.705429
E2_eq,0.7482857142857142,0.42038909918789785,0.45511892760790773,-0.03472982842000988,1.0264582974055046e-09,9.803466364150823e-10,4.611166099042234e-11,1.0264582974055046e-09,9.803466364150823e-10,4.611166099042234e-11,1.0470360781356305,4.703607813563048,1.0470360781356305,4.703607813563048,2.2026133687224334,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.748286
E2_eq,0.7911428571428571,0.43193352463302176,0.473345528592062,-0.04141200395904027,1.4816279564210806e-09,1.3980152642129796e-09,8.361269220810102e-11,1.4816279564210806e-09,1.3980152642129796e-09,8.361269220810102e-11,1.0598081396880679,5.980813968806788,1.0598081396880679,5.980813968806788,2.6308267795683324,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.791143
E2_eq,0.834,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
E2_eq,0.8768571428571428,0.45507078346328583,0.5097987305641385,-0.05472794710085266,3.094840507643153e-09,2.8429970800809057e-09,2.5184342756224746e-10,3.094840507643153e-09,2.8429970800809057e-09,2.5184342756224746e-10,1.0885837798873437,8.85837798873436,1.0885837798873437,8.85837798873436,3.489049180364953,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.876857
E2_eq,0.9197142857142857,0.4666609241519782,0.528025331553063,-0.061364407401084786,4.478252561265968e-09,4.054232622217482e-09,4.2401993904848596e-10,4.478252561265968e-09,4.054232622217482e-09,4.2401993904848596e-10,1.104586978242153,10.458697824215282,1.104586978242153,10.458697824215282,3.9189582910504956,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.919714
