param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_Pd_len,3.7e-09,0.3924307843446804,0.423610635303329,-0.031179850958648614,4.3664740688703535e-10,5.308007401202412e-10,-9.415333323320585e-11,4.3664740688703535e-10,5.308007401202412e-10,-9.415333323320585e-11,0.8226201922554263,-17.737980774457377,0.8226201922554263,-17.737980774457377,1.1802460568886026,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-09<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,5.141133329180603e-09,0.39787475703812114,0.4333194202080804,-0.035444663169959256,5.204040138720843e-10,6.412587823953629e-10,-1.208547685232786e-10,5.204040138720843e-10,6.412587823953629e-10,-1.208547685232786e-10,0.8115351058868359,-18.84648941131641,0.8115351058868359,-18.84648941131641,1.382508194039728,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=5.14113e-09<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,7.143581596868038e-09,0.4037039432114928,0.44302820509540936,-0.03932426188391658,6.265944722277797e-10,7.74702811767991e-10,-1.481083395402112e-10,6.265944722277797e-10,7.74702811767991e-10,-1.481083395402112e-10,0.8088191532412213,-19.118084675877864,0.8088191532412213,-19.118084675877864,1.5983289246791692,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=7.14358e-09<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,9.925974442534991e-09,0.4100729312489052,0.4527369899908985,-0.042664058741993305,7.653238011566182e-10,9.35916143580499e-10,-1.7059234242388084e-10,7.653238011566182e-10,9.35916143580499e-10,-1.7059234242388084e-10,0.8177268940235904,-18.227310597640958,0.8177268940235904,-18.227310597640958,1.833049720312646,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=9.92597e-09<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,1.379209676516527e-08,0.4171564657284031,0.46244577488674293,-0.04528930915833984,9.530434915079872e-10,1.1306774862758317e-09,-1.7763399476784457e-10,9.530434915079872e-10,1.1306774862758317e-09,-1.7763399476784457e-10,0.8428959655392747,-15.710403446072533,0.8428959655392747,-15.710403446072533,2.0924625593925104,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=1.37921e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,1.9164056313155486e-08,0.42510198876361843,0.47215455978259996,-0.047052571018981526,1.2161352429517957e-09,1.365968080303114e-09,-1.4983283735131838e-10,1.2161352429517957e-09,1.365968080303114e-09,-1.4983283735131838e-10,0.8903101474244772,-10.968985257552273,0.8903101474244772,-10.968985257552273,2.383859543728203,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=1.91641e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,2.66283699010426e-08,0.4339433794760124,0.48186334467482983,-0.047919965198817416,1.5943658316021353e-09,1.6502219412017316e-09,-5.585610959959629e-11,1.5943658316021353e-09,1.6502219412017316e-09,-5.585610959959629e-11,0.966152365203119,-3.384763479688103,0.966152365203119,-3.384763479688103,2.706294794110592,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=2.66284e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,3.7e-08,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,5.141133329180603e-08,0.45335251114938685,0.5012809144705007,-0.047928403321113866,2.911479574654948e-09,2.4084962234415757e-09,5.029833512133723e-10,2.911479574654948e-09,2.4084962234415757e-09,5.029833512133723e-10,1.2088370935847446,20.883709358474462,1.2088370935847446,20.883709358474462,3.4211034003899545,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=5.14113e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
L_Pd_len,7.143581596868023e-08,0.46303217475115876,0.5109896993661576,-0.0479575246149988,3.9554255751461216e-09,2.9096970645229398e-09,1.0457285106231818e-09,3.9554255751461216e-09,2.9096970645229398e-09,1.0457285106231818e-09,1.359394290001332,35.9394290001332,1.359394290001332,35.9394290001332,3.77693126411436,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=7.14358e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
