param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
T,268.0,0.43931934111372756,0.48357771245958087,-0.04425837134585331,4.291663636550165e-09,3.936778609949913e-09,3.548850266002519e-10,4.291663636550165e-09,3.936778609949913e-09,3.548850266002519e-10,1.0901460462377301,9.014604623773014,1.0901460462377301,9.014604623773014,3.2251048733924996,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=268<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,272.2857142857143,0.43991587828137185,0.4847197720475153,-0.044803893766143466,3.8494626639369805e-09,3.5394888107670806e-09,3.0997385316989994e-10,3.8494626639369805e-09,3.5394888107670806e-09,3.0997385316989994e-10,1.0875758816434067,8.757588164340664,1.0875758816434067,8.757588164340664,3.199247911855551,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=272.286<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,276.57142857142856,0.4405124065969017,0.4858618316355732,-0.04534942503867151,3.4644549541518514e-09,3.1928015620104152e-09,2.716533921414362e-10,3.4644549541518514e-09,3.1928015620104152e-09,2.716533921414362e-10,1.0850830804437417,8.508308044374166,1.0850830804437417,8.508308044374166,3.174189217014897,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=276.571<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,280.85714285714283,0.4411089147711599,0.48700389122373583,-0.04589497645257595,3.1279749718219475e-09,2.88914671226115e-09,2.388282595607975e-10,3.1279749718219475e-09,2.88914671226115e-09,2.388282595607975e-10,1.082663943145304,8.266394314530393,1.082663943145304,8.266394314530393,3.1498919677270205,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=280.857<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,285.14285714285717,0.4417053922087731,0.488145950811997,-0.046440558603223936,2.832842000053499e-09,2.6222370192732633e-09,2.1060498078023556e-10,2.832842000053499e-09,2.6222370192732633e-09,2.1060498078023556e-10,1.0803150055591098,8.031500555910977,1.0803150055591098,8.031500555910977,3.126321573571696,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=285.143<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,289.42857142857144,0.4423018290703728,0.4892880104003623,-0.046986181329989496,2.5730787586128064e-09,2.3868273987240385e-09,1.862513598887679e-10,2.5730787586128064e-09,2.3868273987240385e-09,1.862513598887679e-10,1.0780330240839096,7.803302408390947,1.0780330240839096,7.803302408390947,3.1034455127564833,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=289.429<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,293.7142857142857,0.442898215965532,0.4904300699888502,-0.047531854023318165,2.343688059927435e-09,2.178523417242184e-09,1.6516464268525106e-10,2.343688059927435e-09,2.178523417242184e-09,1.6516464268525106e-10,1.0758149494185079,7.581494941850784,1.0758149494185079,7.581494941850784,3.0812331702669677,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=293.714<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,298.0,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,302.2857142857143,0.4440908057207129,0.49271418916635473,-0.04862338344564182,1.9599025622039397e-09,1.8290193037111609e-09,1.308832584927788e-10,1.9599025622039397e-09,1.8290193037111609e-09,1.308832584927788e-10,1.071559254857076,7.155925485707609,1.071559254857076,7.155925485707609,3.038685949533061,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=302.286<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
T,306.57142857142856,0.4446869927708963,0.4938562487555206,-0.049169255984624294,1.7989796848330053e-09,1.6820496250730184e-09,1.1693005975998691e-10,1.7989796848330053e-09,1.6820496250730184e-09,1.1693005975998691e-10,1.0695164149838392,6.9516414983839105,1.0695164149838392,6.9516414983839105,3.01829822788833,False,C_tot=0.1<br>lambda_D=None<br>epsilon_r=78.5<br>T=306.571<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
