param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
it0_1,8.849999999999993e-06,0.48672590267071997,0.5595336238452789,-0.07280772117455897,8.497252783817813e-10,7.487844332278212e-10,1.0094084515396003e-10,8.497252783817813e-10,7.487844332278212e-10,1.0094084515396003e-10,1.134806281587385,13.480628158738483,1.134806281587385,13.480628158738483,4.663221652696551,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-06<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,1.2297035125202271e-05,0.4805395422379888,0.5498248389494304,-0.06928529671144157,9.689956162914658e-10,8.612161070998853e-10,1.0777950919158047e-10,9.689956162914658e-10,8.612161070998853e-10,1.0777950919158047e-10,1.1251480415926314,12.51480415926313,1.1251480415926314,12.51480415926313,4.433753108400927,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=1.2297e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,1.708667490061675e-05,0.4743563614697098,0.5401160540710274,-0.06575969260131759,1.1052320634474758e-09,9.90529651081256e-10,1.1470241236621984e-10,1.1052320634474758e-09,9.90529651081256e-10,1.1470241236621984e-10,1.1157990699632379,11.579906996323777,1.1157990699632379,11.579906996323777,4.204402506307526,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=1.70867e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,2.374185778822557e-05,0.46817653829785805,0.5304072691578149,-0.06223073085995684,1.2608851751910929e-09,1.1392599150405089e-09,1.21625260150584e-10,1.2608851751910929e-09,1.1392599150405089e-09,1.21625260150584e-10,1.1067581317879154,10.675813178791543,1.1067581317879154,10.675813178791543,3.975176446386035,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=2.37419e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,3.2989204424787176e-05,0.4620002553228117,0.5206984842618655,-0.0586982289390538,1.4387656857490897e-09,1.310322364441684e-09,1.2844332130740562e-10,1.4387656857490897e-09,1.310322364441684e-09,1.2844332130740562e-10,1.0980242151038413,9.802421510384134,1.0980242151038413,9.802421510384134,3.746081701769606,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=3.29892e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,4.58383509111962e-05,0.45582769988075855,0.5109896993661576,-0.055161999485399016,1.6420985025834874e-09,1.5070702269929948e-09,1.3502827559049256e-10,1.6420985025834874e-09,1.5070702269929948e-09,1.3502827559049256e-10,1.0895965384837505,8.959653848375057,1.0895965384837505,8.959653848375057,3.5171252212551583,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=4.58384e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,6.369218206060185e-05,0.4496590639645232,0.5012809144705007,-0.05162185050597751,1.8745849671125192e-09,1.7333602254882808e-09,1.412247416242385e-10,1.8745849671125192e-09,1.7333602254882808e-09,1.412247416242385e-10,1.0814745484219566,8.147454842195657,1.0814745484219566,8.147454842195657,3.2883141263666413,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=6.36922e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,8.849999999999994e-05,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.14047468887136e-09,1.9936281784656726e-09,1.4684651040568756e-10,2.14047468887136e-09,1.9936281784656726e-09,1.4684651040568756e-10,1.0736579227720904,7.365792277209029,1.0736579227720904,7.365792277209029,3.0596557118175287,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,0.00012297035125202272,0.43733434193492315,0.4818633446748299,-0.04452900273990673,2.4446484493737305e-09,2.2929759520154996e-09,1.5167249735823093e-10,2.4446484493737305e-09,2.2929759520154996e-09,1.5167249735823093e-10,1.0661465713257536,6.614657132575356,1.0661465713257536,6.614657132575356,2.831157442120242,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=0.00012297<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
it0_1,0.00017086674900616746,0.43117866289153256,0.4721545597825999,-0.04097589689106734,2.792713936915919e-09,2.6372714703682323e-09,1.5544246654768652e-10,2.792713936915919e-09,2.6372714703682323e-09,1.5544246654768652e-10,1.0589406393290193,5.894063932901935,1.0589406393290193,5.894063932901935,2.6028269520691953,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=0.000170867<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834
