param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
lambda_D,3.0412178890177225e-10,7.0,0.1,0.834,8.85e-05,0.0003878,0.49115709248634376,0.4915721295774951,-0.0004150370911513157,1.999399663531291e-09,1.9936281784656743e-09,5.771485065616898e-12,1.999399663531291e-09,1.9936281784656743e-09,5.771485065616898e-12,1.0028949656349955,0.28949656349955477,1.0028949656349955,0.28949656349955477,1.6128908175920653,False,C_tot=0.01 M<br>lambda_D=3.04122e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,4.2257585541971056e-10,7.0,0.1,0.834,8.85e-05,0.0003878,0.49090493092130427,0.4915721295774951,-0.0006671986561908039,2.0032078332325757e-09,1.9936281784656743e-09,9.57965476690143e-12,2.0032078332325757e-09,1.9936281784656743e-09,9.57965476690143e-12,1.0048051361183479,0.48051361183478425,1.0048051361183479,0.48051361183478425,1.9609701284246457,False,C_tot=0.01 M<br>lambda_D=4.22576e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,5.87167247136564e-10,7.0,0.1,0.834,8.85e-05,0.0003878,0.49048592706552,0.49157212957749513,-0.0010862025119751095,2.009706768444956e-09,1.9936281784656743e-09,1.607858997928154e-11,2.009706768444956e-09,1.9936281784656743e-09,1.607858997928154e-11,1.0080649893259714,0.8064989325971437,1.0080649893259714,0.8064989325971437,2.344822667815607,False,C_tot=0.01 M<br>lambda_D=5.87167e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,8.158662443397333e-10,7.0,0.1,0.834,8.85e-05,0.0003878,0.48980665808772217,0.49157212957749513,-0.0017654714897729629,2.0205592750792403e-09,1.9936281784656743e-09,2.6931096613565966e-11,2.0205592750792403e-09,1.9936281784656743e-09,2.6931096613565966e-11,1.013508585454632,1.3508585454632034,1.013508585454632,1.3508585454632034,2.734495822093913,False,C_tot=0.01 M<br>lambda_D=8.15866e-10<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,1.1336424705211915e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4887431295588582,0.4915721295774951,-0.0028290000186368958,2.03802498970602e-09,1.9936281784656743e-09,4.439681124034578e-11,2.03802498970602e-09,1.9936281784656743e-09,4.439681124034578e-11,1.0222693537942036,2.22693537942036,1.0222693537942036,2.22693537942036,3.1048318735989966,False,C_tot=0.01 M<br>lambda_D=1.13364e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,1.5751911050192262e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4871474657472394,0.49157212957749513,-0.004424663830255748,2.0647376563198685e-09,1.9936281784656743e-09,7.110947785419416e-11,2.0647376563198685e-09,1.9936281784656743e-09,7.110947785419416e-11,1.0356683751876545,3.5668375187654635,1.0356683751876545,3.5668375187654635,3.421931260177219,False,C_tot=0.01 M<br>lambda_D=1.57519e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,2.188720943200865e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4848691500917613,0.4915721295774951,-0.006702979485733784,2.1030411355903716e-09,1.9936281784656743e-09,1.0941295712469733e-10,2.1030411355903716e-09,1.9936281784656743e-09,1.0941295712469733e-10,1.054881325568393,5.488132556839318,1.054881325568393,5.488132556839318,3.6608784886064782,False,C_tot=0.01 M<br>lambda_D=2.18872e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,3.0412178890177225e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4817902796224986,0.49157212957749513,-0.009781849954996535,2.153838942018265e-09,1.993628178465674e-09,1.602107635525913e-10,2.153838942018265e-09,1.993628178465674e-09,1.602107635525913e-10,1.080361406045079,8.036140604507903,1.080361406045079,8.036140604507903,3.8083684750190674,False,C_tot=0.01 M<br>lambda_D=3.04122e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,4.225758554197105e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.47785534376505134,0.4915721295774951,-0.013716785812443733,2.2153900383393306e-09,1.9936281784656743e-09,2.217618598736563e-10,2.2153900383393306e-09,1.9936281784656743e-09,2.217618598736563e-10,1.1112353157268913,11.12353157268912,1.1112353157268913,11.12353157268912,3.8634707331624654,False,C_tot=0.01 M<br>lambda_D=4.22576e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
lambda_D,5.8716724713656155e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4730814450612167,0.4915721295774951,-0.01849068451627839,2.2822101869177227e-09,1.9936281784656743e-09,2.8858200845204844e-10,2.2822101869177227e-09,1.9936281784656743e-09,2.8858200845204844e-10,1.1447521717285043,14.475217172850426,1.1447521717285043,14.475217172850426,3.835385659270992,False,C_tot=0.01 M<br>lambda_D=5.87167e-09<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
