param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
T,268.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.47487310263228993,0.48357771245958087,-0.008704609827290932,4.254603046014329e-09,3.936778609949912e-09,3.178244360644173e-10,4.254603046014329e-09,3.936778609949912e-09,3.178244360644173e-10,1.0807321080390804,8.073210803908045,1.0807321080390804,8.073210803908045,3.955772816413802,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=268<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,272.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.47586349103989184,0.4847197720475153,-0.008856281007623479,3.824979821616072e-09,3.5394888107670806e-09,2.8549101084899147e-10,3.824979821616072e-09,3.5394888107670806e-09,2.8549101084899147e-10,1.0806588256418643,8.065882564186428,1.0806588256418643,8.065882564186428,3.932870203158309,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=272.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,276.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.47685312976339594,0.48586183163557317,-0.009008701872177227,3.4501188267827985e-09,3.1928015620104144e-09,2.573172647723841e-10,3.4501188267827985e-09,3.1928015620104144e-09,2.573172647723841e-10,1.0805929400167165,8.05929400167165,1.0805929400167165,8.05929400167165,3.9106281494430775,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=276.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,280.85714285714283,7.0,0.1,0.834,8.85e-05,0.0003878,0.47784202468013937,0.4870038912237359,-0.00916186654359652,3.1218214084943834e-09,2.889146712261155e-09,2.326746962332284e-10,3.1218214084943834e-09,2.889146712261155e-09,2.326746962332284e-10,1.0805340536172108,8.053405361721087,1.0805340536172108,8.053405361721087,3.8890176803803485,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=280.857<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,285.14285714285717,7.0,0.1,0.834,8.85e-05,0.0003878,0.47883018154387136,0.488145950811997,-0.009315769268125662,2.8332793602955496e-09,2.6222370192732637e-09,2.1104234102228585e-10,2.8332793602955496e-09,2.6222370192732637e-09,2.1104234102228585e-10,1.0804817945407448,8.048179454074479,1.0804817945407448,8.048179454074479,3.8680115004285742,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=285.143<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,289.42857142857144,7.0,0.1,0.834,8.85e-05,0.0003878,0.47981760599071044,0.48928801040036235,-0.009470404409651911,2.578813804667122e-09,2.3868273987240385e-09,1.919864059430834e-10,2.578813804667122e-09,2.3868273987240385e-09,1.919864059430834e-10,1.080435814523378,8.043581452337794,1.080435814523378,8.043581452337794,3.84758387313199,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=289.429<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,293.7142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.4808043035446271,0.49043006998885014,-0.009625766444223027,2.3536675221291004e-09,2.17852341724218e-09,1.7514410488692055e-10,2.3536675221291004e-09,2.17852341724218e-09,1.7514410488692055e-10,1.080395787119258,8.03957871192579,1.080395787119258,8.03957871192579,3.8277105110702365,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=293.714<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,298.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.48179027962249854,0.4915721295774951,-0.009781849954996535,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,2.153838942018271e-09,1.9936281784656743e-09,1.6021076355259668e-10,1.0803614060450817,8.036140604508171,1.0803614060450817,8.036140604508171,3.8083684750190656,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,302.2857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.48277553953878555,0.49271418916635473,-0.009938649627569185,1.9759487841612896e-09,1.829019303711161e-09,1.4692948045012852e-10,1.9759487841612896e-09,1.829019303711161e-09,1.4692948045012852e-10,1.0803323836724972,8.03323836724971,1.0803323836724972,8.03323836724971,3.789536081433541,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=302.286<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
T,306.57142857142856,7.0,0.1,0.834,8.85e-05,0.0003878,0.48376008850985586,0.4938562487555206,-0.010096160245664731,1.8171324227021686e-09,1.6820496250730186e-09,1.3508279762915e-10,1.8171324227021686e-09,1.6820496250730186e-09,1.3508279762915e-10,1.0803084496530748,8.030844965307487,1.0803084496530748,8.030844965307487,3.771192817461756,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=306.571<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
