param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
it0_1,8.849999999999993e-06,7.0,0.1,0.834,8.849999999999993e-06,0.0003878,0.5436703301874152,0.5595336238452789,-0.015863293657863764,8.635402554320234e-10,7.487844332278214e-10,1.1475582220420205e-10,8.635402554320234e-10,7.487844332278214e-10,1.1475582220420205e-10,1.1532561537230663,15.325615372306627,1.1532561537230663,15.325615372306627,5.759374575138695,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-06<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-06<br>it0_2_eff=0.0003878
it0_1,1.2297035125202271e-05,7.0,0.1,0.834,1.2297035125202271e-05,0.0003878,0.5348851526881039,0.5498248389494304,-0.014939686261326468,9.829069836924458e-10,8.612161070998854e-10,1.2169087659256038e-10,9.829069836924458e-10,8.612161070998854e-10,1.2169087659256038e-10,1.1413012083602918,14.130120836029192,1.1413012083602918,14.130120836029192,5.482388135481395,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=1.2297e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=1.2297e-05<br>it0_2_eff=0.0003878
it0_1,1.708667490061675e-05,7.0,0.1,0.834,1.708667490061675e-05,0.0003878,0.526080652153839,0.5401160540710273,-0.014035401917188217,1.1191880960075058e-09,9.905296510812526e-10,1.2865844492625318e-10,1.1191880960075058e-09,9.905296510812526e-10,1.2865844492625318e-10,1.129888534670124,12.988853467012406,1.129888534670124,12.988853467012406,5.204792462982118,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=1.70867e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=1.70867e-05<br>it0_2_eff=0.0003878
it0_1,2.374185778822557e-05,7.0,0.1,0.834,2.374185778822557e-05,0.0003878,0.5172574309197342,0.5304072691578149,-0.013149838238080691,1.2748320735456083e-09,1.139259915040509e-09,1.3557215850509922e-10,1.2748320735456083e-09,1.139259915040509e-09,1.3557215850509922e-10,1.1190002006699926,11.900020066999254,1.1190002006699926,11.900020066999254,4.926606548567188,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=2.37419e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=2.37419e-05<br>it0_2_eff=0.0003878
it0_1,3.2989204424787176e-05,7.0,0.1,0.834,3.2989204424787176e-05,0.0003878,0.5084161177048981,0.5206984842618655,-0.01228236655696735,1.4526484210057085e-09,1.3103223644416843e-09,1.4232605656402418e-10,1.4526484210057085e-09,1.3103223644416843e-09,1.4232605656402418e-10,1.1086191157430698,10.861911574306978,1.1086191157430698,10.861911574306978,4.647850215019632,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=3.29892e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=3.29892e-05<br>it0_2_eff=0.0003878
it0_1,4.58383509111962e-05,7.0,0.1,0.834,4.58383509111962e-05,0.0003878,0.4995573661984352,0.5109896993661576,-0.011432333167722353,1.6558618366369087e-09,1.5070702269929948e-09,1.4879160964391384e-10,1.6558618366369087e-09,1.5070702269929948e-09,1.4879160964391384e-10,1.098729048573133,9.872904857313292,1.098729048573133,9.872904857313292,4.368544072397439,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=4.58384e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=4.58384e-05<br>it0_2_eff=0.0003878
it0_1,6.369218206060185e-05,7.0,0.1,0.834,6.369218206060185e-05,0.0003878,0.4906818536549129,0.5012809144705007,-0.010599060815587813,1.888174666246092e-09,1.7333602254882808e-09,1.548144407578111e-10,1.888174666246092e-09,1.7333602254882808e-09,1.548144407578111e-10,1.0893146378238836,8.931463782388366,1.0893146378238836,8.931463782388366,4.088709473750264,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=6.36922e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=6.36922e-05<br>it0_2_eff=0.0003878
it0_1,8.849999999999994e-05,7.0,0.1,0.834,8.849999999999994e-05,0.0003878,0.48179027962249854,0.4915721295774951,-0.009781849954996535,2.1538389420182693e-09,1.993628178465673e-09,1.6021076355259627e-10,2.1538389420182693e-09,1.993628178465673e-09,1.6021076355259627e-10,1.0803614060450815,8.036140604508155,1.0803614060450815,8.036140604508155,3.8083684750190656,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
it0_1,0.00012297035125202272,7.0,0.1,0.834,0.00012297035125202272,0.0003878,0.47288336481425625,0.48186334467482983,-0.008979979860573584,2.4577395147296896e-09,2.2929759520154996e-09,1.6476356271419e-10,2.4577395147296896e-09,2.2929759520154996e-09,1.6476356271419e-10,1.0718557744006711,7.185577440067119,1.0718557744006711,7.185577440067119,3.527543799449411,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=0.00012297<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.00012297<br>it0_2_eff=0.0003878
it0_1,0.00017086674900616746,7.0,0.1,0.834,0.00017086674900616746,0.0003878,0.46396185014138247,0.47215455978259996,-0.008192709641217488,2.805490033753497e-09,2.6372714703682328e-09,1.6821856338526422e-10,2.805490033753497e-09,2.6372714703682328e-09,1.6821856338526422e-10,1.063785076839957,6.3785076839957044,1.063785076839957,6.3785076839957044,3.2462588071105074,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=0.000170867<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000170867<br>it0_2_eff=0.0003878
